,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,73.96,48.78,58.01,32.34,-14.57,18.11,40.37,25.04
Techniczny koszt wytworzenia produkcji sprzedanej,,94.83,178.83,47.39,16.9,-5.65,3.75,25.07,43.99
Koszty sprzedaży,,124.63,24.97,62.07,49.23,-31.45,14.59,26.66,7.38
Koszty ogólnego zarządu,,23.53,-20.75,105.59,8.82,-13.41,6.15,37.03,5.63
Zysk ze sprzedaży,,9.45,-66.67,-145.05,58.45,64.29,795.56,180.67,31.05
Pozostałe przychody operacyjne,,33.33,-25.0,-18333.33,102.56,-4921.43,101.78,250.0,-290.48
Pozostałe koszty operacyjne,,-46.15,364.29,80.0,233.33,-56.15,194.74,52.78,-91.69
Zysk operacyjny (EBIT),,12.54,-81.43,-236.98,53.12,-16.59,174.07,266.58,60.12
Przychody finansowe,,,-100.0,,-100.0,,,769.09,54.18
Koszty finansowe,,162.5,126.98,-3.5,63.04,108.89,-29.79,219.09,41.41
Pozostałe przychody (koszty),,,,,,,,,
Zysk z działalności gospodarczej,,1.6,-89.7,-187.71,45.13,-35.38,132.42,355.88,67.75
Wynik zdarzeń nadzwyczajnych,,,,,,,,,
Zysk przed opodatkowaniem,,1.6,-89.7,-187.71,45.13,-35.38,132.42,355.88,67.75
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,
Zysk netto,,-27.94,-73.7,-150.71,43.19,-35.31,119.57,485.98,127.08
Zysk netto akcjonariuszy jednostki dominującej,,-27.94,-73.7,-150.71,43.19,-35.31,119.57,485.98,127.08
Aktywa trwałe,,36.38,25.93,316.06,124.96,-11.97,0.86,8.43,72.05
Wartości niematerialne i prawne,,46.53,18.38,317.24,-3.04,25.54,22.79,34.4,18.01
Rzeczowe składniki majątku trwałego,,66.67,493.33,53.93,3678.1,-45.38,-29.04,-38.53,356.85
Należności długoterminowe,,,,,,,-18.29,0.0,216.42
Inwestycje długoterminowe,,,-100.0,,,,,,
Pozostałe aktywa trwałe,,-36.36,2.04,762.0,80.97,28.85,-10.55,-43.94,143.45
Aktywa obrotowe,,-43.54,243.3,-48.92,-7.75,5.68,62.17,71.37,73.13
Zapasy,,,,,,,,,
Należności krótkoterminowe,,34.93,12.79,52.73,16.01,-43.41,41.83,106.05,-33.47
Inwestycje krótkoterminowe,,-85.6,1212.76,-75.28,-43.71,171.51,78.09,38.99,178.43
Środki pieniężne i inne aktywa pieniężne,,-85.6,1212.76,-75.28,-43.71,171.51,78.09,38.99,178.43
Pozostałe aktywa obrotowe,,362.5,61.26,-67.32,-39.32,66.2,57.63,178.49,25.48
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,
Aktywa razem,,-24.51,149.76,30.27,84.21,-9.26,11.84,24.77,72.44
Kapitał własny akcjonariuszy jednostki dominującej,,-23.56,179.28,-37.33,-27.39,124.48,17.59,47.31,61.57
Kapitał (fundusz) podstawowy,,5.49,9.25,6.35,0.5,6.93,1.85,0.45,0.9
Udziały (akcje) własne,,,,,,,,,
Kapitał (fundusz) zapasowy,,224.31,0.0,160.81,0.0,51.03,-0.26,0.26,0.0
Udziały niekontrolujące,,,,,,,,,
Zobowiązania długoterminowe,,,,17333.33,580.11,-43.13,22.79,17.19,140.47
Z tytułu dostaw i usług,,3.67,245.13,58.97,135.81,-43.91,21.83,30.03,6.85
Kredyty i pożyczki,,18.81,-96.67,175.0,12600.0,-24.62,-5.13,-70.67,5.12
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,59500.0,42.95,-33.92,-12.26,-17.0,60.12
Inne zobowiązania długoterminowe,,,,,2475.0,49.51,363.96,54.86,34.61
Zobowiązania krótkoterminowe,,-48.12,141.91,340.79,84.77,-27.14,1.7,6.17,45.56
Inne zobowiązania krótkoterminowe,,-81.28,381.43,317.8,-0.07,-3.98,6.44,58.9,67.53
Rozliczenia międzyokresowe,,57.43,-10.73,-100.0,,,,,
Pasywa razem,,-24.51,149.76,30.27,84.21,-9.26,11.84,24.77,72.44
Przepływy pieniężne z działalności operacyjnej,,-100.7,22.46,324.89,153.92,-18.38,65.19,52.57,39.46
Amortyzacja,,40.0,152.1,548.67,24.97,2.84,-12.32,13.86,31.04
Przepływy pieniężne z działalności inwestycyjnej,,-38.96,1.56,-300.0,-75.08,20.97,28.24,-121.99,26.13
CAPEX (niematerialne i rzeczowe),,38.1,-0.94,300.0,75.16,-20.69,21.53,57.83,9.98
Przepływy pieniężne z działalności finansowej,,-115.6,1272.73,-151.66,64.65,151.61,-557.24,-24.53,48.58
Emisja akcji,,-99.35,33233.33,-100.0,,,,,
Dywidenda,,,,,,,,,
Przepływy pieniężne razem,,-193.43,311.58,-178.48,85.64,321.22,23.25,-10.95,536.0
