,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,14.05,-3.27,15.15,47.08,0.21,-9.6,40.67,6.98,-3.52,36.22,-13.24,-27.13,14.12,19.15,-9.25,-6.82,-7.53,4.49,5.2
Techniczny koszt wytworzenia produkcji sprzedanej,,14.53,-3.0,13.95,34.86,0.87,-8.85,45.12,8.31,-4.01,40.6,-11.51,-29.83,13.37,14.54,-12.38,-5.09,-10.92,4.41,2.95
Koszty sprzedaży,,-3.55,34.56,535.52,39.47,-16.95,43.28,56.68,57.51,101.62,49.93,-24.9,2.77,9.82,12.69,16.8,-11.04,11.32,11.51,4.87
Koszty ogólnego zarządu,,12.56,1.87,26.43,17.61,-7.95,-4.98,5.89,12.22,-14.02,-17.76,11.03,11.72,-4.25,9.51,21.32,19.57,10.88,8.26,4.07
Zysk ze sprzedaży,,-0.25,-31.55,8.16,1019.97,0.02,-20.15,18.18,-16.04,-8.26,-1.96,-57.61,9.6,67.4,123.9,1.58,-33.27,9.39,-1.72,31.06
Pozostałe przychody operacyjne,,27.3,-18.62,1941.69,-88.31,-4.69,19.26,26.98,64.83,-29.01,50.76,45.27,-37.93,-10.03,56.21,-45.65,211.3,-40.12,31.77,-8.14
Pozostałe koszty operacyjne,,-3.14,-36.48,86.69,47.61,-55.6,361.46,1.92,3.87,-0.57,68.01,-40.48,-63.59,140.45,36.29,17.02,-9.24,-78.62,118.21,36.93
Zysk operacyjny (EBIT),,14.79,-21.12,936.4,29.36,7.2,-38.6,26.48,-10.2,-17.28,-22.33,-26.04,25.67,13.87,143.56,-13.92,-6.22,17.87,-1.46,17.05
Przychody finansowe,,6.23,112.67,-75.35,639.07,21.3,-42.9,-43.38,14.01,-10.42,-20.8,-48.03,-3.9,-36.66,348.35,-61.85,66.46,-73.83,865.58,-16.69
Koszty finansowe,,18.53,-61.11,103.27,566.27,57.97,-72.04,-42.07,-5.65,34.58,-37.57,-25.85,0.9,143.1,-61.52,21.34,17.5,37.97,-12.95,51.52
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,-100.0,,,
Zysk z działalności gospodarczej,,9.3,57.31,378.65,26.83,-1.24,-27.89,22.89,-8.44,-19.97,-20.45,-28.65,25.37,1.14,187.9,-16.7,-6.15,12.23,9.69,12.0
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,9.3,57.31,378.65,26.83,-1.24,-27.89,22.89,-8.44,-19.97,-20.45,-28.65,25.37,1.14,187.9,-16.7,-6.15,12.23,9.69,12.0
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,8.99,53.38,454.68,25.29,-1.8,-25.7,21.85,-13.9,-22.84,-23.63,-11.31,6.68,5.79,198.99,-22.11,-4.47,15.79,10.02,17.68
Zysk netto akcjonariuszy jednostki dominującej,,9.89,50.36,428.42,25.29,-1.8,-25.7,21.85,-11.26,-28.49,-27.09,-14.11,12.72,28.15,156.71,-23.14,-0.25,15.79,4.77,21.72
Aktywa trwałe,,7.28,25.28,-11.47,15.02,29.01,15.52,28.17,16.96,-3.76,23.71,4.95,5.04,0.54,0.85,30.8,8.16,17.63,17.69,-0.03
Wartości niematerialne i prawne,,-18.2,-29.61,3.07,4.99,-3.58,1.27,18.94,20.32,18.32,3.96,1.37,-4.78,-0.54,49.84,38.83,4.93,9.25,-3.85,-13.19
Rzeczowe składniki majątku trwałego,,-0.61,-0.64,2.2,16.72,34.96,-0.52,9.49,1.79,2.14,-3.2,1.63,5.99,-6.37,-9.79,48.39,-2.4,2.09,-14.19,-0.53
Należności długoterminowe,,-5.71,-100.0,,,,,,,,,,,,,42.09,-9.27,-8.72,-15.5,-7.03
Inwestycje długoterminowe,,263.47,212.76,-52.65,14.82,34.99,73.95,58.2,41.95,-15.46,67.07,6.42,9.47,6.73,2.64,21.04,16.49,29.02,35.08,1.53
Pozostałe aktywa trwałe,,44.01,60.21,159.09,14.79,8.38,22.54,60.83,1.42,10.22,-3.62,13.05,-19.02,-12.9,-78.07,-9.43,14.61,-15.95,-28.3,-26.25
Aktywa obrotowe,,-6.47,10.43,84.2,17.48,0.64,2.13,26.66,-8.63,23.12,20.6,-26.01,11.26,16.15,-1.5,-8.33,-7.15,1.94,-3.65,33.06
Zapasy,,9.59,213.7,223.72,33.6,-25.45,-17.03,9.46,-6.71,6.07,7.77,6.08,34.43,-10.0,22.79,-12.11,-24.46,-3.14,22.73,47.66
Należności krótkoterminowe,,-21.03,7.66,31.74,-7.86,-11.73,11.75,92.06,-6.59,7.61,80.25,-47.74,39.45,-9.22,-5.36,-8.51,-39.79,12.24,43.26,-23.68
Inwestycje krótkoterminowe,,21.7,-56.25,-51.84,22.28,596.28,30.14,-10.56,-16.1,86.07,-40.63,-0.76,-90.37,1458.06,-32.71,2.0,107.05,-0.21,-59.53,136.1
Środki pieniężne i inne aktywa pieniężne,,127.37,-18.03,-41.62,-55.74,861.98,10.7,62.36,-58.71,250.16,-23.38,9.28,-90.37,996.17,-59.16,-31.46,103.53,13.57,-80.68,369.74
Pozostałe aktywa obrotowe,,80.34,-20.32,-26.96,7.82,-20.91,32.62,12.06,23.67,46.98,-36.46,-42.98,36.17,19.2,-3.89,41.76,-100.0,,,-100.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,-24.11,14.06
Aktywa razem,,-2.59,15.04,51.82,17.0,6.15,5.29,27.05,-1.95,14.75,21.41,-17.77,9.15,11.05,-0.8,3.44,-1.33,8.48,6.0,16.45
Kapitał własny akcjonariuszy jednostki dominującej,,2.14,4.4,29.09,27.51,20.4,12.18,17.82,9.41,6.36,4.13,4.07,3.56,4.57,12.83,4.62,3.28,9.05,6.28,7.99
Kapitał (fundusz) podstawowy,,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,1.39,-1.65,9.76,42.16,40.47,28.14,18.37,17.93,4.12,6.92,10.46,-93.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,4.11,3.3,8.87,12.28,6.32,-0.97,-63.94,248.32,14.08,17.31,17.26,8.17,-19.82,14.75,12.35,8.08,8.32,13.53,3.37
Zobowiązania długoterminowe,,-50.6,-26.83,170.0,4490.74,85.3,-43.12,1.36,-2.23,-10.18,-14.13,95.26,38.27,-9.75,-4.57,82.82,9.51,35.77,-20.15,2.22
Z tytułu dostaw i usług,,-4.35,59.83,42.34,-15.88,-20.59,26.7,62.61,-14.81,18.51,86.42,-45.07,35.44,-5.31,-12.27,-8.68,4.37,1.16,9.48,74.2
Kredyty i pożyczki,,-12.1,33.5,188.77,63.41,-35.86,-84.93,167.64,-32.78,6.03,424.37,-50.09,81.18,-58.38,94.07,-21.45,-40.68,32.61,53.57,-46.69
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,-16.42,-100.0,,-97.4,107.14,46.8,57.38,45.42,26.25,-27.06,-7.96,112.98,-27.54,97.53,31.21,-0.35,-21.83,-0.44
Inne zobowiązania długoterminowe,,,,,,,-100.0,,,,,,9.08,20.52,7.67,-4.02,-72.68,217.66,7.86,-4.79
Zobowiązania krótkoterminowe,,-22.54,51.93,71.67,7.94,-20.21,-4.82,59.62,-18.25,27.33,59.01,-34.41,16.74,26.64,-20.22,-8.21,-14.82,-0.83,14.62,45.21
Inne zobowiązania krótkoterminowe,,-55.45,35.96,126.22,7.43,13.24,0.06,44.33,-23.37,49.91,-28.03,26.35,-39.9,246.5,-42.63,-4.76,-43.37,-18.43,19.95,3.48
