,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,57.11,5.7,29.24,12.54,-9.82,5.28,33.03,10.48,7.73,16.9,-1.39,0.83,9.11,3.48,-2.03,-43.37
Techniczny koszt wytworzenia produkcji sprzedanej,,84.79,25.12,19.58,11.9,1.06,4.59,37.45,13.74,10.46,13.21,-0.14,4.23,1.62,3.75,-3.91,-46.19
Koszty sprzedaży,,-100.0,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,5.99,-10.07,16.17,5.41,33.15,-22.33,-17.44,-4.73,-1.03,5.04,6.3,14.8,-6.69,13.49,12.09,-44.07
Zysk ze sprzedaży,,56.74,-99.05,11676.32,32.58,-163.83,92.95,934.83,-37.15,-98.93,27266.67,-45.97,-201.94,397.04,-14.03,8.5,4.6
Pozostałe przychody operacyjne,,-231.08,114.56,354.21,-93.0,12202.94,-122.16,-92.13,133.07,22.24,32.22,-12.82,1.45,54.28,-59.51,-72.24,-206.16
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,40.19,-95.58,3321.38,20.28,-93.36,-401.52,137.52,344.2,-63.07,588.03,-39.73,-146.56,664.83,-21.4,1.76,-0.2
Przychody finansowe,,200.0,-42.7,268.63,155.32,-153.33,-58.98,1578.62,-97.59,-204.14,-192.05,45.58,-95.0,-116.88,48.97,161.97,-53.89
Koszty finansowe,,,,,,,,,,,,,,,,,
Pozostałe przychody (koszty),,,,100.0,,333.33,-476.19,100.0,,,,-260.61,94.34,0.0,100.0,,-58.03
Zysk z działalności gospodarczej,,49.69,-96.17,3891.47,25.03,-97.5,-1143.48,484.88,-66.98,-72.65,696.06,-40.74,-168.6,470.21,-17.36,390.95,-44.93
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,49.69,-96.17,3891.47,25.03,-97.5,-1143.48,484.88,-66.98,-72.65,696.06,-40.74,-168.6,470.21,-17.36,390.95,-44.93
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,544.55,52.67
