,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,3.53,90.74,41.54,27.93,25.5,7.18,-3.12,18.13,9.79,0.45,32.99,26.67,34.94,13.31,-12.61
Techniczny koszt wytworzenia produkcji sprzedanej,,27.38,50.32,52.16,33.15,29.97,13.37,15.19,-3.87,5.57,3.69,22.91,14.68,41.62,25.48,8.09
Koszty sprzedaży,,,,,,,,,,,,,,-100.0,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-81.17,1062.03,8.55,5.22,0.86,-36.74,-236.25,218.65,46.56,-19.87,114.96,67.34,25.82,-30.32,-146.22
Pozostałe przychody operacyjne,,-33.33,1000.0,3272.73,-28.3,-73.87,-33.81,33.7,-66.67,0.0,436.59,0.91,270.72,28.43,13.53,-28.92
Pozostałe koszty operacyjne,,-100.0,,,-44.85,340.19,-95.97,36.84,-69.23,10637.5,-92.2,532.84,-48.35,25.57,-84.36,309.3
Zysk operacyjny (EBIT),,-80.95,1061.25,36.76,-0.75,-29.3,-20.86,-222.32,227.23,7.1,14.5,95.25,85.26,26.04,-25.34,-133.0
Przychody finansowe,,115.79,29.27,213.21,11.45,-83.24,-77.42,-71.43,3500.0,-100.0,,-97.98,-50.0,4100.0,1188.1,-92.61
Koszty finansowe,,-44.44,110.0,21.43,-39.22,25.81,43.59,146.43,-44.2,102.6,-66.03,256.6,53.44,-59.66,81.2,784.43
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-78.01,932.6,42.11,0.75,-33.67,-23.27,-236.71,217.67,0.23,24.73,85.14,86.39,29.1,-22.18,-151.18
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-78.01,932.6,42.11,0.75,-33.67,-23.27,-236.71,217.67,0.23,24.73,85.14,86.39,29.1,-22.18,-151.18
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,-78.15,947.22,40.45,2.93,-34.54,-27.54,-248.07,215.35,-0.85,36.09,77.13,80.95,33.87,-20.46,-153.1
Zysk netto akcjonariuszy jednostki dominującej,,-78.15,947.22,40.45,2.93,-34.54,-27.54,-248.07,215.35,-0.85,36.09,77.13,80.95,33.87,-20.46,-153.1
Aktywa trwałe,,-20.74,28.64,38.39,35.37,-15.78,17.88,11.25,-32.1,-33.33,143.85,307.82,-10.94,17.24,91.53,-5.41
Wartości niematerialne i prawne,,-25.52,-4.17,99.03,29.37,-26.45,-35.97,-53.78,-70.69,-91.18,233.33,32620.0,-19.47,-2.73,189.19,-7.35
Rzeczowe składniki majątku trwałego,,-13.66,68.93,-8.7,12.82,-15.91,111.2,-6.58,-22.9,-6.85,167.3,19.27,-8.55,16.36,32.61,-52.57
Należności długoterminowe,,0.0,40.0,-21.43,-45.45,-16.67,200.0,-26.67,63.64,0.0,44.44,30.77,38.24,14.89,3.7,32.14
Inwestycje długoterminowe,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,-66.67,-50.0,2400.0,416.0,28.68,-6.02,182.05,-35.0,-65.03,73.0,117.92,51.19,111.4,-51.37,148.46
Aktywa obrotowe,,57.03,41.72,210.07,-37.3,61.59,5.27,35.96,-11.9,-7.18,32.54,-15.35,35.36,45.57,-8.96,-10.19
Zapasy,,-100.0,,,-97.18,175.76,32.97,1735.54,-66.19,-97.87,-100.0,,-100.0,,,
Należności krótkoterminowe,,103.99,-26.54,124.38,-33.7,221.37,-15.34,48.17,-7.24,-11.18,13.75,20.92,48.87,62.08,-10.57,1.71
