,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-25.1,-10.7,-59.82,-17.03,8.55,24.34,6.87,-0.49,7.83,117.98,-60.37,2.81,-6.93,35.65
Techniczny koszt wytworzenia produkcji sprzedanej,,-42.85,23.03,3.11,-69.23,-61.31,-4.08,-41.38,22.96,83.23,-5.71,-28.14,-3.48,-13.43,155.35
Koszty sprzedaży,,165.1,108.88,-30.62,-91.42,371.43,-40.46,27.84,45.67,62.54,-65.68,-22.19,12.22,-60.07,-65.29
Koszty ogólnego zarządu,,15.29,-7.08,-53.78,21.31,-21.75,1.69,-25.53,-1.96,1.32,14.87,5.09,-7.28,-34.8,-100.0
Zysk ze sprzedaży,,-19.93,-28.27,-0.64,40.96,56.15,38.87,136.31,-21.82,-68.22,4570.86,-113.64,58.13,373.73,352.86
Pozostałe przychody operacyjne,,-88.31,-96.6,258.16,-651.15,1007.5,-44.45,-86.27,163.47,-145.75,481.93,-4.7,-6.32,-62.23,-99.99
Pozostałe koszty operacyjne,,,4537.88,-45.57,-100.0,,,,,,,,,,
Zysk operacyjny (EBIT),,-110.78,-1799.64,40.29,79.63,407.17,-44.95,-81.26,127.55,-140.59,745.35,-45.81,-1.39,-49.66,-0.93
Przychody finansowe,,65.82,-78.28,73.68,-89.94,970.85,-11.38,-5.56,-2.21,-80.52,4.45,-14.44,-42.75,26.2,-40.02
Koszty finansowe,,-47.15,47.56,-36.51,23.74,49.76,26.87,23.88,-13.03,-40.22,-44.59,166.83,-70.68,-76.15,274.75
Pozostałe przychody (koszty),,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-97.87,-9653.87,42.24,75.51,358.69,-49.06,-95.37,642.38,-193.33,460.86,-61.41,33.2,-44.66,-17.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-97.87,-9653.87,42.24,75.51,358.69,-49.06,-95.37,642.38,-193.33,460.86,-61.41,33.2,-44.66,-17.12
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,100.0
Zysk netto,,-24.95,-449.67,43.1,73.56,339.29,-55.02,-108.32,158.04,-183.42,3313.71,-72.82,91.16,-142.63,256.62
Zysk netto akcjonariuszy jednostki dominującej,,-24.95,-449.67,43.1,73.56,339.29,-55.02,-108.32,158.04,-183.42,3313.71,-72.82,91.16,-142.63,256.62
Aktywa trwałe,,-13.14,-31.06,-21.69,1.85,30.99,13.87,-11.19,-9.46,-52.17,-48.22,45.51,-6.03,-96.89,-100.0
Wartości niematerialne i prawne,,-3.94,-53.71,-99.41,-21.17,-14.81,-34.78,-50.0,-90.0,-100.0,,,,,
Rzeczowe składniki majątku trwałego,,-12.83,-3.28,-5.23,-12.78,7.15,5.47,-14.0,-11.46,-30.25,-28.91,-41.76,-51.42,-100.0,
Należności długoterminowe,,,-91.86,-100.0,,,,,155.07,-40.92,-52.18,0.0,87.83,-100.0,
Inwestycje długoterminowe,,-12.49,-29.14,-18.04,1.82,31.13,13.81,-11.17,-9.55,-52.22,-48.25,45.84,-6.11,-96.88,-100.0
Pozostałe aktywa trwałe,,-63.57,-71.28,-98.1,737.21,-76.39,549.41,-100.0,,,,,,,
Aktywa obrotowe,,-13.53,-15.5,-29.19,-66.59,27.26,26.02,178.75,81.86,45.27,20.7,-29.13,-66.43,17.3,-99.94
Zapasy,,-18.22,-13.13,-76.62,-49.84,-16.06,-18.84,3.25,-0.86,-46.23,23.29,0.19,7.94,70.59,-100.0
Należności krótkoterminowe,,50.06,-4.93,-26.43,-54.24,25.29,-6.07,10.51,-28.81,9.6,5.19,138.65,-83.71,-11.18,-97.96
Inwestycje krótkoterminowe,,-25.57,-56.44,66.79,-55.79,56.66,58.46,215.04,52.94,-28.54,35.77,22.38,-51.94,-6.7,-99.99
Środki pieniężne i inne aktywa pieniężne,,-25.57,-56.44,66.79,-55.79,56.66,38.91,245.18,59.23,-28.54,35.77,22.38,-51.94,-6.7,-99.99
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,110.6,-100.0,,,,386.96,210.62,14.0,-64.88,-94.44,406.85,-100.0
Aktywa razem,,-13.19,-28.8,-22.99,-8.99,30.77,14.56,0.63,6.29,-23.42,-9.64,-10.3,-41.71,-58.04,-99.94
Kapitał własny akcjonariuszy jednostki dominującej,,6.53,-34.19,-29.39,-14.14,22.81,11.46,-0.87,5.55,-30.7,5.19,-17.1,-49.25,-43.92,-100.13
Kapitał (fundusz) podstawowy,,-99.71,-2.18,0.7,0.85,-5.03,0.0,0.0,19.75,0.0,-32.99,0.0,0.0,-65.98,0.0
Udziały (akcje) własne,,,,,,100.0,,,,,73.14,-172.95,-146.15,82.69,-156.15
Kapitał (fundusz) zapasowy,,,,-100.0,,,,,,,,,,,
Udziały niekontrolujące,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-52.05,-49.43,132.35,-70.57,260.21,81.93,-18.78,-20.46,-34.7,-16.41,-66.68,169.35,-87.87,-100.0
Z tytułu dostaw i usług,,10.45,20.84,-38.99,11.34,2.99,5.57,110.45,203.44,-5.13,-56.91,18.6,-67.73,41.0,-99.27
Kredyty i pożyczki,,-96.49,1735.34,-96.22,4290.52,-23.98,-89.47,-4.29,273.33,-81.81,-6.54,2127.14,-63.37,-100.0,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,2334.01,-100.0,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,-80.46,-32.33,-39.45,29.16,139.06,1.07,-37.78,79.19,-46.55,-10.04,10.93,-26.46,-37.88,-100.0
Zobowiązania krótkoterminowe,,-78.58,263.48,-80.06,571.99,-20.39,-70.78,206.09,75.88,14.06,-36.3,59.96,-64.77,-54.9,-99.32
Inne zobowiązania krótkoterminowe,,121.81,269.52,-85.71,-28.99,-100.0,,,-18.26,1243.41,2.08,-88.21,-63.12,-18.45,-100.0
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,
Pasywa razem,,-13.19,-28.8,-22.99,-8.99,30.77,14.56,0.63,6.29,-23.42,-9.64,-10.3,-41.71,-58.04,-99.94
Przepływy pieniężne z działalności operacyjnej,,-891.51,29.62,-271.97,93.99,-220.22,47.9,234.04,156.53,-100.76,-21616.86,33.98,79.68,-18.08,-4.26
Amortyzacja,,35.79,3.88,-30.41,-42.9,-3.76,9.27,5.36,1.27,0.42,-16.67,0.0,0.0,-97.0,-100.0
Przepływy pieniężne z działalności inwestycyjnej,,237.66,-116.97,912.08,-92.44,-565.43,-26.54,382.32,37.66,29.09,14.04,11.18,-25.9,29.97,-51.78
CAPEX (niematerialne i rzeczowe),,-1.27,982.14,12.87,47.41,69.26,76.61,-60.78,-28.49,-50.96,-48.67,-97.38,1235.19,402.22,-100.0
Przepływy pieniężne z działalności finansowej,,-418.01,111.06,1064.97,-151.33,345.0,-2.99,-113.87,-974.16,-181.42,67.71,-66.89,-131.05,29.06,37.78
Emisja akcji,,,,,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,14.32,-64.34,151.54,-239.33,144.9,7.57,775.34,-17.32,-177.38,189.56,-15.09,-383.78,93.35,-315.15
