,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,25.55,18.85,56.33,27.36,23.42,3.81,19.87,29.34,27.69,15.86,7.57,17.32,16.79,14.47,23.02,-20.72,78.77,13.52,9.29
Techniczny koszt wytworzenia produkcji sprzedanej,,24.06,18.24,41.49,26.2,43.66,0.1,12.96,30.68,22.23,15.79,20.78,29.22,7.27,10.15,30.39,-20.81,57.34,33.62,6.65
Koszty sprzedaży,,33.7,24.87,45.47,28.1,21.21,8.36,15.6,26.92,30.63,21.07,3.58,19.51,14.42,9.88,21.58,-8.37,54.86,11.96,-3.33
Koszty ogólnego zarządu,,15.04,24.97,41.36,33.47,-3.59,1.35,12.33,29.25,16.72,33.03,-12.74,13.7,70.8,46.1,5.58,-10.75,55.41,15.78,6.55
Zysk ze sprzedaży,,8.82,-9.19,236.29,26.34,-16.65,4.87,72.56,31.92,39.38,-0.89,-14.44,-41.03,90.78,40.17,7.31,-74.66,808.04,-38.94,83.26
Pozostałe przychody operacyjne,,-17.77,-20.15,14.08,57.45,225.94,-19.65,-9.08,34.45,22.09,35.78,-47.2,62.7,-9.27,-0.4,-39.6,489.85,-36.97,19.9,-30.26
Pozostałe koszty operacyjne,,-23.93,32.26,48.83,79.62,49.67,-32.59,8.75,27.81,72.12,18.82,-10.17,89.82,-43.94,91.5,0.21,41.63,255.43,-70.28,-16.66
Zysk operacyjny (EBIT),,11.64,-15.94,254.69,22.54,-15.6,9.78,72.4,32.44,35.48,-1.06,-17.47,-54.96,155.47,30.79,6.49,-81.01,866.5,-19.92,92.8
Przychody finansowe,,-86.79,841.53,-76.45,1099.48,-83.8,259.21,26.67,-83.65,6.05,27.85,-34.01,-34.02,263.73,77.11,29.62,555.2,-63.16,381.82,-22.8
Koszty finansowe,,41.36,3.28,44.09,81.55,125.86,-35.81,-11.3,26.81,189.6,61.75,-40.67,-62.74,-42.0,111.61,266.58,125.27,-19.86,-18.1,49.34
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-1.07,-7.29,243.3,28.58,-34.69,29.85,83.07,28.13,23.51,-12.21,-9.9,-53.16,190.44,28.39,-8.08,-117.52,1157.39,-11.73,88.25
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-1.07,-7.29,243.3,28.58,-34.69,29.85,83.07,28.13,23.51,-12.21,-9.9,-53.16,190.44,28.39,-8.08,-117.52,1157.39,-11.73,88.25
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,100.0
Zysk netto,,-4.99,-1.82,242.67,24.31,-37.48,31.22,95.87,31.52,22.28,11.32,-27.09,-50.25,152.2,14.61,-16.65,-145.16,601.51,-49.13,232.32
Zysk netto akcjonariuszy jednostki dominującej,,-4.99,-1.82,242.67,24.31,-38.12,32.57,95.56,31.15,22.28,11.27,-26.74,-50.25,152.24,14.59,-16.65,-145.16,601.51,-48.96,230.21
Aktywa trwałe,,42.8,11.4,32.31,166.18,-3.61,-3.94,4.93,22.14,35.4,23.09,18.5,2.32,4.41,25.94,142.82,-4.26,25.04,4.61,8.46
Wartości niematerialne i prawne,,5.8,-6.64,-9.59,2157.35,-0.44,-0.63,0.17,2.23,0.91,12.3,2.73,1.9,6.22,7.28,9.72,-3.91,2.01,10.16,19.29
Rzeczowe składniki majątku trwałego,,50.2,10.68,33.28,81.58,-5.96,-4.84,6.65,33.68,49.84,15.84,21.17,2.59,4.35,34.93,192.17,-5.34,22.75,0.84,10.66
Należności długoterminowe,,-60.38,33.69,1335.6,-50.6,-40.38,0.47,328.34,90.81,48.94,-51.27,-6.13,4.5,-21.75,61.75,1.83,69.64,37.76,1589.99,-27.11
Inwestycje długoterminowe,,-2.01,3.08,0.78,-20.99,0.0,-67.87,282.25,-4.08,1139.91,-75.71,-30.93,-92.28,-25.74,-100.0,,,,,18.39
Pozostałe aktywa trwałe,,-8.46,92.76,40.94,53.98,10.8,-24.99,14.88,20.7,31.65,402.5,34.82,2.07,2.67,-0.52,-36.34,32.36,138.14,-16.76,-12.21
Aktywa obrotowe,,37.06,32.25,29.27,61.2,-5.75,15.26,21.28,17.66,23.21,12.52,24.76,4.02,24.35,29.55,26.06,26.72,50.16,-21.64,4.66
Zapasy,,30.2,34.31,25.64,59.79,-30.24,31.5,40.09,10.34,22.74,21.62,34.76,-11.79,26.49,8.0,20.8,7.98,86.27,-13.22,-9.34
Należności krótkoterminowe,,53.39,34.04,20.48,65.92,-7.4,27.64,23.82,32.52,41.84,-15.74,-15.62,37.7,-23.52,-24.62,-3.18,71.96,7.37,258.21,-6.72
Inwestycje krótkoterminowe,,76.51,17.24,72.39,62.54,119.35,-16.07,-29.62,36.38,1.45,13.5,22.25,62.91,40.71,122.47,37.3,46.4,18.08,-60.24,57.82
Środki pieniężne i inne aktywa pieniężne,,76.65,11.63,74.91,68.12,119.84,-51.15,21.25,36.27,-6.3,22.88,22.3,62.96,40.75,102.99,30.29,-6.14,6.03,-65.68,131.48
Pozostałe aktywa obrotowe,,-3.98,29.03,-3.72,75.83,30.19,-11.38,47.94,14.46,35.58,35.6,29.96,41.59,144.74,-23.06,27.02,6.74,155.56,-46.14,11.36
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,39.58,22.88,30.51,104.58,-4.6,4.83,13.15,19.73,28.95,17.75,21.52,3.16,14.38,27.91,78.52,7.79,36.52,-8.59,6.82
Kapitał własny akcjonariuszy jednostki dominującej,,21.82,16.8,49.41,39.34,21.12,7.2,23.52,33.32,23.57,9.5,15.57,12.96,14.46,17.07,13.53,-5.52,6.64,21.82,18.26
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,2.49,0.26,0.0,1.54,3.01,0.0,0.0,0.0,0.46,0.71,0.0,0.0,0.0,0.0,0.08,-0.22
Udziały (akcje) własne,,,,,,-0.01,-0.01,-0.01,-0.02,-0.03,11.27,-0.04,-0.03,-0.04,0.62,4.53,100.0,,,
Kapitał (fundusz) zapasowy,,32.34,15.92,18.29,58.83,42.15,5.7,8.63,25.24,22.8,21.17,17.44,3.17,13.38,38.65,19.38,16.61,-23.02,13.85,-8.24
Udziały niekontrolujące,,,,,,,,,-6.0,25.22,1.67,-100.0,,,0.0,0.0,0.0,0.0,-10813.33,301.59
Zobowiązania długoterminowe,,239.07,3.23,114.6,866.23,7.88,-19.12,-68.23,46.58,46.84,9.56,63.29,-22.33,-12.76,48.47,812.69,-1.43,27.91,-6.54,-7.83
Z tytułu dostaw i usług,,52.27,109.8,41.54,48.89,-9.21,38.77,20.73,26.57,14.57,13.0,16.62,22.13,50.12,13.22,37.14,35.17,79.08,-38.4,36.65
Kredyty i pożyczki,,76.63,-1.91,-54.07,333.14,-69.04,13.29,35.91,-48.15,184.35,117.95,48.3,-43.84,-82.07,259.66,-46.14,376.1,2.67,50.66,-93.92
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,-28.53,2107.96,-100.0,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,-15.05,-73.84,-43.75,-22.22,100.0,-91.67,-100.0,,,,,-3.85,14.53,20.48,12.52
Inne zobowiązania długoterminowe,,92.32,11.98,20.88,188.73,-70.2,-25.45,-18.28,101.29,37.84,-21.92,859.28,20.71,26.44,182.07,-50.15,-17.59,9.76,1.22,-57.9
Zobowiązania krótkoterminowe,,61.83,31.95,5.06,108.67,-39.05,25.27,49.62,-4.08,36.01,35.11,22.75,-4.16,19.93,42.08,47.15,30.39,64.94,-24.22,8.44
Inne zobowiązania krótkoterminowe,,-46.25,7.98,805.71,25.1,-52.04,-61.74,327.13,51.95,59.16,7.37,-44.24,63.2,89.44,213.26,-24.83,-38.1,183.73,-29.09,-8.68
Rozliczenia międzyokresowe,,-10.44,42.0,-100.0,,,,,,,,,,,,,,,,
Pasywa razem,,39.58,22.88,30.51,104.58,-4.6,4.83,13.15,19.73,28.95,17.75,21.52,3.16,14.38,27.91,78.52,7.79,36.52,-8.59,6.82
Przepływy pieniężne z działalności operacyjnej,,1352.21,63.17,127.54,12.99,62.77,-37.92,28.65,89.46,5.72,-3.13,-48.49,182.87,24.37,35.7,52.5,-41.86,179.54,-79.28,597.87
Amortyzacja,,60.64,34.72,19.97,33.4,44.86,-1.78,1.07,14.21,35.96,30.69,15.43,19.6,9.74,18.99,213.26,-1.9,6.95,-1.61,22.43
Przepływy pieniężne z działalności inwestycyjnej,,-44.32,32.7,-54.5,-497.62,87.67,-83.42,69.66,-558.29,-98.78,8.17,12.7,56.36,-111.7,-83.47,-22.3,-16.9,-31.9,32.47,-9.65
CAPEX (niematerialne i rzeczowe),,46.64,-33.96,56.72,157.13,-62.51,6.19,28.49,122.95,87.9,1.61,-10.89,-44.6,62.45,80.9,25.65,-17.83,60.61,-12.66,-5.8
Przepływy pieniężne z działalności finansowej,,7.59,-117.73,-418.63,881.74,-133.3,27.47,-91.99,8.14,99.68,3118.74,1067.04,-295.79,8.63,105.82,-3361.04,79.55,-1071.46,62.73,-351.29
Emisja akcji,,,,,,-99.98,-100.0,,-100.0,,,,,,,,,,,
Dywidenda,,,,,,,,60.12,2.38,9.56,10.7,-66.26,3.36,9.33,11.93,50.07,-100.0,,-22.22,23.04
Przepływy pieniężne razem,,267.69,-73.19,618.91,59.07,195.75,-131.68,160.09,107.01,-123.66,440.48,15.66,261.74,4.48,253.83,-42.41,-123.68,156.51,-2270.58,169.01
