,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,35.22,10.71,18.21,20.64,4.06,4.38,3.05,12.65,6.23,10.58,8.98,-1.66,-0.92,24.23,4.95,6.89,5.9,14.23,-2.31
Techniczny koszt wytworzenia produkcji sprzedanej,,38.96,4.77,21.53,22.26,7.2,-0.93,1.57,15.81,5.92,0.26,8.27,-3.39,8.91,21.05,0.86,6.6,5.95,19.27,1.29
Koszty sprzedaży,,1.63,16.77,13.22,10.97,43.78,19.05,-2.33,3.74,15.85,12.59,16.28,1.4,2.44,3.63,4.4,-1.59,6.51,26.71,4.71
Koszty ogólnego zarządu,,11.8,24.57,10.66,28.27,10.81,2.17,39.78,-1.01,-1.65,4.77,23.47,9.46,-3.91,8.2,20.56,-0.87,2.41,10.13,-0.68
Zysk ze sprzedaży,,77.17,61.76,1.97,8.9,-70.24,142.57,-12.98,8.69,5.58,210.03,-2.57,-2.18,-67.63,212.22,26.89,23.99,7.58,-22.2,-44.93
Pozostałe przychody operacyjne,,-41.36,19.53,100.1,13.16,260.12,-43.46,398.63,-29.81,-28.16,-25.07,137.62,87.36,-54.76,14.07,70.24,50.84,-58.46,44.74,36.9
Pozostałe koszty operacyjne,,56.29,14.47,87.58,36.64,-100.0,,214.94,27.98,-27.83,90.52,-17.98,46.81,-48.46,155.21,-21.53,232.19,-75.8,18.39,-16.04
Zysk operacyjny (EBIT),,69.49,66.51,-3.39,4.35,-47.13,56.64,4.21,-22.36,11.96,186.04,14.72,3.42,-69.4,144.71,63.79,-25.02,74.15,-21.16,-34.79
Przychody finansowe,,16.08,253.81,-127.2,11457.58,-97.7,-95.62,405.5,789.52,-74.25,-314.12,66.73,-130.85,936.62,-143.78,92.73,-2513.21,51.18,144.53,872.99
Koszty finansowe,,,,,,,,,,,,,,,,,,,,
Pozostałe przychody (koszty),,234.33,131.46,25.95,-101.29,-1019.05,91.49,5.0,39.47,-65.22,-2513.16,-227.19,-155.68,62.9,-260.55,100.0,,,,
Zysk z działalności gospodarczej,,135.29,124.63,-16.59,437.18,-88.4,34.61,6.32,-2.13,-7.58,152.09,16.8,-3.1,-38.38,-3.22,127.86,-43.1,115.15,-12.0,-0.69
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,135.29,124.63,-16.59,437.18,-88.4,34.61,6.32,-2.13,-7.58,152.09,16.8,-3.1,-38.38,-3.22,127.86,-43.1,115.15,-12.0,-0.69
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,184.31,90.85,-19.95,374.38,-86.86,65.38,-21.76,8.92,-37.58,196.28,16.51,-5.66,-42.53,-25.44,225.16,12.46,-2.26,-15.01,-4.77
Zysk netto akcjonariuszy jednostki dominującej,,146.68,88.08,-18.93,365.57,-83.78,35.32,-14.29,8.51,-38.33,170.74,17.32,-8.31,-42.44,-27.17,242.45,13.26,3.62,-12.35,-6.71
Aktywa trwałe,,24.27,33.7,18.47,67.63,1.82,1.13,13.84,11.08,-2.4,6.81,9.89,11.2,8.62,2.04,6.68,7.51,3.54,10.1,-6.07
Wartości niematerialne i prawne,,2.59,2.64,-1.21,221.79,8.09,-13.95,1.12,19.48,-11.88,-7.68,-6.16,-4.86,3.7,-3.92,-2.01,1.87,4.25,8.89,-4.27
Rzeczowe składniki majątku trwałego,,21.45,52.74,31.61,40.79,-0.32,7.51,19.02,9.07,0.65,7.61,9.05,17.84,11.43,-0.68,11.29,9.36,4.07,9.9,-5.91
Należności długoterminowe,,,,,,0.23,-28.54,38.89,6.41,-11.07,-100.0,,202.07,14.41,290.77,-57.47,-20.22,10.71,-17.43,2.42
Inwestycje długoterminowe,,132.27,-22.73,-98.57,1181.13,-59.28,131.1,-11.27,-74.25,-46.92,10243.23,151.66,-25.3,-11.4,28.88,8.58,8.88,-5.6,25.72,-22.19
Pozostałe aktywa trwałe,,107.99,33.72,8.81,1.27,-5.21,20.27,15.92,3.09,6.86,9.92,1.9,13.84,0.34,-1.07,-3.1,-2.47,0.57,7.0,3.96
Aktywa obrotowe,,29.41,32.57,23.01,61.01,-5.41,14.19,-0.64,13.09,1.34,6.24,5.07,10.33,-0.13,19.36,13.8,9.66,6.66,5.9,3.95
Zapasy,,74.2,-22.89,63.09,-10.01,11.7,50.33,-10.94,40.99,-13.83,-10.74,7.29,48.9,50.18,-15.46,-6.64,-2.89,4.27,-6.45,25.01
Należności krótkoterminowe,,13.92,46.7,18.68,24.58,-10.22,28.7,3.42,33.61,-3.46,-2.9,10.47,6.34,-3.8,31.74,9.58,-6.19,5.16,14.51,-6.33
Inwestycje krótkoterminowe,,60.0,27.98,5.41,230.7,-2.14,-5.42,-4.05,-25.59,21.46,31.99,-4.31,6.53,-8.66,15.12,31.48,43.5,8.98,-2.29,10.15
Środki pieniężne i inne aktywa pieniężne,,70.35,28.23,5.69,230.51,-6.96,-1.88,-3.45,-26.39,17.83,38.63,-4.59,6.33,-11.83,18.26,31.23,38.83,-2.28,13.82,5.13
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,-72.85,0.0,-100.0,,,,,,,-30.91,-100.0,,,,,
Aktywa razem,,27.09,33.07,21.0,63.88,-2.2,8.16,5.62,12.15,-0.39,6.5,7.26,10.73,3.95,10.92,10.61,8.73,5.33,7.66,-0.36
Kapitał własny akcjonariuszy jednostki dominującej,,24.15,64.88,18.21,73.16,8.28,7.01,4.42,3.54,0.76,9.89,11.51,10.4,1.83,-0.55,10.95,13.43,9.8,7.72,3.7
Kapitał (fundusz) podstawowy,,1.5,8.11,5.87,0.0,0.0,1.14,0.0,0.0,0.0,0.92,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,-26.79,47.13,0.85,4.61,2.21,1.92,1.12,0.23,2.02,2.08,0.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,-40.96
Udziały niekontrolujące,,2.43,1.58,-2.41,166.94,-55.12,-45.78,2.76,-65.05,242.51,8.95,5.14,12.43,10.16,11.37,3.74,-0.67,-38.13,-81.04,-310.18
Zobowiązania długoterminowe,,20.09,-7.68,50.25,82.22,-12.72,-2.14,1.04,-0.44,11.31,6.33,-5.47,28.97,20.69,-3.15,11.8,-1.91,-3.34,5.03,-13.17
Z tytułu dostaw i usług,,31.31,27.73,19.69,15.9,-33.36,26.89,-2.32,58.76,-18.56,-27.44,9.93,2.38,14.78,2.92,5.08,12.7,12.39,14.34,1.17
Kredyty i pożyczki,,200.63,5.31,63.04,441.84,-51.86,1.47,109.6,32.4,-43.01,-0.86,17.69,17.87,37.38,2.96,2.05,-2.23,0.66,10.61,-12.51
Z tytułu emisji dłużnych papierów wartościowych,,40.46,-100.0,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,-73.76,127.22,234.72,19.72,43.38,-78.34,-5.89,3183.92,21.69,9.83,0.36,4.92
