,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,84343.0,100503.0,126662.0,129176.0,189327.0,221233.0,322434.0,285859.0,190993.0,309847.0,366738.0,451308.0
Techniczny koszt wytworzenia produkcji sprzedanej,67159.0,73402.0,97571.0,85175.0,128884.0,133019.0,207220.0,186883.0,136955.0,197004.0,231400.0,281609.0
Koszty sprzedaży,1831.0,865.0,648.0,5691.0,7797.0,11414.0,9516.0,8145.0,8691.0,13636.0,12456.0,16470.0
Koszty ogólnego zarządu,2782.0,3285.0,3275.0,3521.0,7842.0,9048.0,9135.0,9719.0,9764.0,11533.0,13565.0,15304.0
Zysk ze sprzedaży,12571.0,22951.0,25168.0,34789.0,44804.0,67752.0,96563.0,81112.0,35583.0,87674.0,109317.0,137925.0
Pozostałe przychody operacyjne,384.0,91.0,1442.0,4266.0,3663.0,3191.0,389.0,522.0,250.0,392.0,697.0,34701.0
Pozostałe koszty operacyjne,160.0,193.0,426.0,625.0,14214.0,1514.0,784.0,682.0,519.0,390.0,210.0,1104.0
Zysk operacyjny (EBIT),12795.0,22849.0,26184.0,38430.0,34253.0,69429.0,96168.0,80952.0,35314.0,87676.0,109804.0,171522.0
Przychody finansowe,325.0,211.0,761.0,616.0,936.0,1241.0,1725.0,1866.0,376.0,192.0,1006.0,2786.0
Koszty finansowe,1707.0,679.0,823.0,1769.0,4857.0,7965.0,9302.0,7095.0,7065.0,14296.0,25860.0,12176.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2995.0,-193.0,-8027.0,10269.0
Zysk z działalności gospodarczej,11413.0,22381.0,26122.0,37277.0,30332.0,62705.0,88591.0,75723.0,25630.0,73379.0,76923.0,172401.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,11413.0,22381.0,26122.0,37277.0,30332.0,62705.0,88591.0,75723.0,25630.0,73379.0,76923.0,172401.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,11403.0,22360.0,26027.0,37479.0,46928.0,76630.0,73027.0,62206.0,20348.0,60148.0,60897.0,142361.0
