,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,120180.0,130468.0,139006.0,156635.0,148952.0,142716.0,173268.0,218631.0,311188.0,233995.0,262481.0,262590.0,199469.0,232720.0,253543.0,295926.0,314281.0,390605.0,447359.0
Techniczny koszt wytworzenia produkcji sprzedanej,96804.0,109335.0,117772.0,128289.0,118955.0,115882.0,139700.0,176047.0,267831.0,198305.0,219579.0,226864.0,169826.0,196770.0,214556.0,252537.0,267205.0,337239.0,381534.0
Koszty sprzedaży,16522.0,11873.0,15510.0,20067.0,17796.0,13241.0,18243.0,18903.0,23211.0,18365.0,19458.0,21207.0,20639.0,24446.0,25724.0,26265.0,27326.0,31603.0,33842.0
Koszty ogólnego zarządu,1604.0,2295.0,4256.0,5775.0,7824.0,5944.0,6554.0,7108.0,11023.0,7888.0,8770.0,8342.0,8631.0,8661.0,8662.0,9471.0,10133.0,10798.0,12602.0
Zysk ze sprzedaży,5250.0,6965.0,1468.0,2504.0,4377.0,7649.0,8771.0,16573.0,9123.0,9437.0,14674.0,6177.0,373.0,2843.0,4601.0,7653.0,9617.0,10965.0,19381.0
Pozostałe przychody operacyjne,953.0,2364.0,1797.0,2180.0,2486.0,496.0,2639.0,778.0,3417.0,1996.0,1700.0,1810.0,3551.0,9683.0,1118.0,1831.0,2477.0,1490.0,2070.0
Pozostałe koszty operacyjne,866.0,1028.0,1751.0,2919.0,2054.0,380.0,1969.0,3341.0,3584.0,2318.0,3228.0,1805.0,1205.0,1977.0,809.0,1102.0,434.0,918.0,1141.0
Zysk operacyjny (EBIT),5337.0,8301.0,1514.0,1765.0,4809.0,7765.0,9441.0,14010.0,8956.0,9115.0,13146.0,6182.0,2719.0,10549.0,4910.0,8382.0,11660.0,11537.0,20310.0
Przychody finansowe,1429.0,1226.0,1436.0,1343.0,658.0,629.0,612.0,1780.0,850.0,801.0,781.0,1034.0,49.0,711.0,375.0,479.0,5.0,1481.0,7.0
Koszty finansowe,1417.0,1759.0,1938.0,3679.0,4321.0,2334.0,2609.0,2796.0,7128.0,2504.0,1803.0,1581.0,1741.0,1289.0,1409.0,1407.0,1819.0,2959.0,7385.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,5349.0,7768.0,1012.0,-571.0,1146.0,6060.0,7444.0,12994.0,2678.0,7412.0,12124.0,5635.0,1027.0,9971.0,3876.0,7454.0,9846.0,10059.0,12932.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5349.0,7768.0,1012.0,-571.0,1146.0,6060.0,7444.0,12994.0,2678.0,7412.0,12124.0,5635.0,1027.0,9971.0,3876.0,7454.0,9846.0,10059.0,12932.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,4412.0,6250.0,765.0,34.0,95.0,4840.0,5878.0,10102.0,2610.0,5674.0,9651.0,4533.0,645.0,7746.0,2915.0,5840.0,7764.0,7768.0,10050.0
Zysk netto akcjonariuszy jednostki dominującej,4412.0,6250.0,849.0,34.0,95.0,4840.0,5878.0,10102.0,2610.0,5674.0,9651.0,4533.0,645.0,7746.0,2915.0,5840.0,7764.0,7768.0,10050.0
Aktywa trwałe,9112.0,18387.0,43135.0,45324.0,28296.0,26134.0,23715.0,39992.0,34834.0,37047.0,42752.0,51535.0,49184.0,39852.0,40600.0,42657.0,46799.0,47206.0,47350.0
Wartości niematerialne i prawne,4.0,1652.0,19202.0,19606.0,1186.0,1093.0,1452.0,1412.0,1323.0,1331.0,1424.0,1391.0,2965.0,2918.0,2850.0,2802.0,1142.0,1131.0,2138.0
