,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,61.95,56.7,-5.29,48.68,3.7,-7.92,-30.52,26.69,-16.25,-83.22,-46.01,-88.65,-28.82,33.64,-24.24,-4.62,22.9
Techniczny koszt wytworzenia produkcji sprzedanej,,63.75,66.55,2.96,53.74,3.77,-12.38,-28.73,-13.98,-31.76,-63.64,-46.09,24.26,578.18,-100.0,,,
Koszty sprzedaży,,,,,,,,,,,,-78.38,-100.0,,,,,
Koszty ogólnego zarządu,,55.72,25.96,37.2,22.1,12.91,3.31,17.86,38.44,38.5,-84.56,58.19,-100.0,,-42.94,-32.82,-34.43,1.92
Zysk ze sprzedaży,,63.29,56.63,-94.33,355.0,-67.95,119.62,-704.94,127.21,-475.55,34.18,-63.49,47.52,-754.4,94.02,34.61,41.64,6.37
Pozostałe przychody operacyjne,,123.81,-55.32,266.67,100.0,-68.83,2239.58,177.65,22.87,-54.45,2006.02,41.35,-119.97,105.46,-9232.33,87.33,87.53,2218.48
Pozostałe koszty operacyjne,,460.0,119.05,-62.5,431.88,19.07,11.1,41.5,125.47,26.66,-93.02,65.69,-90.09,160.0,249.57,434.47,60.25,-98.69
Zysk operacyjny (EBIT),,58.99,52.63,-95.02,253.85,-128.45,533.55,-500.84,150.3,-453.74,441.51,37.87,-132.97,-135.01,-59.52,81.38,49.37,423.74
Przychody finansowe,,-46.43,4320.0,-2.87,-85.25,-100.0,,,,,-53.63,33.91,57.79,3.29,-52.59,168.91,42.81,2.19
Koszty finansowe,,564.29,-100.0,,,,-471.74,614.33,-16.09,3.52,-94.37,800.0,117.44,-54.25,-23.9,-30.38,56.86,2.97
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,54.96,72.91,-85.86,22.27,-134.08,519.08,-524.41,116.52,-1016.62,400.49,35.8,-136.77,-116.97,-58.47,81.38,48.0,408.91
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,54.96,72.91,-85.86,22.27,-134.08,519.08,-524.41,116.52,-1016.62,400.49,35.8,-136.77,-116.97,-58.47,81.38,48.0,408.91
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,-53.8,-100.0,,,
Zysk netto,,43.34,89.79,-91.48,79.18,-198.06,226.79,-817.72,100.83,-17344.26,340.1,31.4,-139.7,-117.49,-55.67,80.91,40.31,349.01
Zysk netto akcjonariuszy jednostki dominującej,,43.34,89.79,-91.48,79.18,-210.17,202.42,-890.88,96.01,-3477.89,340.1,31.4,-139.7,-117.49,-55.67,80.91,40.31,349.01
Aktywa trwałe,,124.82,144.06,58.74,29.8,7.63,12.56,11.31,70.6,-14.18,238.81,51.43,-9.66,-23.46,-43.29,-13.5,-2.02,28.88
Wartości niematerialne i prawne,,,20.25,2124.74,-1.47,0.7,26.06,7.17,36.55,-50.38,-90.78,-36.16,-96.46,-25.0,-50.0,-66.67,-100.0,
Rzeczowe składniki majątku trwałego,,152.51,159.02,4.01,49.61,-0.59,17.27,-0.81,115.92,-4.54,-67.93,-38.04,-63.64,11.86,-17.13,-15.44,-89.94,-48.89
Należności długoterminowe,,0.0,39.29,538.46,-83.94,0.0,0.0,0.0,237.5,-30.37,-54.26,0.0,-23.26,-90.91,0.0,-100.0,,
Inwestycje długoterminowe,,,,0.0,20800.0,579.43,-84.58,662.1,-99.94,1600.0,515517.63,60.18,-7.15,-23.9,-52.94,-19.6,0.04,47.33
Pozostałe aktywa trwałe,,-19.85,77.52,-100.0,,-98.77,35300.0,68.64,-13.4,65.38,7.37,-7.52,-100.0,,,18.26,1.79,-33.58
Aktywa obrotowe,,48.71,243.58,2.37,5.71,6.37,5.78,-31.49,-2.73,-18.24,-76.72,24.29,-59.3,7.17,-26.48,-49.28,189.56,-58.15
Zapasy,,894.44,-100.0,,,,,,,,-100.0,,,,,,,
Należności krótkoterminowe,,45.3,176.95,-8.43,47.22,11.83,50.27,-46.72,-13.8,-8.07,-85.73,-9.82,-46.41,-12.15,4.87,-4.75,-2.99,6.16
