,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-4.75,8.02,-0.14,32.11,15.2,2.01,5.08,-18.71,-3.44,-10.98,-2.02,-11.42,-6.27,36.05,13.29,6.18
Techniczny koszt wytworzenia produkcji sprzedanej,,-2.71,6.59,-1.4,36.63,-1.86,1.56,8.33,-19.36,2.32,-10.3,-8.26,-12.59,-17.44,40.1,18.91,2.41
Koszty sprzedaży,,,,,,,7.14,-35.02,-13.1,37.27,-15.97,-0.74,-17.06,113.0,21.02,-0.12,27.83
Koszty ogólnego zarządu,,,,,,,3.12,4.04,-0.88,38.11,-25.1,3.51,-7.99,-8.89,33.37,29.29,34.93
Zysk ze sprzedaży,,-43.74,55.13,28.41,-46.76,48.93,-2.28,38.42,-39.03,-378.23,25.86,81.6,106.8,754.55,10.21,-510.42,-111.57
Pozostałe przychody operacyjne,,-49.03,-29.71,112.2,52.11,-6.97,28.16,38.1,-29.73,-16.11,-9.0,1.9,-7.93,68.59,32.15,-76.49,28.24
Pozostałe koszty operacyjne,,-76.75,157.62,101.44,-73.78,62.57,18.49,120.99,-61.81,306.39,-66.29,-43.8,-10.48,-20.24,-11.31,44.14,-15.07
Zysk operacyjny (EBIT),,-31.97,17.02,19.51,-3.25,20.98,4.62,20.31,-25.24,-346.77,42.16,95.31,424.1,185.92,34.31,-183.52,-106.71
Przychody finansowe,,-58.74,6.78,-3.17,86.89,0.0,-16.67,14.74,-25.69,39909.88,-99.6,1544.27,-96.29,363086.25,-99.9,192.17,-30.45
Koszty finansowe,,-19.55,-15.94,66.82,17.9,51.81,-23.81,-15.21,-47.91,18.4,-35.06,-11.04,41.38,53.66,-52.38,-34.0,259.6
Pozostałe przychody (koszty),,,,,,,,,,,-170.35,79.6,728.47,-100.0,,,
Zysk z działalności gospodarczej,,-34.92,21.53,13.99,-4.08,14.25,10.62,26.09,-22.69,865.68,-120.59,127.83,44.74,13001.88,-99.12,-151.02,-204.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-34.92,21.53,13.99,-4.08,14.25,10.62,26.09,-22.69,865.68,-120.59,127.83,44.74,13001.88,-99.12,-151.02,-204.6
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,-45.15,28.41,30.36,-5.83,7.27,19.0,18.53,-17.39,777.39,-125.49,125.51,37.83,12216.35,-98.69,-131.96,-404.76
Zysk netto akcjonariuszy jednostki dominującej,,-45.15,28.41,30.36,-5.83,7.27,19.0,18.53,-17.39,777.39,-125.49,125.51,37.83,12216.35,-98.69,-131.96,-404.76
Aktywa trwałe,,46.04,102.17,99.62,4.03,-2.33,-4.61,3.2,2.35,-6.97,16.62,3.52,-30.04,-8.81,12.23,26.25,-4.96
Wartości niematerialne i prawne,,182.15,-31.82,-33.24,379.62,-22.76,-20.73,34.05,-4.97,93.07,-10.58,-26.35,-20.77,-25.81,177.9,95.9,-6.89
Rzeczowe składniki majątku trwałego,,16.51,88.96,123.85,-2.39,0.44,-4.36,-4.34,-2.64,-6.71,-3.94,1.91,-2.49,-2.05,5.47,-0.54,-7.69
Należności długoterminowe,,,162.5,-33.33,30.36,-35.62,51.06,111.27,-34.0,4.04,-1.94,17.82,-53.78,-69.09,-100.0,,1948.84
Inwestycje długoterminowe,,0.0,-100.0,,50.1,0.0,0.0,11.68,0.0,-30.78,129.13,20.35,-69.16,-31.29,-85.23,0.0,0.0
Pozostałe aktywa trwałe,,446.23,590.16,-16.59,-95.35,30.32,40.1,75.27,274.4,-73.56,-40.12,-34.01,53.09,94.95,62.18,79.02,-16.24
