,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,33.1,49.77,53.45,45.49,29.6
Techniczny koszt wytworzenia produkcji sprzedanej,,,25.43,53.08,54.07,15.78,8.16
Koszty sprzedaży,,,-14.1,72.58,134.14,372.51,81.76
Koszty ogólnego zarządu,,,5.04,40.22,114.09,137.1,35.12
Zysk ze sprzedaży,,,101.95,41.48,19.79,51.36,65.84
Pozostałe przychody operacyjne,,,-16.0,404.76,79.25,-385.26,-349.08
Pozostałe koszty operacyjne,,,31.09,96.57,-41.28,-35.64,9.23
Zysk operacyjny (EBIT),,,103.92,40.77,21.87,49.67,62.56
Przychody finansowe,,,315.56,-80.86,129.05,179.27,1827.34
Koszty finansowe,,,40.07,52.15,60.85,279.97,66.02
Pozostałe przychody (koszty),,,-814.58,57.4,45.99,989.11,-26.5
Zysk z działalności gospodarczej,,,110.2,35.89,21.24,39.39,113.9
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,,110.2,35.89,21.24,39.39,113.9
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,,135.48,34.26,16.98,38.46,124.56
Zysk netto akcjonariuszy jednostki dominującej,,,135.48,34.26,17.37,37.86,124.08
Aktywa trwałe,,28.17,10.27,139.42,65.96,342.09,-8.62
Wartości niematerialne i prawne,,2.03,10.72,230.12,70.38,398.3,-7.15
Rzeczowe składniki majątku trwałego,,-6.1,-19.77,-10.74,107.67,225.75,14.62
Należności długoterminowe,,,,,,,21.75
Inwestycje długoterminowe,,,31.42,23.28,31.85,4.52,-99.45
Pozostałe aktywa trwałe,,-28.41,-1.61,-7.08,11.73,-45.01,101.19
Aktywa obrotowe,,68.74,64.81,2.42,402.45,-51.98,17.23
Zapasy,,,,,,,
Należności krótkoterminowe,,2.17,40.14,57.23,38.67,1.08,5.37
Inwestycje krótkoterminowe,,509.69,108.89,-39.95,1112.0,-64.4,24.99
Środki pieniężne i inne aktywa pieniężne,,1090.63,-64.48,338.59,899.65,-58.01,29.0
Pozostałe aktywa obrotowe,,37.19,-87.23,433.33,-16.71,183.92,2.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,43.95,35.14,63.25,183.33,98.33,-4.75
Kapitał własny akcjonariuszy jednostki dominującej,,175.91,-32.69,48.67,700.47,72.79,2.77
Kapitał (fundusz) podstawowy,,9.2,0.0,-16.01,23.41,20.33,0.0
Udziały (akcje) własne,,-116.68,-313.67,77.51,78.0,12.99,14.1
Kapitał (fundusz) zapasowy,,11875.4,0.0,-74.07,4413.75,76.13,0.77
Udziały niekontrolujące,,,,,,3.96,99.65
Zobowiązania długoterminowe,,-30.96,117.6,213.42,-5.74,242.28,-28.86
Z tytułu dostaw i usług,,18.12,4.46,101.47,52.03,15.34,7.63
Kredyty i pożyczki,,-12.52,45.05,109.58,-0.06,219.48,-22.3
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-5.41,6.48,14.99,111.56,89.77,27.76
Inne zobowiązania długoterminowe,,-26.69,-6.04,83.41,49.88,150.18,-0.01
Zobowiązania krótkoterminowe,,8.61,114.98,-0.49,41.59,74.14,6.97
Inne zobowiązania krótkoterminowe,,5.53,492.5,-69.3,45.22,155.7,31.25
Rozliczenia międzyokresowe,,,,,,,
Pasywa razem,,43.95,35.14,63.25,183.33,98.33,-4.75
Przepływy pieniężne z działalności operacyjnej,,,53.37,67.89,20.68,69.75,64.44
Amortyzacja,,,19.47,12.17,70.36,106.71,60.54
Przepływy pieniężne z działalności inwestycyjnej,,,-114.68,-11.65,-217.32,-208.45,106.73
CAPEX (niematerialne i rzeczowe),,,12.06,11.9,169.05,41.91,24.92
Przepływy pieniężne z działalności finansowej,,,-95.44,2031.97,2231.96,-30.96,-183.0
Emisja akcji,,,-100.0,,,-100.0,
Dywidenda,,,,29.1,45.83,-100.0,
Przepływy pieniężne razem,,,-170.4,286.5,1065.23,-164.78,124.09
