,0,1,2,3,4,5,6
Period,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,101.56,439.24,22.45,19.04,-31.71
Techniczny koszt wytworzenia produkcji sprzedanej,,67.81,504.26,86.5,31.02,17.12,12.49
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,,,,,,
Zysk ze sprzedaży,,471.23,-80.48,5374.46,18.36,20.05,-54.45
Pozostałe przychody operacyjne,,,-83.64,-100.0,,20.0,1100.0
Pozostałe koszty operacyjne,,,,-68.75,260.0,1072.22,359.24
Zysk operacyjny (EBIT),,479.78,-81.2,5456.86,18.38,19.43,-56.3
Przychody finansowe,,500.0,-100.0,,886.4,226.68,33.49
Koszty finansowe,,700.0,1587.5,758.52,-96.81,1227.03,-16.9
Pozostałe przychody (koszty),,,,,,,
Zysk z działalności gospodarczej,,493.38,-87.01,7453.09,28.26,26.14,-47.65
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,493.38,-87.01,7453.09,28.26,26.14,-47.65
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,447.63,-93.69,16021.58,29.87,25.28,-49.73
Zysk netto akcjonariuszy jednostki dominującej,,447.63,-93.69,16021.58,29.87,25.28,-49.73
Aktywa trwałe,,0.0,-43.03,1267.81,68.72,75.54,88.66
Wartości niematerialne i prawne,,0.0,-100.0,,6164.29,82.78,-48.97
Rzeczowe składniki majątku trwałego,,-20.0,1350.0,1150.0,-1.1,-11.44,90.87
Należności długoterminowe,,,,,,0.0,0.0
Inwestycje długoterminowe,,,,,,,
Pozostałe aktywa trwałe,,,17400.0,1298.86,54.41,90.42,119.16
Aktywa obrotowe,,241.27,7.13,371.91,98.85,36.67,-10.54
Zapasy,,,-100.0,,,,
Należności krótkoterminowe,,428.05,-37.77,469.57,33.74,-8.67,-39.41
Inwestycje krótkoterminowe,,395.41,104.3,353.14,114.25,43.55,-8.05
Środki pieniężne i inne aktywa pieniężne,,395.41,104.17,353.44,113.41,-90.81,986.55
Pozostałe aktywa obrotowe,,-100.0,,516.67,94.59,-17.59,93.26
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,200.5,4.3,399.43,96.32,39.48,-1.51
Kapitał własny akcjonariuszy jednostki dominującej,,181.92,5.53,403.85,100.24,40.78,-2.33
Kapitał (fundusz) podstawowy,,4.95,0.0,0.0,0.0,0.0,2.95
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,61.07,0.0,-7.6,0.0,-2.11,80.37
Udziały niekontrolujące,,,,,,,
Zobowiązania długoterminowe,,,,,-45.97,-71.49,610.77
Z tytułu dostaw i usług,,211.36,96.35,-53.53,324.8,69.11,40.76
Kredyty i pożyczki,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,40.54,3.85,59.88
Inne zobowiązania długoterminowe,,,,,,,
Zobowiązania krótkoterminowe,,204.35,235.71,289.79,36.46,36.72,10.5
Inne zobowiązania krótkoterminowe,,50.0,6600.0,694.03,13.6,30.06,-4.41
Rozliczenia międzyokresowe,,6457.14,-84.1,101.37,303.4,-62.39,2.69
Pasywa razem,,200.5,4.3,399.43,96.32,39.48,-1.51
Przepływy pieniężne z działalności operacyjnej,,122.66,1152.26,353.08,41.58,27.94,-48.23
Amortyzacja,,490.32,2418.03,-75.13,39.44,-34.79,26.01
Przepływy pieniężne z działalności inwestycyjnej,,22.5,-7383.87,-36.81,-13.42,-2258.11,165.97
CAPEX (niematerialne i rzeczowe),,-22.5,7383.87,42.16,11.31,38.35,75.43
Przepływy pieniężne z działalności finansowej,,-23.04,-100.0,,-10.14,-8971.78,272.85
Emisja akcji,,-23.04,-100.0,,,,
Dywidenda,,,,,,,91.5
Przepływy pieniężne razem,,296.06,33.29,576.7,45.9,-270.91,293.68
