,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,18.61,-3.63,28.83,6.53,13.26,13.5,13.07,9.11,104.61,-21.09,9.51,-7.74,-19.73
Techniczny koszt wytworzenia produkcji sprzedanej,,22.33,-0.94,24.71,-1.09,17.21,14.74,10.56,8.24,120.62,-21.16,5.24,-4.22,-16.7
Koszty sprzedaży,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,
Zysk ze sprzedaży,,-18.96,-44.64,141.31,114.06,-12.47,2.64,37.64,15.87,-12.65,-19.8,87.12,-43.77,-72.57
Pozostałe przychody operacyjne,,10.96,-58.06,4.46,-22.7,165.12,69.08,-52.64,77.91,-35.6,53.1,84.07,46.19,7.08
Pozostałe koszty operacyjne,,-24.9,-22.94,131.63,71.0,-45.99,47.15,-41.61,80.92,-9.59,518.5,-92.01,390.58,-25.5
Zysk operacyjny (EBIT),,-8.48,-54.47,100.18,110.26,11.15,4.6,35.79,14.03,-16.22,-112.82,1521.83,-51.61,-58.91
Przychody finansowe,,578.1,260.96,-98.33,2320.93,45.73,7.91,-89.86,1734.34,-40.3,-61.55,435.91,123.55,-46.9
Koszty finansowe,,148.23,-57.64,29.76,2.16,-3.08,0.76,161.94,-66.9,274.05,263.28,-84.99,130.23,-42.12
Pozostałe przychody (koszty),,,,,,,,,,-61.54,-4309.09,95.38,2378.5,-52.01
Zysk z działalności gospodarczej,,-58.31,32.4,13.76,221.04,17.49,5.74,-2.16,76.47,-48.76,-403.9,191.96,-56.55,-65.46
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-58.31,32.4,13.76,221.04,17.49,5.74,-2.16,76.47,-48.76,-403.9,191.96,-56.55,-65.46
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,-59.93
Zysk netto,,-66.5,28.58,21.51,275.28,16.74,5.53,-4.25,74.21,-50.81,-462.81,178.87,-65.89,-130.04
