,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,1015.93,259.4,87.62,105.45,44.34,22.11,-16.46
Techniczny koszt wytworzenia produkcji sprzedanej,,700.0,137.11,61.48,229.69,46.13,32.54,-11.61
Koszty sprzedaży,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,
Zysk ze sprzedaży,,1850.0,766.53,117.29,0.67,39.41,-8.09,-36.69
Pozostałe przychody operacyjne,,,,2650.0,2273.64,-97.97,-5.66,-64.0
Pozostałe koszty operacyjne,,,,-44.93,-12.5,227.82,-18.12,178.71
Zysk operacyjny (EBIT),,1850.0,655.51,146.95,55.81,-14.48,-7.36,-50.56
Przychody finansowe,,,164.85,20.56,204.19,-27.52,-67.3,11.18
Koszty finansowe,,,300.0,-50.0,650.0,-46.67,100968.75,-52.32
Pozostałe przychody (koszty),,,,,50012.5,-99.21,-255.73,73.35
Zysk z działalności gospodarczej,,3278.57,434.38,121.87,679.49,-81.16,-234.93,56.88
Wynik zdarzeń nadzwyczajnych,,,,,,,,
Zysk przed opodatkowaniem,,3278.57,434.38,121.87,679.49,-81.16,-234.93,56.88
Zysk (strata) netto z działalności zaniechanej,,,,,,,,
Zysk netto,,2971.43,399.75,111.15,670.56,-81.32,-243.41,56.35
Zysk netto akcjonariuszy jednostki dominującej,,2971.43,399.75,111.15,670.44,-80.46,-224.43,54.01
Aktywa trwałe,,,,296.24,3227.49,3.23,-48.74,-72.24
Wartości niematerialne i prawne,,,,154.55,-28.06,90.78,-44.24,-56.67
Rzeczowe składniki majątku trwałego,,,,,,16.48,10.38,-49.57
Należności długoterminowe,,,,,,,,
Inwestycje długoterminowe,,,,376.47,4149.85,3.44,-60.14,-66.69
Pozostałe aktywa trwałe,,,,,,-58.47,2392.31,-93.21
Aktywa obrotowe,,895.54,87.17,123.78,226.96,0.56,-12.23,1.39
Zapasy,,530.09,98.6,85.43,34.4,63.68,53.45,16.96
Należności krótkoterminowe,,1166.67,76.32,246.48,69.17,56.57,5.11,-3.87
Inwestycje krótkoterminowe,,1419.12,60.5,151.87,401.87,-15.92,-37.96,-9.04
Środki pieniężne i inne aktywa pieniężne,,1342.65,69.01,151.87,401.87,-15.92,-42.02,-2.67
Pozostałe aktywa obrotowe,,,,-100.0,,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,
Aktywa razem,,895.54,97.76,133.01,500.24,1.91,-30.9,-26.55
Kapitał własny akcjonariuszy jednostki dominującej,,823.56,106.69,127.26,454.97,-2.16,-35.37,-18.38
Kapitał (fundusz) podstawowy,,1415.15,0.0,4.6,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,
Kapitał (fundusz) zapasowy,,409.3,31.39,207.12,60.85,-48.03,0.0,0.0
Udziały niekontrolujące,,,,,,32.55,-19.72,-12.05
Zobowiązania długoterminowe,,,,,,3.97,-4.64,-86.41
Z tytułu dostaw i usług,,345.45,234.69,289.02,49.06,162.78,-26.41,1.03
Kredyty i pożyczki,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,
Inne zobowiązania długoterminowe,,,,,,3.97,-4.64,-86.41
Zobowiązania krótkoterminowe,,1818.18,56.87,196.37,56.57,64.19,-25.97,-0.48
Inne zobowiązania krótkoterminowe,,,3.09,105.39,70.55,-96.07,21.74,-100.0
Rozliczenia międzyokresowe,,,-100.0,,,,,
Pasywa razem,,895.54,97.76,133.01,500.24,1.91,-30.9,-26.55
Przepływy pieniężne z działalności operacyjnej,,-200.0,210.29,341.11,-116.62,451.52,-54.14,45.68
Amortyzacja,,,,566.67,185.0,101.75,-12.17,-28.71
Przepływy pieniężne z działalności inwestycyjnej,,,139.19,-61.58,6705.15,-55.68,-97.61,330.61
CAPEX (niematerialne i rzeczowe),,,,331.25,-73.04,1248.39,-92.42,-87.37
Przepływy pieniężne z działalności finansowej,,471.22,-110.85,413.39,1874.12,-209.43,8.13,79.68
Emisja akcji,,471.22,-100.0,,232.74,-81.28,-100.0,
Dywidenda,,,,,14.25,400.0,-25.0,-66.67
Przepływy pieniężne razem,,1220.29,-25.69,272.08,566.22,-119.88,-117.9,94.39
