,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,1001.02,-62.75,-77.12,23.27,-23.18,3461.07,6.16,-5.93,-7.24,7.52,-17.42,10.48,-0.45,-42.53
Techniczny koszt wytworzenia produkcji sprzedanej,,995.85,-59.74,-97.36,208.49,-19.36,12208.04,13.56,98.31,-60.65,-4.61,-14.77,9.94,1.23,-50.15
Koszty sprzedaży,,-33.67,61.47,-100.0,,-100.0,,,,,,,,,
Koszty ogólnego zarządu,,-41.72,16.08,80.66,45.75,-27.88,-100.0,,,,,,,,
Zysk ze sprzedaży,,273.04,-120.38,61.21,-412.93,33.74,605.12,-120.93,-9706.9,107.87,121.74,-28.19,13.11,-8.27,-3.2
Pozostałe przychody operacyjne,,57.79,228.31,-73.73,125.3,-64.97,-100.0,,,,-83.22,21322.26,-97.5,-83.22,-43.07
Pozostałe koszty operacyjne,,892.65,-79.46,1540.75,-94.3,-61.44,-100.0,,,,-56.0,-23.73,4787.64,-29.32,-86.82
Zysk operacyjny (EBIT),,138.5,-148.23,-2413.39,85.59,32.83,590.65,-120.93,-9706.9,105.17,200.54,600.11,-166.7,31.62,109.12
Przychody finansowe,,2514.4,-32.94,-87.74,-66.81,48.79,2397.94,-95.88,-100.0,,,153.57,-22.89,256.39,-46.83
Koszty finansowe,,86.07,-84.44,-89.61,431.12,-29.09,-100.0,,,,-100.0,,-24.89,-69.27,924.15
Pozostałe przychody (koszty),,,-48.74,-239.91,194.55,814.24,-23.32,-100.0,,112.28,-100.0,,,96.23,1050.82
Zysk z działalności gospodarczej,,73.96,327.59,-221.14,71.97,115.19,5780.82,-101.31,-32385.51,102.85,446.79,585.58,-169.28,34.52,104.01
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,73.96,327.59,-221.14,71.97,115.19,5780.82,-101.31,-32385.51,102.85,446.79,585.58,-169.28,34.52,104.01
Zysk (strata) netto z działalności zaniechanej,,84.27,100.0,,,,,,,,,,,,
Zysk netto,,78.54,206.83,-223.13,72.01,115.19,3830.35,-96.94,-17216.12,101.5,1183.07,450.57,-173.49,34.54,132.92
Zysk netto akcjonariuszy jednostki dominującej,,78.54,206.83,-223.13,72.01,115.19,3849.53,-97.44,-16519.56,101.23,1538.25,378.25,-152.6,69.26,265.83
Aktywa trwałe,,-84.32,63.65,-16.82,-12.51,-4.09,1967.52,-13.65,-37.79,-2.3,4.58,151.4,-32.56,19.55,-41.53
Wartości niematerialne i prawne,,-97.58,-71.29,-100.0,,0.0,2061566.6,0.38,-38.18,-1.43,0.45,69.03,-35.74,-34.23,-92.36
Rzeczowe składniki majątku trwałego,,-99.75,3.7,-45.24,-88.04,36.36,56446.67,-61.58,-3.56,-54.41,564.76,-24.41,-29.48,-40.27,-100.0
Należności długoterminowe,,-100.0,,-100.0,,,,,,,,,,,-100.0
Inwestycje długoterminowe,,3124.04,1.73,51.74,-12.06,-4.21,82.07,-99.2,1.57,-19.31,-99.04,8662550.0,-26.79,105.51,-13.26
