,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,26.01,-20.25,96.3,33.89,-1.37,-20.77,56.9,-15.84,-36.73,35.65,78.96,19.63,-9.52,-5.54,8.22,61.07
Techniczny koszt wytworzenia produkcji sprzedanej,,22.38,-12.61,102.06,36.37,3.21,-21.79,57.27,-18.97,-33.97,36.73,99.17,8.95,-10.14,-6.16,7.62,62.55
Koszty sprzedaży,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,17.37,47.5,65.99,24.37,-9.86,19.0,-10.69,27.38,-9.97,-2.27,10.82,-3.28,10.54,7.34,4.14,16.03
Zysk ze sprzedaży,,46.71,-63.17,51.94,4.87,-78.73,-47.37,459.02,53.77,-113.95,81.38,-11689.56,108.69,16.81,25.27,67.69,53.71
Pozostałe przychody operacyjne,,119.41,20.64,197.11,148.84,18.73,186.28,-59.27,58.36,-22.13,4.03,-78.41,51.88,138.6,22.97,69.45,-35.28
Pozostałe koszty operacyjne,,254.72,41.49,250.0,14.82,433.58,27.84,-1.78,42.01,-80.56,82.45,-65.71,-31.93,127.67,-25.14,466.06,-83.13
Zysk operacyjny (EBIT),,46.75,-62.92,52.69,12.02,-86.51,80.26,100.56,61.3,-99.32,965.58,-4846.5,110.1,34.94,33.37,28.04,67.73
Przychody finansowe,,-34.28,37.45,37.25,-4.77,76.16,-32.86,-60.39,-7.3,105.52,-23.6,6.1,-40.18,12.71,81.13,214.81,-42.0
Koszty finansowe,,3399.2,-73.77,-7.62,-43.5,0.81,-32.62,-57.4,10.44,3.65,92.32,-45.32,60.0,-15.02,-34.49,199.92,54.93
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-50.25,-32.36,94.26,29.2,-83.08,61.59,88.73,59.23,-94.25,-30.67,-8737.32,108.74,48.25,53.47,43.89,30.85
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-50.25,-32.36,94.26,29.2,-83.08,61.59,88.73,59.23,-94.25,-30.67,-8737.32,108.74,48.25,53.47,43.89,30.85
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,-50.94,-32.5,98.77,26.19,-84.19,63.66,90.08,63.91,-97.68,-42.61,-26960.52,106.03,12.92,177.16,46.25,22.21
Zysk netto akcjonariuszy jednostki dominującej,,-50.94,-32.49,94.57,28.9,-87.92,180.78,45.05,61.44,-95.3,-71.2,-27050.21,106.01,12.79,176.17,39.33,28.31
Aktywa trwałe,,58.68,154.3,20.76,1.64,32.19,-18.47,8.24,-11.41,1.84,10.2,15.07,-0.09,-7.57,4.14,13.63,-3.03
Wartości niematerialne i prawne,,72.11,9.23,1919.98,-14.77,5.37,1.86,-1.16,-6.72,-1.41,-1.25,-1.17,-17.83,1.69,1.93,-0.66,-0.07
Rzeczowe składniki majątku trwałego,,41472.09,18.43,173.42,8.6,5.22,4.29,6.04,11.58,2.2,13.91,10.18,8.52,-7.14,0.69,-0.82,4.84
Należności długoterminowe,,162.38,-78.12,-10.59,5.09,1138.17,-100.0,,,,,,,-12.74,-12.73,194.47,-67.42
Inwestycje długoterminowe,,,,-92.18,63.59,-9.73,-3.87,-9.63,-47.89,-9.14,50.42,-5.83,11.62,10.55,-4.77,212.82,5.18
Pozostałe aktywa trwałe,,-59.51,-25.8,201.76,2.33,17.4,11.95,37.55,-58.28,12.31,10.63,84.79,-37.73,-27.51,47.34,-11.97,13.69
Aktywa obrotowe,,32.66,-49.15,460.38,1.85,-0.42,-12.82,9.41,2.55,-22.24,56.6,30.09,-16.72,-4.26,12.78,18.23,56.12
Zapasy,,57.9,-59.25,199.78,240.02,8.56,-11.4,-0.5,44.29,-56.35,147.52,74.39,-37.7,-16.63,49.46,115.92,-13.84
Należności krótkoterminowe,,-10.54,-63.39,1080.33,-1.62,-12.41,-7.62,4.01,-57.43,14.15,121.57,58.87,-0.74,-3.2,-16.36,30.32,36.43
Inwestycje krótkoterminowe,,215.43,-48.86,142.23,-9.76,44.24,-28.66,43.55,146.53,-33.13,-0.16,-28.21,-64.07,-22.65,363.21,-40.8,246.94
Środki pieniężne i inne aktywa pieniężne,,215.43,-48.86,142.23,-9.84,44.16,-28.72,43.59,141.35,-63.61,87.74,-30.59,-62.83,-22.68,362.96,-41.83,253.44
Pozostałe aktywa obrotowe,,-41.95,808.34,-44.99,-30.44,159.29,-1.58,-63.42,-24.88,-36.26,-19.67,-6.05,8.27,234.72,-82.81,149.69,-25.09
Aktywa trwałe przeznaczone do sprzedaży,,,,,,-100.0,,,,,,,,,0.0,-100.0,
Aktywa razem,,39.65,12.9,158.37,1.78,10.04,-14.99,8.98,-2.57,-14.21,38.22,25.35,-11.9,-5.35,10.01,16.83,38.63
Kapitał własny akcjonariuszy jednostki dominującej,,7.08,20.16,201.37,13.71,1.86,6.52,5.25,7.2,-3.08,0.1,-30.02,2.5,2.8,7.57,7.94,10.75
Kapitał (fundusz) podstawowy,,0.0,0.0,37.5,0.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,,,,0.0,0.0,9.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały niekontrolujące,,,,,4.68,2.47,-103.73,100.0,,-103.6,-550.0,238.46,19.05,3.33,36.13,557.35,1.8
Zobowiązania długoterminowe,,287.34,131.49,-42.62,-2.83,42.93,-18.56,0.72,-42.82,-11.57,-1.36,42.91,46.47,-1.95,9.1,4.1,90.53
Z tytułu dostaw i usług,,4.72,-63.82,750.08,-8.82,15.01,-40.15,45.37,-11.21,-30.27,173.21,59.01,-53.56,-18.45,-0.12,11.68,38.41
Kredyty i pożyczki,,18.88,425.63,514.7,-13.91,-15.11,-1.49,-74.69,15.31,19.87,5.03,40.25,-23.56,-17.99,-39.24,146.6,-46.28
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,0.0,1.07,12.01,0.0,-0.32,0.0,3103.16,-9.8,-31.12,-19.38,33.0
Inne zobowiązania długoterminowe,,450.6,-75.61,342.32,10.9,-7.49,11.44,13.06,-61.72,-4.58,-14.74,54.82,27.97,28.73,20.7,-17.12,15.92
Zobowiązania krótkoterminowe,,23.85,-51.43,546.23,-6.14,10.43,-27.97,15.94,-2.31,-27.94,108.44,66.97,-21.4,-9.36,11.33,22.73,43.17
Inne zobowiązania krótkoterminowe,,139.05,-65.07,39.88,87.53,46.93,3.15,55.67,23.17,-34.19,-12.04,146.16,132.13,1.0,27.48,26.49,52.92
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,
Pasywa razem,,39.65,12.9,158.37,1.78,10.04,-14.99,8.98,-2.57,-14.21,38.22,25.35,-11.9,-5.35,10.01,16.83,38.63
