,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,12.66,34.52,19.2,-22.68,-3.61,-0.36,-3.97,-1.31,4.05,7.93,4.14,25.76,41.76,39.67
Techniczny koszt wytworzenia produkcji sprzedanej,,13.61,38.85,17.1,-24.86,-2.99,23.39,-17.88,-7.46,13.01,17.2,7.44,14.18,47.49,30.91
Koszty sprzedaży,,22.89,22.54,94.89,0.22,-0.78,-10.98,-6.07,7.06,-2.81,4.47,-1.52,14.32,-6.05,45.08
Koszty ogólnego zarządu,,7.85,-0.95,10.66,-12.16,2.91,-6.81,5.47,-6.5,3.46,4.3,-6.89,3.54,-12.13,25.63
Zysk ze sprzedaży,,5.49,13.58,32.97,-10.61,-11.66,-209.21,143.61,116.58,-67.49,-250.19,-66.09,154.7,-52.74,876.01
Pozostałe przychody operacyjne,,-6.17,-5.46,19.56,7.18,83.08,-34.76,-110.18,73.66,5380.93,438.29,-63.73,-68.85,432.82,-132.52
Pozostałe koszty operacyjne,,-6.83,-39.32,57.4,-1.84,-12.27,45.12,-100.0,,,,,,,
Zysk operacyjny (EBIT),,5.94,17.6,30.87,-10.19,-5.37,-203.45,142.34,120.26,-55.21,-62.64,-443.42,190.28,16.7,217.49
Przychody finansowe,,-17.27,23.33,13.42,-24.41,-13.16,-14.79,-226.8,194.11,-100.0,,,,,
Koszty finansowe,,13.16,-31.96,116.58,-0.04,20.22,-32.96,-7.19,-19.36,-29.6,70.18,13.02,29.83,60.6,34.86
Pozostałe przychody (koszty),,,-343.22,-65.77,-56.23,65.45,9538.25,-32.04,21.67,-289.88,56.73,-495.74,135.52,-389.76,19.84
Zysk z działalności gospodarczej,,2.55,27.25,20.99,-13.03,-11.01,-234.23,125.3,237.38,-70.61,-103.05,-10673.48,140.77,-83.7,1992.73
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,2.55,27.25,20.99,-13.03,-11.01,-234.23,125.3,237.38,-70.61,-103.05,-10673.48,140.77,-83.7,1992.73
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,100.0,,-100.0
Zysk netto,,4.56,27.79,21.66,-12.64,-11.95,-252.18,120.52,273.63,-85.03,-105.64,-21194.85,115.48,-134.81,1352.24
