,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,80.09,5.85,32.45,27.58,40.48,-37.38,-0.19,-5.97,7.25,-6.47,16.66,6.31,7.51,13.04,-9.36,93.88,7.88
Techniczny koszt wytworzenia produkcji sprzedanej,,80.28,3.41,31.45,30.05,53.19,-42.6,-4.28,-6.22,8.79,-9.21,18.34,6.03,7.14,16.6,-7.27,84.66,0.48
Koszty sprzedaży,,201.28,22.21,13.68,35.39,6.74,-12.48,0.3,-17.15,4.5,1.23,12.18,5.02,8.11,1.66,-5.57,37.35,20.37
Koszty ogólnego zarządu,,114.75,36.76,9.8,-1.08,-8.28,-19.32,-5.37,-1.98,2.71,2.01,23.21,17.95,2.69,-9.73,-3.98,64.97,11.53
Zysk ze sprzedaży,,-122.6,-259.93,189.35,-58.18,-664.12,112.31,849.63,37.27,-4.81,11.61,0.98,4.68,16.02,7.26,-53.33,666.95,50.96
Pozostałe przychody operacyjne,,3517.65,-67.02,212.13,13.33,58.96,-72.8,-32.24,5.52,45.0,-45.9,6.32,68.86,-12.23,115.97,94.66,20.8,-51.86
Pozostałe koszty operacyjne,,198.29,-6.32,34.36,105.33,15.72,-64.89,91.42,-55.48,6.64,38.55,-37.25,145.73,234.96,-56.73,15.24,390.43,42.79
Zysk operacyjny (EBIT),,-19.22,-177.87,382.54,-30.87,-107.11,819.16,230.86,49.82,1.73,-2.04,5.06,4.47,-17.18,61.83,-23.61,288.55,31.54
Przychody finansowe,,1230.51,-55.41,-41.0,14.77,-4.64,282.52,-65.93,2.55,-35.26,-48.59,101.0,-94.55,18.18,-34.62,558.82,-71.43,1731.25
Koszty finansowe,,116.38,111.75,8.48,-8.95,58.29,0.03,0.51,-16.67,-34.83,-22.69,19.64,-30.07,35.94,13.22,-46.33,237.66,-27.33
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,23.39,-201.91,200.7,-40.27,-264.85,112.52,711.57,111.26,13.4,0.23,5.25,6.08,-24.58,73.74,-18.81,288.96,38.93
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,23.39,-201.91,200.7,-40.27,-264.85,112.52,711.57,111.26,13.4,0.23,5.25,6.08,-24.58,73.74,-18.81,288.96,38.93
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,32.93,-214.62,179.18,-1.05,-253.89,137.59,130.52,42.86,18.61,3.62,8.35,5.67,-34.77,97.95,-15.12,282.75,34.48
Zysk netto akcjonariuszy jednostki dominującej,,32.93,-214.62,179.18,-1.05,-253.89,137.59,130.52,42.86,18.61,3.62,8.35,5.67,-34.77,97.95,-15.12,282.75,34.48
Aktywa trwałe,,237.04,21.25,2.82,4.26,5.23,-2.7,-4.2,-0.65,-1.14,3.78,0.56,11.4,25.08,4.82,-0.22,8.6,-5.92
Wartości niematerialne i prawne,,14578.67,-0.2,-0.31,-0.16,41.17,7.38,-1.7,-1.59,-1.67,-1.66,2.54,-0.05,-16.25,-3.34,-2.57,-33.27,-74.05
Rzeczowe składniki majątku trwałego,,202.53,24.5,2.94,3.74,0.47,-4.73,-5.15,-0.14,-0.76,4.88,0.74,14.5,33.14,5.88,0.02,13.06,-1.49
Należności długoterminowe,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,-100.0,,0.0,5.35,0.0,242.39,-5.63,-2.28,-1.37,0.65,-48.02,-5.92,-0.17,0.0,0.0,0.0,-100.0
Pozostałe aktywa trwałe,,423.81,93.64,127.7,184.12,-9.14,-76.6,102.73,-33.0,-46.98,62.56,47.23,-62.18,-36.13,-62.3,39.13,-40.62,731.58
Aktywa obrotowe,,223.85,13.98,4.15,33.95,12.53,-24.04,-1.54,9.33,3.73,-4.82,22.02,-3.9,5.38,1.7,52.24,31.64,7.66
Zapasy,,214.05,1.26,7.76,30.7,23.48,17.06,3.51,-31.48,3.63,8.55,20.05,16.21,12.99,17.61,-11.38,108.03,-35.44
Należności krótkoterminowe,,292.12,7.45,4.04,52.66,6.72,-42.92,-7.16,50.62,6.09,-11.34,21.57,-10.91,-1.32,-9.78,7.97,73.54,4.4
Inwestycje krótkoterminowe,,38.54,134.73,-27.34,-50.53,145.47,-13.96,31.12,19.38,-34.68,-8.18,58.04,-75.31,100.0,-42.9,6279.51,-70.07,270.5
Środki pieniężne i inne aktywa pieniężne,,179.19,134.73,-27.34,-61.3,169.7,-11.13,47.7,19.38,-34.68,-8.18,58.04,-75.31,100.0,-42.9,6279.51,-70.07,270.5
Pozostałe aktywa obrotowe,,-33.33,72.12,25.03,-51.92,-15.43,-10.55,-35.87,-21.84,8.82,65.77,29.89,-25.31,1.12,-15.24,-0.98,41.91,2.79
Aktywa trwałe przeznaczone do sprzedaży,,,,0.0,-100.0,,,,,,,,,,,,,
Aktywa razem,,233.34,19.27,3.16,12.07,7.53,-9.72,-3.46,2.16,0.33,1.09,6.87,6.26,19.09,3.98,13.57,16.72,-0.52
Kapitał własny akcjonariuszy jednostki dominującej,,229.13,-4.54,3.72,5.35,-7.92,2.12,4.51,6.4,5.09,2.71,4.4,3.7,1.47,6.52,19.31,20.91,21.45
Kapitał (fundusz) podstawowy,,113.21,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,646.5,-2.18,-1.26,7.3,0.83,-18.92,-14.91,48.83,7.51,4.89,6.78,9.27,-19.39,3.59,11.95,24.2,12.75
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,511.03,-23.29,310.73,-9.03,14.01,-59.91,104.94,-8.61,9.09,-9.3,-11.27,5.67,81.46,7.85,16.39,-15.49,-15.12
Z tytułu dostaw i usług,,264.74,38.42,-18.68,43.87,21.66,6.45,-32.77,-1.06,-7.5,7.23,18.28,4.44,20.3,-7.45,7.2,58.3,-36.7
Kredyty i pożyczki,,67.51,246.9,-87.61,253.16,37.63,51.3,-43.34,9.08,-31.17,2.41,45.14,15.47,16.44,-6.79,-0.92,-13.24,-77.19
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,1350.43,129.68,-1.12,-31.44,107.01,-84.84,-75.71,34.85,109.36,26.83,16.5,14.29,74.36,-14.95,52.5,1.69,-30.54
Inne zobowiązania długoterminowe,,38.92,-7.15,613.92,-10.54,29.67,-18.13,-7.81,10.86,8.53,-0.55,-3.0,-3.41,70.64,63.02,-9.95,0.98,-16.97
Zobowiązania krótkoterminowe,,191.26,95.91,-44.35,51.21,27.82,6.91,-36.73,2.36,-14.38,6.01,25.35,11.34,19.9,-2.57,2.08,38.3,-28.52
Inne zobowiązania krótkoterminowe,,122.86,-38.78,867.54,5.47,-40.74,-45.89,1.76,0.31,3.13,-5.93,23.91,183.18,13.67,100.53,-35.1,99.07,140.42
