,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-16.01,44.92,62.55,28.66,83.23,85.27,36.72,-9.82,71.46,17.21,72.92,25.67,35.09,10.87
Techniczny koszt wytworzenia produkcji sprzedanej,,-20.06,28.67,57.66,25.76,30.68,50.05,39.5,37.24,48.89,31.75,61.44,17.94,44.97,11.94
Koszty sprzedaży,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,33.84,41.6,-5.23,22.36,1412.8,185.07,32.56,-83.71,370.0,-43.71,185.59,68.52,-3.23,-174.46
Pozostałe przychody operacyjne,,8250.0,-96.81,-87.5,4200.0,255.81,-28.43,-64.38,-20.51,1332.26,281.42,-16.27,293.9,-45.92,146.55
Pozostałe koszty operacyjne,,0.0,700.0,-20.83,5436.84,120.82,-79.21,-92.55,9719.44,-73.8,45.79,-17.48,11.85,-87.88,447.02
Zysk operacyjny (EBIT),,160.05,-168.22,-10.56,-512.92,65.54,1273.94,41.44,-139.45,291.19,0.0,98.62,143.61,-19.53,-73.81
Przychody finansowe,,-54.29,5750.0,-99.04,-100.0,,15.49,2764.63,-99.49,2016.67,-97.64,49833.33,-45.13,55.78,-47.13
Koszty finansowe,,55.77,455.56,-94.67,3512.5,-48.1,-22.44,-76.22,707.23,-70.0,108.46,119.81,-74.59,127.78,395.5
Pozostałe przychody (koszty),,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,141.71,90.06,-159.38,-914.51,61.44,649.27,105.18,-136.68,252.58,-9.79,166.01,111.72,-15.84,-82.74
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,141.71,90.06,-159.38,-914.51,61.44,649.27,105.18,-136.68,252.58,-9.79,166.01,111.72,-15.84,-82.74
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,
Zysk netto,,140.98,93.45,-148.31,-1040.76,65.94,642.62,106.59,-139.32,249.76,-21.7,232.92,99.5,-21.85,-83.49
Zysk netto akcjonariuszy jednostki dominującej,,140.98,93.45,-148.31,-1008.28,65.4,651.16,106.45,-136.88,243.63,-14.47,232.9,102.85,-21.4,-83.59
Aktywa trwałe,,-71.13,1130.07,-6.59,-54.72,165.95,-24.94,-5.16,68.35,87.27,403.14,51.47,-5.58,59.56,72.24
Wartości niematerialne i prawne,,-63.43,-18.37,2032.5,-35.05,103.97,11.33,-38.24,-70.79,-7.49,6397.62,91.91,-37.23,-4.86,326.4
Rzeczowe składniki majątku trwałego,,-86.59,400.0,58.18,-94.25,4580.0,-38.46,251.39,43.48,130.3,-11.96,84.04,34.96,64.74,156.38
Należności długoterminowe,,,,,,,,,,,,,,,0.0
Inwestycje długoterminowe,,60.34,1768.82,-56.04,-91.23,8.96,-100.0,,,687.18,-100.0,,-12.86,758.84,-18.97
Pozostałe aktywa trwałe,,-100.0,,10.2,214.81,300.0,-72.5,19.79,589.73,65.83,242.97,-37.76,128.34,47.68,-100.0
Aktywa obrotowe,,129.89,121.19,-2.14,16.86,30.27,148.14,48.59,-2.44,31.16,-7.83,28.06,3.92,35.65,-35.75
Zapasy,,100.33,14.97,61.13,76.0,24.76,75.88,50.8,16.51,39.12,-25.46,42.9,-69.18,174.53,-100.0
Należności krótkoterminowe,,-19.67,138.78,377.78,-38.46,-22.09,850.37,156.58,-61.53,29.55,81.36,11.24,101.31,-45.57,250.64
Inwestycje krótkoterminowe,,801.37,433.28,-81.45,-75.58,352.2,680.95,-4.58,-7.17,2.35,47.42,-4.68,259.31,15.42,-52.34
Środki pieniężne i inne aktywa pieniężne,,601.79,311.45,-90.11,-0.62,352.2,680.95,-4.58,-7.17,2.35,47.42,-6.09,255.66,15.5,-57.18
Pozostałe aktywa obrotowe,,-15.56,-52.63,2822.22,-85.74,26.67,-47.37,-3.0,409.28,-38.66,-45.87,-9.76,50.68,690.58,117.3
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,
Aktywa razem,,65.74,177.26,-3.24,-0.18,44.92,113.85,44.85,0.78,35.42,35.39,37.21,-0.18,45.41,12.61
Kapitał własny akcjonariuszy jednostki dominującej,,14.25,452.99,-22.06,-33.56,-15.52,400.15,41.47,-10.68,17.51,13.23,25.86,51.46,54.63,16.68
Kapitał (fundusz) podstawowy,,0.0,84.72,0.0,0.0,0.0,33.08,0.0,0.0,0.0,0.0,0.0,0.0,9.04,0.0
Udziały (akcje) własne,,,,,,,,,,,,,-2229.13,98.0,-47.92
Kapitał (fundusz) zapasowy,,0.0,344.02,0.0,0.5,0.0,130.75,-0.84,0.85,-23.34,0.0,42.36,51.67,73.21,41.58
Udziały niekontrolujące,,,,,,-1.22,-1.1,346.81,-63.01,33.53,-3.21,-100.0,,-32.9,421.84
Zobowiązania długoterminowe,,-100.0,,,,-93.47,-100.0,,,251.51,-60.99,262.2,-6.4,78.42,650.48
Z tytułu dostaw i usług,,65.31,-40.74,104.17,91.84,40.43,-29.92,129.73,44.94,0.0,305.36,55.83,-15.99,167.85,-41.55
Kredyty i pożyczki,,,,,14200.0,334.27,-66.99,-96.59,271.43,12423.08,10.17,-40.73,-28.41,-42.31,82.46
Z tytułu emisji dłużnych papierów wartościowych,,,-100.0,,,,-38.93,-100.0,,,,,,,
