,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,74722.0,87044.0,130515.0,151646.0,170280.0,215005.0,245087.0,284536.0,211040.0,277741.0,405919.0,467103.0
Techniczny koszt wytworzenia produkcji sprzedanej,31502.0,37867.0,55442.0,65762.0,74697.0,94768.0,102603.0,122165.0,87217.0,103842.0,150326.0,170590.0
Koszty sprzedaży,36947.0,32515.0,40305.0,45967.0,58849.0,73601.0,90953.0,112707.0,96445.0,110938.0,150699.0,197464.0
Koszty ogólnego zarządu,8021.0,7510.0,7138.0,8735.0,9780.0,10133.0,10562.0,12194.0,10145.0,10719.0,15606.0,19150.0
Zysk ze sprzedaży,-1748.0,9152.0,27630.0,31182.0,26954.0,36503.0,40969.0,37470.0,17233.0,52242.0,89288.0,79899.0
Pozostałe przychody operacyjne,12139.0,10112.0,2437.0,3168.0,1389.0,1226.0,678.0,1977.0,6281.0,4129.0,578.0,1152.0
Pozostałe koszty operacyjne,23404.0,11706.0,1970.0,3483.0,3180.0,2973.0,3581.0,2921.0,5076.0,2723.0,2138.0,3334.0
Zysk operacyjny (EBIT),-13013.0,7558.0,28097.0,30867.0,25163.0,34756.0,38066.0,36526.0,18438.0,53648.0,87728.0,77717.0
Przychody finansowe,45.0,6125.0,45.0,847.0,1132.0,22.0,1404.0,3227.0,121.0,420.0,182.0,4116.0
Koszty finansowe,12297.0,3680.0,3416.0,1510.0,1373.0,5116.0,1240.0,3116.0,2196.0,1893.0,9491.0,5594.0
Pozostałe przychody (koszty),10135.0,2578.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-15130.0,12581.0,24726.0,30204.0,24922.0,29666.0,38230.0,36637.0,16363.0,52175.0,78419.0,76239.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-15130.0,12581.0,24726.0,30204.0,24922.0,29666.0,38230.0,36637.0,16363.0,52175.0,78419.0,76239.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-15555.0,14431.0,27666.0,27111.0,20341.0,21868.0,30972.0,32033.0,13268.0,42238.0,62887.0,61288.0
Zysk netto akcjonariuszy jednostki dominującej,-15555.0,14431.0,27666.0,27111.0,20341.0,21868.0,30972.0,32033.0,13268.0,42238.0,62887.0,61288.0
Aktywa trwałe,65481.0,64352.0,64606.0,63565.0,71487.0,89781.0,93988.0,154133.0,158138.0,150541.0,143439.0,148087.0
Wartości niematerialne i prawne,28238.0,30082.0,29195.0,28180.0,27760.0,28954.0,29245.0,28858.0,28275.0,27540.0,27416.0,27823.0
Rzeczowe składniki majątku trwałego,34237.0,33306.0,31155.0,33740.0,42627.0,55764.0,59929.0,121690.0,127547.0,120493.0,114597.0,118879.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,3006.0,0.0,0.0,0.0,0.0,3109.0,2970.0,2831.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,964.0,4256.0,1645.0,1100.0,1954.0,1844.0,754.0,2316.0,2508.0,1426.0,1385.0
Aktywa obrotowe,45651.0,49139.0,87791.0,123985.0,112902.0,85952.0,102055.0,105260.0,118481.0,183979.0,186612.0,189869.0
Zapasy,13485.0,21491.0,33944.0,37831.0,45265.0,53833.0,71059.0,67113.0,81457.0,103008.0,130400.0,120631.0
Należności krótkoterminowe,14960.0,11995.0,16644.0,14324.0,18960.0,22493.0,21755.0,33485.0,29829.0,28007.0,38023.0,46434.0
Inwestycje krótkoterminowe,16668.0,15208.0,36581.0,70517.0,47774.0,8880.0,8181.0,3487.0,6378.0,52964.0,18189.0,22804.0
Środki pieniężne i inne aktywa pieniężne,9466.0,15206.0,36581.0,70517.0,47774.0,8874.0,8181.0,3487.0,6291.0,52964.0,18189.0,22804.0
Pozostałe aktywa obrotowe,538.0,445.0,622.0,1313.0,903.0,746.0,1060.0,1175.0,817.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,111132.0,113491.0,152397.0,187550.0,184389.0,175733.0,196043.0,259393.0,276619.0,334520.0,330051.0,337956.0
Kapitał własny akcjonariuszy jednostki dominującej,3543.0,27691.0,54447.0,102926.0,111928.0,119138.0,135088.0,149885.0,163414.0,205814.0,214364.0,216668.0
Kapitał (fundusz) podstawowy,20801.0,28929.0,28929.0,3620.0,3620.0,3625.0,3630.0,3636.0,3645.0,3651.0,3658.0,3672.0
Udziały (akcje) własne,0.0,4889.0,5159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,43496.0,20299.0,37562.0,109109.0,121818.0,125131.0,128146.0,141409.0,173344.0,51911.0,51911.0,51911.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,65578.0,66516.0,60759.0,59428.0,52752.0,21949.0,26131.0,60175.0,43435.0,44721.0,36429.0,38046.0
Z tytułu dostaw i usług,27315.0,16987.0,21940.0,13397.0,15908.0,21316.0,30080.0,28959.0,36865.0,29620.0,43108.0,48979.0
Kredyty i pożyczki,1667.0,448.0,10000.0,10000.0,0.0,0.0,0.0,0.0,10109.0,31182.0,5605.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,5302.0,795.0,3850.0,582.0,453.0,6006.0,77.0,16039.0,17746.0,18840.0,18693.0,27523.0
Inne zobowiązania długoterminowe,9034.0,7691.0,7356.0,7628.0,7564.0,7972.0,8131.0,6507.0,5633.0,5455.0,5281.0,5167.0
Zobowiązania krótkoterminowe,42011.0,19284.0,37191.0,25196.0,19709.0,34646.0,34824.0,49333.0,69770.0,83985.0,79258.0,83242.0
Inne zobowiązania krótkoterminowe,7727.0,1054.0,1401.0,1217.0,3348.0,7324.0,4667.0,4335.0,5050.0,4343.0,11852.0,6740.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,111132.0,113491.0,152397.0,187550.0,184389.0,175733.0,196043.0,259393.0,276619.0,334520.0,330051.0,337956.0
Przepływy pieniężne z działalności operacyjnej,10020.0,8348.0,18179.0,24251.0,20528.0,23378.0,29892.0,51749.0,37946.0,41927.0,77071.0,93190.0
Amortyzacja,6232.0,4380.0,3867.0,4269.0,4941.0,5437.0,7449.0,25975.0,25764.0,25148.0,25352.0,28208.0
Przepływy pieniężne z działalności inwestycyjnej,5647.0,117.0,-712.0,-4936.0,-13764.0,-20504.0,-12251.0,-16825.0,-15891.0,-240.0,-7770.0,-10969.0
CAPEX (niematerialne i rzeczowe),8229.0,628.0,746.0,5162.0,13804.0,20505.0,12274.0,16850.0,21385.0,1647.0,9256.0,11480.0
Przepływy pieniężne z działalności finansowej,-8347.0,-2724.0,3908.0,14677.0,-29507.0,-41774.0,-18334.0,-39618.0,-19251.0,4986.0,-104076.0,-77606.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,6.0,7.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,11946.0,15042.0,15246.0,18179.0,0.0,0.0,55420.0,61140.0
Przepływy pieniężne razem,7320.0,5741.0,21375.0,33992.0,-22743.0,-38900.0,-693.0,-4694.0,2804.0,46673.0,-34775.0,4615.0
