,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,22199.0,25290.0,27191.0,28300.0,32723.0,38405.0,42126.0,43437.0,48079.0,53247.0,59490.0,36784.0,41839.0,57327.0,67339.0
Techniczny koszt wytworzenia produkcji sprzedanej,20401.0,25059.0,24314.0,25943.0,27231.0,31488.0,33369.0,35761.0,38083.0,40877.0,48814.0,31871.0,36887.0,47457.0,54026.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,1798.0,231.0,2877.0,2357.0,5492.0,6917.0,8757.0,7676.0,9996.0,12370.0,10676.0,4913.0,4952.0,9870.0,13313.0
Pozostałe przychody operacyjne,83.0,32.0,110.0,129.0,154.0,323.0,289.0,266.0,448.0,189.0,1549.0,141.0,3898.0,-148.0,703.0
Pozostałe koszty operacyjne,336.0,583.0,222.0,716.0,463.0,338.0,215.0,450.0,554.0,486.0,352.0,447.0,310.0,258.0,545.0
Zysk operacyjny (EBIT),1545.0,-320.0,2765.0,1770.0,5183.0,6902.0,8831.0,7492.0,9890.0,12073.0,11873.0,4607.0,8540.0,9464.0,13471.0
Przychody finansowe,981.0,307.0,81.0,193.0,119.0,173.0,190.0,90.0,187.0,74.0,45.0,14.0,194.0,365.0,101.0
Koszty finansowe,654.0,10671.0,743.0,931.0,577.0,364.0,447.0,468.0,303.0,534.0,594.0,799.0,408.0,1172.0,2439.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,1872.0,-10684.0,2103.0,1032.0,4725.0,6711.0,8574.0,7114.0,9774.0,11613.0,11324.0,3822.0,8326.0,8657.0,11133.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1872.0,-10684.0,2103.0,1032.0,4725.0,6711.0,8574.0,7114.0,9774.0,11613.0,11324.0,3822.0,8326.0,8657.0,11133.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.0,0.0,0.0,0.0
Zysk netto,1933.0,-10661.0,714.0,1278.0,3721.0,5517.0,6845.0,5689.0,7915.0,9250.0,9357.0,3031.0,7080.0,6947.0,8904.0
Zysk netto akcjonariuszy jednostki dominującej,1933.0,-10356.0,1123.0,1253.0,3682.0,5505.0,6888.0,5722.0,7857.0,9289.0,9401.0,3101.0,7193.0,7116.0,8607.0
Aktywa trwałe,20879.0,13017.0,14830.0,14734.0,10026.0,11338.0,12374.0,14116.0,14068.0,27560.0,31611.0,32498.0,44691.0,49900.0,59778.0
Wartości niematerialne i prawne,12541.0,2682.0,2669.0,2338.0,2090.0,2394.0,2108.0,2876.0,3143.0,12167.0,13020.0,15528.0,29947.0,35731.0,45393.0
Rzeczowe składniki majątku trwałego,7229.0,9098.0,11707.0,11400.0,7259.0,8042.0,9382.0,10825.0,10429.0,12629.0,17306.0,15479.0,12504.0,11623.0,10627.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,165.0,299.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,1109.0,1237.0,454.0,996.0,677.0,902.0,584.0,415.0,496.0,2599.0,986.0,1491.0,2240.0,2546.0,3758.0
