,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,103.94,39.02,21.0,-9.78,6.82,62.91,11.42,4.84,-10.81,78.98,-27.09,13.62,5.93,-16.71,7.05,0.12,82.41,8.18
Techniczny koszt wytworzenia produkcji sprzedanej,,104.12,31.61,23.62,-11.2,11.48,66.76,11.61,6.36,-8.05,73.14,-23.28,13.87,6.99,-12.91,-4.55,2.76,79.03,7.47
Koszty sprzedaży,,61.69,78.44,15.96,-4.92,4.05,9.87,7.36,21.12,12.96,2.31,8.55,3.65,10.3,-3.7,0.06,0.43,10.59,-27.13
Koszty ogólnego zarządu,,62.52,83.43,45.75,-15.15,8.01,46.55,-7.47,9.28,-16.62,49.52,-20.53,17.96,0.34,-4.09,12.72,-9.03,36.35,2.68
Zysk ze sprzedaży,,164.13,75.44,-9.02,6.33,-32.68,66.76,27.9,-24.05,-70.02,669.78,-88.73,11.6,-75.21,-1759.19,213.29,-34.12,300.65,28.95
Pozostałe przychody operacyjne,,46.55,-24.49,10.42,14.11,30.37,174.16,-38.88,30.74,32.44,-1.59,-30.1,4.1,24.11,-19.66,225.89,-83.56,-44.53,36.86
Pozostałe koszty operacyjne,,292.21,-57.53,157.01,18.13,55.34,45.38,76.2,-37.15,12.38,-29.17,16.65,64.42,-16.16,-0.37,-51.67,-21.05,301.88,82.82
Zysk operacyjny (EBIT),,106.71,87.87,-17.35,5.07,-42.85,112.91,-18.28,3.74,-73.74,931.88,-94.05,-162.51,-32.96,-1139.26,244.2,-60.13,230.48,11.89
Przychody finansowe,,-8.82,1700.81,63.14,-23.03,-13.09,-13.01,-48.07,-13.81,0.53,13.0,16.33,-79.82,1611.07,-97.23,61.67,65.98,463.04,-1.27
Koszty finansowe,,52.3,136.6,-2.39,-40.2,150.82,-15.9,49.74,-24.31,-30.29,-21.48,74.74,120.91,204.87,-62.85,-11.22,5.86,1.02,88.68
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,104.44,121.15,-3.64,-1.16,-41.79,85.55,-27.33,5.15,-70.42,829.82,-92.63,-229.95,-1.32,-593.21,219.23,-64.68,299.66,6.08
Wynik zdarzeń nadzwyczajnych,,,,,,,,,-100.0,,,,,,,,,,
Zysk przed opodatkowaniem,,104.44,121.15,-3.64,-1.16,-41.79,85.55,-24.86,1.71,-70.42,829.82,-92.63,-229.95,-1.32,-593.21,219.23,-64.68,299.66,6.08
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,
Zysk netto,,103.58,124.47,-8.17,-2.32,-58.1,156.64,-31.93,13.97,-85.76,1983.32,-102.34,-755.34,12.81,-272.08,215.87,-61.61,246.92,-12.5
Zysk netto akcjonariuszy jednostki dominującej,,103.58,124.47,-8.17,-2.32,-58.1,156.64,-31.93,13.97,-85.76,1905.41,-102.58,-706.12,12.81,-272.08,214.11,-60.27,233.44,1.77
Aktywa trwałe,,172.26,69.97,56.27,-7.1,54.28,6.06,19.64,1.05,-5.41,11.88,-1.6,4.22,-1.09,2.71,9.64,-12.04,-28.31,12.91
Wartości niematerialne i prawne,,-45.42,819.78,260.45,4.39,14.39,-3.52,-4.06,-18.5,0.89,10.86,0.54,2.57,7.92,2.81,4.51,-6.38,-34.78,0.69
Rzeczowe składniki majątku trwałego,,138.6,58.09,3.1,25.42,87.16,11.88,28.56,9.47,-8.5,6.86,0.91,-2.1,-4.39,-17.34,13.67,-12.63,-33.97,4.97
Należności długoterminowe,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,-63.27,55.56,-79.46,156.52,830.51,-9.11,-2.2,-4.92,5.6,1.43,-4.02,26.0,223.96,40.68,61.3,-16.34,-33.66,-45.84
Pozostałe aktywa trwałe,,763.87,21.04,18.35,-80.53,108.95,16.19,65.66,2.2,0.59,47.67,-16.57,40.63,-23.7,84.58,-9.44,-15.7,0.56,61.34
Aktywa obrotowe,,149.23,216.89,-0.72,-2.37,-8.4,16.94,1.2,1.79,10.05,30.55,-20.76,6.4,2.28,-22.04,27.31,2.64,69.6,-1.39
Zapasy,,-33.4,19.19,21.96,-15.85,109.5,31.42,-25.9,57.93,-7.15,-9.76,-19.44,86.6,-62.08,7.81,50.05,-14.5,-8.0,-14.35
Należności krótkoterminowe,,131.54,44.64,26.91,-24.5,18.69,31.04,20.23,-4.02,16.16,43.09,-12.25,-0.7,7.24,-25.32,15.72,52.33,26.75,32.88
Inwestycje krótkoterminowe,,1007.42,1587.32,-15.58,-0.38,-29.88,-19.6,-31.91,30.42,40.53,15.63,-39.74,-4.71,-88.4,58.21,375.53,-19.6,202.66,-41.55
Środki pieniężne i inne aktywa pieniężne,,1095.8,845.28,45.29,-0.55,-31.67,-13.31,-31.87,30.47,40.29,15.5,-39.58,-4.69,-88.41,58.26,375.38,-19.64,202.88,-41.55
Pozostałe aktywa obrotowe,,513.93,-68.58,26.64,512.3,5.78,96.69,12.14,-17.84,-47.37,26.51,-16.77,62.67,139.93,-22.77,-2.62,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,-100.0
Aktywa razem,,153.21,189.62,5.49,-3.13,1.3,14.38,5.23,1.61,6.23,26.44,-17.03,5.89,1.51,-16.56,22.49,-0.94,48.39,0.1
Kapitał własny akcjonariuszy jednostki dominującej,,109.55,543.11,0.98,4.44,-10.09,3.48,-3.8,2.27,-7.15,19.25,-13.27,-9.76,-6.13,-24.43,31.18,9.62,28.7,7.38
Kapitał (fundusz) podstawowy,,5.15,61.67,0.0,0.94,0.58,1.13,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,0.0,2.06,0.01,0.44,0.04,0.41,9.78,-7.31,14.71,-5.67,-7.44,-10.14,-25.4,2.93,-1.68,0.0
Udziały niekontrolujące,,,,,,,21.46,31.56,-7.43,-33.1,55.0,-40.65,1.09,-23.71,7.64,20.74,0.51,-39.3,-298.22
Zobowiązania długoterminowe,,13.4,-45.72,-2.52,-72.82,3457.14,-90.93,-27.31,181.73,-74.59,438.3,-24.24,125.04,14.53,202.23,71.78,25.37,-19.11,110.5
Z tytułu dostaw i usług,,,,14.2,-10.29,-2.44,79.73,14.1,-0.54,18.25,68.86,-31.02,32.77,-1.16,-16.26,5.84,30.51,10.64,26.87
Kredyty i pożyczki,,,,-92.82,4393.33,-31.01,473.33,-85.3,911.99,-5.92,-69.96,555.22,32.16,84.46,24.14,-75.66,-95.99,-100.0,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,,,,,-21.98,23.22
Inne zobowiązania długoterminowe,,,,-2.52,-72.82,3013.1,-100.0,,,,,-59.51,-100.0,,-99.66,14740.0,516.58,-8.7,225.23
Zobowiązania krótkoterminowe,,181.07,0.23,10.97,-16.68,22.46,53.98,12.27,2.46,34.7,33.25,-20.41,24.43,11.84,-13.25,4.38,7.85,73.13,-7.68
Inne zobowiązania krótkoterminowe,,,,7.46,-37.19,101.24,0.17,31.12,-15.46,90.29,-7.45,-19.15,0.35,14.7,-37.87,140.85,-22.82,266.63,-38.37
Rozliczenia międzyokresowe,,450.96,82.59,70.82,-45.09,32.3,43.14,64.8,-6.77,1.18,28.47,-16.43,3.02,-20.57,-28.52,135.18,-100.0,,
Pasywa razem,,153.21,189.62,5.49,-3.13,1.3,14.38,5.23,1.61,6.23,26.44,-17.03,5.89,1.51,-16.56,22.49,-0.94,48.39,0.1
Przepływy pieniężne z działalności operacyjnej,,366.64,134.99,-10.27,-21.9,-47.84,-70.17,1860.98,-14.56,68.08,-15.65,-142.33,191.53,-539.46,118.29,501.59,-94.72,1962.98,-110.39
Amortyzacja,,41.21,30.51,35.28,-10.5,-2.61,31.01,13.85,-7.5,-5.93,1.23,18.45,-2.05,-7.28,53.7,12.66,2.12,-10.32,-9.74
Przepływy pieniężne z działalności inwestycyjnej,,-87.65,-4385.06,160.58,-96.44,-779.71,82.71,-1100.22,56.52,68.82,-212.73,27.01,-79.28,50.69,22.96,390.71,-103.03,2839.5,-53.99
CAPEX (niematerialne i rzeczowe),,135.53,317.56,-32.93,-31.67,227.25,-3.8,-51.12,90.34,-66.47,130.39,-13.56,68.93,-82.84,-69.71,144.26,44.43,54.83,8.94
Przepływy pieniężne z działalności finansowej,,205.35,4271.79,-117.4,44.01,-142.2,67.07,-204.46,89.13,-451.54,13.74,4.47,66.06,532.11,-115.5,-1273.3,72.63,19.58,-345.52
Emisja akcji,,,8049.87,-100.0,,-24.49,-100.0,,,,,,,,,,,,
Dywidenda,,,-100.0,,-39.55,135.11,-49.37,55.17,-43.48,32.21,-23.31,108.25,-70.81,-96.02,-100.0,,,-100.0,
Przepływy pieniężne razem,,225.83,822.42,-49.35,-101.77,-5623.26,71.31,-107.79,165.12,72.54,-46.02,-394.89,92.83,-1694.91,107.64,919.67,-124.87,930.28,-162.03
