,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-53.18,-97.29,3865.88,170.01,20.43,-13.33,12.74,397.86,-26.83,-20.67,-21.65,43.64,310.32,-58.47,7.25,29.14
Techniczny koszt wytworzenia produkcji sprzedanej,,-54.94,-97.32,1465.91,205.86,64.42,-0.88,43.63,65.08,-45.89,-27.89,29.3,51.81,204.61,-49.07,-2.5,55.99
Koszty sprzedaży,,-49.57,-77.05,1819.88,93.76,-33.54,-11.35,-17.4,236.01,128.29,-21.94,-3.15,16.94,225.52,-26.66,-25.69,9.65
Koszty ogólnego zarządu,,-29.12,-21.33,91.06,43.73,12.75,-1.58,-11.7,435.49,-64.89,50.99,13.57,56.04,16.32,8.3,4.99,120.43
Zysk ze sprzedaży,,48.57,5.41,197.2,547.57,12.37,-49.85,-84.17,16101.46,-33.95,-22.39,-52.6,57.28,560.84,-77.26,53.96,6.97
Pozostałe przychody operacyjne,,621.99,-43.72,-67.63,480.27,-66.26,11.91,33.63,-57.7,27.21,129.56,-52.81,210.77,1.92,105.85,11.89,178.08
Pozostałe koszty operacyjne,,-91.52,175.37,285.59,88.57,-20.41,-38.38,-80.67,3181.74,-86.62,-50.19,11.37,75.59,343.78,109.78,3.07,-53.91
Zysk operacyjny (EBIT),,114.42,-186.21,68.6,4192.15,2.7,-47.57,-58.65,6797.45,-28.42,-20.65,-53.35,60.41,541.8,-79.87,62.02,24.3
Przychody finansowe,,1051.85,-75.56,2040.79,10.69,123.82,-25.7,8.01,159.63,2.24,26.42,-0.78,-12.14,80.5,-44.25,650.82,65.93
Koszty finansowe,,22.08,-81.84,668.92,13.68,87.37,-83.48,-93.37,24360.0,-97.49,1490.94,-97.04,351.54,1468.82,153.21,138.71,-11.62
Pozostałe przychody (koszty),,96.51,100.0,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,105.68,-281.78,57.94,2884.15,3.89,-39.23,-45.67,4413.76,-26.01,-20.69,-50.27,53.75,515.85,-81.19,79.45,36.96
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,105.68,-281.78,57.94,2884.15,3.89,-39.23,-45.67,4413.76,-26.01,-20.69,-50.27,53.75,515.85,-81.19,79.45,36.96
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,100.0,,,,,,,,
Zysk netto,,105.68,-281.78,-48.43,794.35,17.37,-47.2,-68.49,7218.44,-26.84,-20.06,-45.41,60.35,558.43,-81.9,66.15,38.61
Zysk netto akcjonariuszy jednostki dominującej,,105.68,-281.78,-48.43,794.35,17.37,-47.02,-65.02,6470.03,-26.84,-20.06,-45.41,60.35,558.43,-81.9,66.15,38.61
Aktywa trwałe,,-10.22,373.64,172.71,1.26,3.79,0.9,-1.89,27.81,43.17,49.75,51.96,74.89,12.53,18.54,23.64,29.52
Wartości niematerialne i prawne,,-20.78,-45.9,241266.67,0.34,1.62,1.97,3.86,9.6,64.99,51.57,48.23,43.66,4.18,-11.09,28.77,9.17
Rzeczowe składniki majątku trwałego,,-11.06,-5.13,40.79,9.45,8.37,4.02,-50.84,70.58,53.76,30.57,2.17,447.1,0.08,9.38,26.05,26.01
Należności długoterminowe,,,,,,,,,,,,15.15,-88.42,386.36,113.71,-43.29,-1.54
Inwestycje długoterminowe,,,37604.29,-100.0,,,,,0.0,-64.53,132.99,3597.79,217.01,127.05,121.15,9.61,81.15
Pozostałe aktywa trwałe,,0.0,-100.0,,0.11,144.14,-53.34,14.33,1160.39,-96.75,-100.0,,707.33,-18.94,287.64,42.62,1.6
Aktywa obrotowe,,9.89,-85.96,3198.77,21.35,15.0,12.79,27.0,256.34,26.96,3.08,1.73,-1.83,193.83,-41.19,-7.88,0.75
Zapasy,,-80.94,-47.34,3736.65,12.16,7.25,55.74,85.72,-64.56,-98.83,-19.45,-20.12,4885.27,-45.91,128.35,-20.05,-71.84
