,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,20.07,2.25,20.96,37.16,16.32,3.8,5.0,-0.94,-9.56,1.6,16.26,4.18,8.02,4.39,24.81,13.59,-9.42
Techniczny koszt wytworzenia produkcji sprzedanej,,16.41,-1.47,15.1,44.81,21.31,3.01,2.64,-1.78,-12.05,-0.01,22.79,4.08,6.76,-1.32,36.21,9.93,-10.51
Koszty sprzedaży,,39.01,45.54,33.9,41.09,11.2,-0.55,-1.87,1.93,-1.57,6.91,6.89,0.43,11.98,5.49,18.14,14.04,-0.42
Koszty ogólnego zarządu,,27.47,24.88,49.07,25.15,6.7,-4.03,0.07,-0.79,-2.71,9.65,19.74,1.23,8.7,5.6,10.56,14.76,5.9
Zysk ze sprzedaży,,25.04,-30.17,19.89,-26.99,-29.62,87.02,81.12,1.05,-9.21,-3.92,-26.76,25.46,12.03,72.32,-33.41,65.27,-34.76
Pozostałe przychody operacyjne,,-51.26,1.58,581.47,-44.87,-41.51,138.93,-44.02,31.73,-21.76,-17.56,25.85,-140.86,70.88,1195.33,14.98,46.85,33.43
Pozostałe koszty operacyjne,,-41.34,499.37,5.77,-58.77,66.83,26.55,22.81,-32.32,-11.52,84.21,-60.15,-44.41,-11.57,8.91,-65.09,-21.26,150.51
Zysk operacyjny (EBIT),,30.64,-85.18,272.98,0.82,-82.05,426.55,83.23,30.83,-10.27,-39.51,21.9,20.4,21.55,100.08,-27.1,65.7,-29.61
Przychody finansowe,,501.1,1023.92,-77.7,41.73,158.49,-82.32,-85.26,1167.24,69.12,129.12,-39.61,-62.53,-3.02,31.54,36.45,36.07,33.93
Koszty finansowe,,66.94,-3.31,-23.27,-10.52,61.14,29.06,5.46,73.9,-27.04,-47.93,154.27,-50.71,-40.14,219.77,-58.54,114.44,88.0
Pozostałe przychody (koszty),,20.81,-10.8,10.09,-11.78,-100.0,,,3.71,16.71,-1.64,0.83,-5.36,2.4,213.4,70.47,20.35,-203.94
Zysk z działalności gospodarczej,,23.4,-58.01,38.62,17.93,-74.97,3.2,288.05,10.13,35.74,17.91,-63.8,129.98,52.73,67.44,-7.21,51.71,-58.8
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,23.4,-58.01,38.62,17.93,-74.97,3.2,288.05,10.13,35.74,17.91,-63.8,129.98,52.73,67.44,-7.21,51.71,-58.8
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,14.27,-59.11,15.42,46.58,-25.44,-75.88,368.95,2.21,28.9,20.32,-78.79,289.82,48.84,92.41,34.51,9.62,-55.28
Zysk netto akcjonariuszy jednostki dominującej,,21.11,-58.91,13.11,48.61,-26.13,-74.43,351.5,1.49,28.74,19.5,-78.71,290.04,48.49,93.01,34.67,9.2,-55.32
Aktywa trwałe,,22.14,40.63,75.5,18.88,20.34,-1.96,-5.8,6.17,19.04,-14.14,-4.15,-3.45,6.89,15.21,-1.21,10.6,46.62
Wartości niematerialne i prawne,,14.55,265.88,161.07,23.76,7.89,4.86,4.1,40.35,0.31,10.29,2.52,0.13,-5.5,-6.87,-20.36,-5.36,41.9
Rzeczowe składniki majątku trwałego,,25.94,34.24,71.64,15.85,9.54,1.1,-7.33,1.33,1.5,2.18,-4.74,-4.18,11.36,3.26,7.48,10.06,36.8
Należności długoterminowe,,,-20.0,36850.0,-14.34,-7.74,-72.43,1.55,-4.89,-55.31,167.63,-1.34,5.45,-100.0,,,,
Inwestycje długoterminowe,,5.84,-3.33,31.55,8.81,244.26,-70.11,5.55,10.49,863.49,-88.41,-7.24,2.26,-2.41,577.16,-57.48,32.17,229.4
Pozostałe aktywa trwałe,,-6.99,67.18,37.06,65.24,92.3,11.9,-6.72,2.4,-7.88,-11.15,-10.3,-6.19,1.66,11.12,49.73,17.27,9.16
Aktywa obrotowe,,37.21,38.51,3.04,6.46,23.98,-9.0,14.99,-4.27,-9.09,27.23,6.87,-3.17,6.63,5.34,33.85,3.14,-9.83
Zapasy,,12.96,14.63,34.25,26.9,12.78,-12.74,1.47,12.06,-10.57,23.83,33.27,-6.28,-16.99,28.29,45.33,-6.37,-22.62
Należności krótkoterminowe,,45.49,-12.51,16.89,23.24,35.0,-7.74,11.96,-6.99,-5.74,1.02,21.74,2.78,6.42,4.17,24.36,-20.03,6.01
Inwestycje krótkoterminowe,,85.07,409.76,-29.97,-45.95,10.77,-4.79,63.03,-21.1,-18.41,149.53,-51.22,-19.07,98.04,-27.94,42.28,118.72,-59.09
Środki pieniężne i inne aktywa pieniężne,,85.07,398.56,-35.02,-51.06,19.59,-3.77,69.38,-29.58,-14.44,30.56,-3.26,-14.02,88.24,-35.78,-29.25,157.9,-24.4
Pozostałe aktywa obrotowe,,-100.0,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,
Aktywa razem,,32.35,39.14,24.84,11.72,22.34,-5.88,5.4,0.03,3.22,6.36,2.38,-3.28,6.73,9.1,19.74,5.62,9.81
Kapitał własny akcjonariuszy jednostki dominującej,,61.26,117.46,3.81,6.44,5.93,-0.76,3.46,5.0,-1.07,7.47,-2.62,0.74,7.75,14.07,14.96,18.98,-2.4
Kapitał (fundusz) podstawowy,,95.15,28.22,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,0.0,0.0
Kapitał (fundusz) zapasowy,,31.85,118.19,17.1,7.85,12.98,12.62,-8.43,15.5,-21.77,13.43,4.89,4.65,5.48,8.4,2.42,1.31,9.05
Udziały niekontrolujące,,-97.5,166.47,59.1,2.12,1.11,-35.84,-72.92,166.14,-1.78,66.57,-11.39,13.67,30.52,19.94,11.12,229.0,-1.13
Zobowiązania długoterminowe,,39.65,-19.95,327.38,-31.81,-9.76,86.35,-4.51,29.94,-21.64,76.44,-78.48,246.01,-22.19,-54.55,71.25,7.07,24.67
Z tytułu dostaw i usług,,3.44,-6.85,29.21,29.87,24.33,-8.62,40.72,-24.32,-8.28,18.93,38.74,-13.09,8.98,30.11,5.85,4.96,7.77
Kredyty i pożyczki,,31.1,-71.07,-30.58,126.56,389.08,-54.31,-28.12,-11.22,172.5,-83.14,620.12,-80.79,28.42,3.64,177.89,-47.98,159.24
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,60.8,74.52,163.94,237.29,-46.69,-25.19,-9.19,12.68,-35.21,31.5,5.94,12.13,-12.53,28.1,-29.01,-17.01,43.73
Inne zobowiązania długoterminowe,,-33.51,26.99,2193.18,-6.48,-16.53,1.46,-68.18,93.66,-4.61,-12.61,-3.65,-5.46,-5.49,34.26,5.57,-5.13,47.07
Zobowiązania krótkoterminowe,,15.77,-35.51,29.06,62.56,65.3,-29.21,13.78,-20.16,28.7,-23.8,89.34,-34.46,21.05,24.06,20.0,-13.99,30.21
Inne zobowiązania krótkoterminowe,,2.0,-0.77,64.61,29.53,8.75,12.94,29.27,-27.1,-8.04,46.05,14.71,11.47,52.66,21.66,1.75,-17.0,8.2
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,32.35,39.14,24.84,11.72,22.34,-5.88,5.4,0.03,3.22,6.36,2.38,-3.28,6.73,9.1,19.74,5.62,9.81
Przepływy pieniężne z działalności operacyjnej,,-12.77,154.1,-50.92,-8.95,-250.46,316.59,36.45,-53.68,79.98,27.86,-110.67,696.72,205.31,-17.4,-126.86,729.28,-55.94
Amortyzacja,,23.92,15.1,61.68,13.96,32.72,1.53,3.01,-3.41,-0.76,-4.35,9.14,8.6,36.85,0.65,14.37,3.57,-11.45
Przepływy pieniężne z działalności inwestycyjnej,,-31.98,-38.38,18.36,-91.48,-11.34,77.11,-20.35,-170.12,-126.39,78.23,332.24,-150.95,-12.73,-159.97,50.83,-5.42,-210.0
CAPEX (niematerialne i rzeczowe),,25.46,36.54,-31.15,48.53,8.59,-55.18,25.88,36.78,39.3,-28.59,-42.72,72.8,-1.39,26.34,-1.92,14.25,56.34
Przepływy pieniężne z działalności finansowej,,426.36,313.26,-131.61,97.42,11996.97,-141.97,41.98,61.13,521.64,-204.38,-19.72,36.92,-149.05,-3.87,170.19,-283.22,108.14
Emisja akcji,,,,-100.0,,,,-100.0,,,,,,,,,,
Dywidenda,,,,,,,-100.0,,-8.98,0.0,7.13,0.0,0.0,0.09,-100.0,,,
Przepływy pieniężne razem,,1008.21,727.4,-143.52,3.7,118.7,-119.09,2252.54,-171.07,64.22,276.19,-114.0,-318.18,632.18,-177.1,46.48,471.11,-142.4
