,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,6884.0,9208.0,12289.0,13146.0,14504.0,53883.0,68157.0,89045.0,101430.0,117730.0,140661.0,156204.0,212448.0,410082.0,453119.0
Techniczny koszt wytworzenia produkcji sprzedanej,6658.0,8063.0,9238.0,9435.0,2767.0,27256.0,37509.0,59495.0,70608.0,85425.0,107603.0,108417.0,142107.0,294826.0,341461.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,3204.0,8979.0,14090.0,12920.0,12592.0,15689.0,17014.0,15674.0,21084.0,19713.0,26782.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,4010.0,8647.0,7436.0,8434.0,8334.0,10365.0,11856.0,16252.0,21860.0,41362.0,43169.0
Zysk ze sprzedaży,226.0,1145.0,3051.0,3711.0,4523.0,9001.0,9122.0,8196.0,9896.0,6251.0,4188.0,15861.0,27397.0,54181.0,41707.0
Pozostałe przychody operacyjne,124.0,32.0,25.0,164.0,197.0,334.0,552.0,65.0,58.0,88.0,134.0,69.0,82.0,418.0,1613.0
Pozostałe koszty operacyjne,8.0,7.0,174.0,30.0,24.0,59.0,584.0,142.0,48.0,217.0,220.0,410.0,115.0,4025.0,7710.0
Zysk operacyjny (EBIT),342.0,1170.0,2902.0,3845.0,4696.0,9276.0,9090.0,8119.0,9906.0,6122.0,4102.0,15520.0,27364.0,50574.0,35610.0
Przychody finansowe,276.0,724.0,174.0,169.0,104.0,170.0,100.0,249.0,168.0,136.0,57.0,240.0,450.0,2035.0,4918.0
Koszty finansowe,256.0,207.0,217.0,145.0,32.0,366.0,1153.0,296.0,919.0,408.0,2380.0,2236.0,2278.0,2331.0,8758.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,362.0,1687.0,2859.0,3869.0,4768.0,9080.0,8037.0,8072.0,9155.0,5850.0,1779.0,13524.0,25536.0,50278.0,31770.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,362.0,1687.0,2859.0,3869.0,4768.0,9080.0,8037.0,8072.0,9155.0,5850.0,1779.0,13524.0,25536.0,50278.0,31770.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
