,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-9.87,-12.76,-3.64,28.06,-27.04,5.01,22.62,6.24,-0.81,1.4,-38.28,12.41,25.11,13.71,-9.64,-40.97
Techniczny koszt wytworzenia produkcji sprzedanej,,-9.62,-6.3,-10.88,31.88,-22.71,1.7,31.65,-1.17,7.72,4.52,-35.36,-3.0,32.79,20.18,-5.86,-36.59
Koszty sprzedaży,,-7.05,-41.38,-27.32,242.16,25.09,-1.7,7.37,44.12,-2.62,1.32,-35.49,-26.62,22.78,27.9,-19.66,-30.04
Koszty ogólnego zarządu,,-15.02,4.21,-33.23,-17.25,3.9,-3.13,3.32,14.86,30.46,17.7,-14.89,-4.85,3.91,-7.18,3.24,-9.85
Zysk ze sprzedaży,,-9.35,-44.22,94.83,-1.92,-83.34,123.83,-39.54,68.28,-144.45,-149.57,-37.43,144.11,-52.34,-245.07,-110.89,-75.76
Pozostałe przychody operacyjne,,45.88,-10.22,2281.25,-93.83,-59.66,-44.12,307.23,-67.54,111.02,-68.63,45.43,507.52,-92.6,-14.98,3112.33,-4.49
Pozostałe koszty operacyjne,,-1.34,-48.33,8.76,-63.18,-27.16,-19.64,389.42,8.85,-95.53,213.29,-62.07,190.45,-43.95,444.94,335.62,-59.05
Zysk operacyjny (EBIT),,-4.72,-34.58,809.43,-74.44,-82.2,85.62,-40.65,-2.63,-116.01,-1053.98,-28.8,217.65,-78.72,-296.5,86.88,-127.17
Przychody finansowe,,63.33,-25.03,-13.2,-47.94,-59.14,-25.06,-14.1,-13.74,-42.48,-81.54,279.17,-5.49,-12.79,46.67,-76.36,34957.69
Koszty finansowe,,-94.7,673.5,678.78,21.99,-9.51,-2.79,-3.5,-17.09,-0.41,4.03,29.48,13.43,-27.14,-20.75,64.86,10.94
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,5.27,-36.2,731.0,-77.94,-97.4,710.3,-73.37,43.6,-330.21,-211.99,-28.72,154.67,-107.85,-1146.52,35.76,62.93
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,5.27,-36.2,731.0,-77.94,-97.4,710.3,-73.37,43.6,-330.21,-211.99,-28.72,154.67,-107.85,-1146.52,35.76,62.93
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,
Zysk netto,,14.21,-40.59,984.0,-81.65,-89.07,77.56,-95.74,-1714.56,-44.09,-250.77,-44.37,157.82,-109.21,-719.98,25.58,46.42
Zysk netto akcjonariuszy jednostki dominującej,,14.21,-40.59,984.0,-81.65,-89.07,77.56,-95.74,-1714.56,-44.09,-250.77,-44.37,157.82,-109.21,-719.98,25.58,46.42
Aktywa trwałe,,-4.57,-4.78,38.85,4.69,0.0,-5.49,8.28,-1.24,-4.12,-1.49,-11.27,11.31,-3.33,-0.01,-25.09,-29.7
Wartości niematerialne i prawne,,-12.32,-13.95,403.06,-3.5,-4.07,6.58,-17.04,-6.13,-5.38,-1.68,-10.27,3.99,-5.45,-3.34,-39.81,-28.41
Rzeczowe składniki majątku trwałego,,-0.62,-3.54,11.01,9.14,-0.55,-9.92,17.19,-1.38,-3.66,-0.05,-10.46,15.18,-2.59,-0.59,-24.9,-30.35
Należności długoterminowe,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,-100.0,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,4.29,-10.51,-4.13,-20.49,49.63,3.51,20.07,20.17,-5.71,-18.51,-27.26,-26.41,-11.14,41.69,40.3,-24.62
Aktywa obrotowe,,69.96,-8.54,-8.63,2.72,-20.95,31.6,8.01,-5.16,3.96,-27.04,-29.11,6.05,18.02,-10.18,-22.41,-33.86
Zapasy,,1.11,14.8,-20.46,37.5,-2.02,56.31,15.25,-4.49,4.46,-43.42,-43.33,61.03,16.96,-19.25,-14.52,-21.57
Należności krótkoterminowe,,6.16,-9.5,20.19,71.57,-31.38,14.05,-31.31,-4.31,1.79,10.58,-63.92,65.13,15.33,15.45,-30.56,-44.25
Inwestycje krótkoterminowe,,477.43,-20.4,-20.51,-90.02,-30.27,-92.52,300.9,-21.44,547.56,-76.19,-84.9,45.06,2002.98,-49.55,-51.87,-22.25
Środki pieniężne i inne aktywa pieniężne,,505.25,-21.2,-19.7,-90.02,-30.27,-92.52,300.9,-21.44,547.56,-76.19,-84.9,45.06,2002.98,-49.55,-51.87,-22.25
Pozostałe aktywa obrotowe,,-47.54,-28.15,543.31,36.44,-59.47,113.88,646.63,-9.09,-17.0,-13.28,-26.99,-3.13,-25.56,-20.35,-17.94,-82.52
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,-100.0,,,,
Aktywa razem,,16.81,-6.35,19.5,4.08,-6.44,4.14,8.19,-2.53,-1.54,-10.09,-16.14,10.1,1.42,-2.64,-24.45,-30.72
Kapitał własny akcjonariuszy jednostki dominującej,,11.07,5.92,-19.92,-2.12,-7.43,2.97,4.18,-7.1,-2.43,-22.66,-19.89,14.59,-1.15,-9.54,-7.85,-7.43
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,0.0,0.0,0.0,-1.68,38.94,13.4,18.41,8.83,6.52,3.42,-3.52,-17.11,32.31,7.19,-1.48,-33.07
Udziały niekontrolujące,,,,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,11.63,16.3,625.07,-4.54,-10.44,-6.13,19.37,-6.51,-26.22,-75.94,4.08,146.5,-14.17,4.19,-22.35,-52.38
Z tytułu dostaw i usług,,27.86,-63.97,132.04,105.91,-24.36,13.5,-0.11,24.92,7.69,-7.73,-36.8,8.73,23.28,5.7,-2.13,-48.8
Kredyty i pożyczki,,,-100.0,,-49.93,347.96,14.53,23.52,-6.69,60.89,102.13,-5.78,-27.2,-5.73,-5.05,-100.0,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,-100.0,,,,,,-22.13,31.39,280.93,-9.13,10.39,-12.09,-62.23
Inne zobowiązania długoterminowe,,11.63,16.3,-20.97,3.77,-0.59,-1.71,26.28,-1.53,-5.12,-5.63,8.17,-18.82,0.22,-0.11,-18.69,-18.21
Zobowiązania krótkoterminowe,,58.25,-71.16,193.89,53.04,2.04,19.65,7.57,12.4,21.42,44.03,-14.75,-8.0,8.4,2.02,-38.18,-52.13
Inne zobowiązania krótkoterminowe,,76.56,-75.73,120.24,-94.5,31.3,1327.24,12.97,-7.3,-67.38,883.56,24.07,8.94,26.22,7.81,2.49,-56.42
Rozliczenia międzyokresowe,,,100.0,,,,,,,,,,,,,,
Pasywa razem,,16.81,-6.35,19.5,4.08,-6.44,4.14,8.19,-2.53,-1.54,-10.09,-16.14,10.1,1.42,-2.64,-24.45,-30.72
Przepływy pieniężne z działalności operacyjnej,,76.81,-64.24,162.5,-33.2,-16.13,-56.58,45.51,113.39,-29.85,-25.72,-14.72,-67.55,385.44,-39.89,-19.24,-440.23
Amortyzacja,,7.84,-9.35,-59.66,35.51,17.23,13.0,7.18,11.14,-2.72,6.53,-56.42,43.05,8.57,16.7,-2.31,-26.32
Przepływy pieniężne z działalności inwestycyjnej,,22.06,-108.54,-541.7,86.22,22.07,53.21,-307.14,25.1,34.75,-0.07,82.39,1160.26,-131.67,6.54,745.74,-39.63
CAPEX (niematerialne i rzeczowe),,95.97,31.87,0.73,-12.05,-19.13,-54.79,308.16,-33.81,-26.88,14.0,-79.7,28.78,106.98,-10.89,-33.46,-63.12
Przepływy pieniężne z działalności finansowej,,113.42,-202.52,1961.67,-133.7,72.29,81.16,662.77,-207.86,46.0,4.31,-94.98,-124.61,60.36,26.79,-596.65,116.08
Emisja akcji,,,,,-100.0,,,,,,,,,,,,
Dywidenda,,,,,,-57.77,-100.0,,,,,,,,,,
Przepływy pieniężne razem,,227.87,-124.19,418.46,-190.02,96.64,286.9,-72.29,-128.46,2116.93,-190.11,73.48,108.01,6347.95,-152.03,47.2,79.35
