,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,10.99,-23.65,20.7,46.36,34.37,-1.72,-31.49,14.61,53.89,28.95,23.85,-3.44,-13.84,-30.34,37.02,32.84
Techniczny koszt wytworzenia produkcji sprzedanej,,-0.28,-39.44,10.02,59.59,52.62,11.65,-7.39,-13.89,69.42,9.96,21.35,14.83,-17.54,-47.86,24.07,12.22
Koszty sprzedaży,,-16.29,-23.64,-52.66,28.53,70.32,7.17,0.96,170.23,49.47,21.34,48.21,20.81,-29.95,-57.41,-15.5,130.03
Koszty ogólnego zarządu,,152.88,-21.86,5.01,12.32,11.16,10.25,-12.8,1.57,77.46,15.05,40.38,48.59,-23.23,-23.09,29.38,12.24
Zysk ze sprzedaży,,26.71,46.62,60.78,40.75,11.81,-31.88,-121.12,332.33,-42.58,368.95,13.94,-122.68,174.47,393.64,84.61,64.71
Pozostałe przychody operacyjne,,94.26,-44.33,0.88,-83.77,154.05,2062.77,-73.09,-82.08,-34.69,179.69,-23.46,-8624.09,110.36,162.4,-98.8,-4252.63
Pozostałe koszty operacyjne,,-59.01,72.34,-37.86,21.85,-80.43,172.22,7394.9,-98.72,319.15,-49.24,303.5,16.48,70.74,-79.81,133.64,25.5
Zysk operacyjny (EBIT),,49.28,32.56,63.51,36.67,14.41,-12.48,-195.81,139.68,-52.8,468.4,6.53,-260.06,108.66,766.38,31.0,55.51
Przychody finansowe,,,,-100.0,,-60.9,-61.46,69.59,-38.04,-120.18,713.04,-392.91,-31.48,132.41,126.14,-15.7,290.16
Koszty finansowe,,-47.76,-100.0,,-100.0,,,,,,,,,,-78.53,103.82,5.05
Pozostałe przychody (koszty),,,100.0,,,,,,,,,,,,-100.39,-40900.0,1923.41
Zysk z działalności gospodarczej,,39.66,64.47,57.75,63.31,3.55,-15.15,-189.25,144.46,-57.21,504.9,-5.97,-288.5,86.66,620.66,18.29,136.14
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,39.66,64.47,57.75,63.31,3.55,-15.15,-189.25,144.46,-57.21,504.9,-5.97,-288.5,86.66,620.66,18.29,136.14
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,-46.42
Zysk netto,,-18.77,76.94,53.33,66.9,3.93,-15.24,-190.39,144.18,-58.63,563.64,2.04,-293.05,71.88,334.3,8.22,126.89
Zysk netto akcjonariuszy jednostki dominującej,,-18.77,76.94,53.33,66.9,3.93,-15.24,-190.39,143.54,-51.67,452.08,1.1,-274.48,71.26,314.89,5.31,150.39
Aktywa trwałe,,0.95,-2.2,29.52,34.54,14.81,7.96,-28.09,74.65,-10.29,15.87,20.55,52.44,-19.23,-10.04,1.38,10.45
Wartości niematerialne i prawne,,8.83,-0.43,36.94,31.44,14.55,9.51,-33.2,51.6,-8.29,16.34,15.72,-44.17,-18.9,-8.47,-15.43,-14.91
Rzeczowe składniki majątku trwałego,,-29.55,5.42,-28.2,43.09,22.21,-7.14,-16.09,672.77,-11.44,-1.25,30.88,383.55,-9.72,-15.08,11.94,15.59
Należności długoterminowe,,,,,,-5.42,-100.0,,-100.0,,,-100.0,,-14.8,10.21,-65.16,200.0
Inwestycje długoterminowe,,,,,,,,,17.5,-68.09,0.0,6193.33,306.25,-89.13,-0.48,-98.8,39840.0
Pozostałe aktywa trwałe,,-43.49,-49.8,-78.43,-9.09,148.0,207.26,165.09,-6.83,-49.42,91.81,54.65,90.65,-47.07,72.84,9.34,-47.98
Aktywa obrotowe,,21.2,12.82,194.56,-8.64,-15.12,-10.16,12.61,-41.61,31.86,59.16,14.49,-40.91,4.67,26.82,73.66,53.33
Zapasy,,-100.0,,,,,,,,,,,190.27,-97.56,-100.0,,
Należności krótkoterminowe,,-6.21,0.68,117.0,6.55,17.98,13.99,0.06,-34.09,51.6,27.85,-3.19,-24.39,22.47,-27.02,61.52,2.04
Inwestycje krótkoterminowe,,250.88,-15.81,1567.7,-14.91,-40.9,-45.51,39.82,-62.42,-52.57,519.96,25.14,-68.55,-68.19,1235.32,45.58,155.81
Środki pieniężne i inne aktywa pieniężne,,250.88,-32.12,1745.1,-73.05,-56.76,11.87,57.19,-30.61,-47.96,351.3,77.89,-68.82,-77.03,1531.38,44.5,103.5
Pozostałe aktywa obrotowe,,59.36,49.1,-73.48,-60.77,-8.9,-56.23,404.62,-13.57,47.27,-3.47,254.47,-76.09,49.63,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,-100.0
Aktywa razem,,7.76,3.48,97.57,8.0,-0.75,-0.1,-11.81,15.27,0.61,30.55,18.04,15.01,-14.31,-0.77,24.62,29.66
Kapitał własny akcjonariuszy jednostki dominującej,,10.31,-15.3,157.96,9.1,1.87,-8.07,-18.99,4.16,4.41,20.35,14.69,-32.46,-12.79,25.35,29.03,46.89
Kapitał (fundusz) podstawowy,,0.0,0.0,24.55,0.0,0.0,0.0,0.0,0.0,1.35,0.0,2.91,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,-100.0,,-186.75,0.0,0.0,0.0,0.0,0.0,-12.01,-19.48,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,,0.59,13.24,98.39,4.67,0.02,4.33,25.06,-4.79,-9.56,1.85,8.09,-24.33,-26.38,22.38,-36.49,0.0
Udziały niekontrolujące,,,,,,,,,,216.07,32.69,185.07,-144.89,102.15,15605.26,7.1,-6.07
Zobowiązania długoterminowe,,-96.15,89200.0,-40.28,-50.69,-29.91,145.03,-66.42,433.63,-69.69,3.12,350.07,475.94,-2.04,-38.16,29.82,14.74
Z tytułu dostaw i usług,,25.67,-10.21,-21.07,-29.96,28.88,179.82,57.72,0.05,14.83,0.97,11.57,12.8,-55.79,41.62,28.21,-8.51
Kredyty i pożyczki,,-68.06,662.76,-8.23,0.0,-100.0,,,,-81.14,-100.0,,470.82,-2.35,-99.73,-27.27,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-85.44,-36.84,-62.5,-100.0,,,,,-79.63,790.91,246.94,1274.12,30.44,9.96,-13.07,34.51
Inne zobowiązania długoterminowe,,-93.75,4633.33,-44.37,258.23,95.41,145.03,-66.42,429.23,-69.89,4.69,-0.66,33.02,-35.29,56.24,47.83,-7.27
Zobowiązania krótkoterminowe,,0.14,8.0,-8.48,24.5,-17.3,59.17,43.64,34.55,-2.53,60.58,3.67,53.38,-27.5,-11.15,16.52,13.72
Inne zobowiązania krótkoterminowe,,0.96,-54.48,82.09,231.31,-5.2,-45.35,-18.82,263.76,-28.98,292.62,-15.26,7.92,-36.63,-15.41,45.02,25.25
