,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,80.43,15.89,-23.49,9.79,18.47,2.57,6.17,4.01,0.74,-18.54,-22.1,-16.88,39.82,46.73,45.68,8.11,33.05
Techniczny koszt wytworzenia produkcji sprzedanej,,79.86,13.57,-22.77,14.13,17.36,2.27,7.26,3.84,1.23,-17.74,-22.44,-18.38,40.68,47.35,45.64,7.95,32.66
Koszty sprzedaży,,79.18,44.87,-18.78,-21.5,-14.49,4.52,-15.32,1.17,-14.89,-10.24,-7.92,-7.26,24.67,34.79,36.38,-4.1,65.91
Koszty ogólnego zarządu,,236.23,2.08,-2.58,-19.65,-0.88,1.57,4.78,-2.78,1.43,4.45,-6.01,12.91,4.46,10.79,17.3,12.39,11.54
Zysk ze sprzedaży,,53.58,84.4,-143.01,-190.2,195.33,19.34,1.92,26.92,4.89,-85.56,-106.12,3330.91,71.3,65.33,89.94,39.55,12.3
Pozostałe przychody operacyjne,,47.48,134.25,-49.25,48.13,-77.02,224.94,10.78,48.79,-28.08,30.76,-27.08,68.26,-76.0,83.27,17.19,-29.0,34.08
Pozostałe koszty operacyjne,,240.1,17.69,-36.02,27.66,-50.24,202.72,-8.9,48.1,-24.13,-46.47,11.26,68.1,-72.54,-12.38,15.47,-11.0,117.9
Zysk operacyjny (EBIT),,-83.47,1531.15,-122.24,-160.72,198.87,-28.46,52.63,18.12,14.5,-17.43,-85.32,426.24,10.55,122.86,71.48,24.37,4.49
Przychody finansowe,,231.62,-78.84,-71.17,-21.64,-35.66,427.5,-68.96,133.59,48.37,-87.0,1069.49,-15.89,-54.62,-87.97,795.79,34.9,1005.31
Koszty finansowe,,,,-59.25,-2.21,99.1,-66.22,151.92,-8.74,-22.08,10.05,-64.78,41.3,-31.65,174.61,-4.47,238.54,33.92
Pozostałe przychody (koszty),,,,,,-107.8,222.73,14.81,112.9,-586.36,100.0,,,,,,,
Zysk z działalności gospodarczej,,37.3,-31.82,-174.6,-79.68,115.84,214.92,-30.06,77.37,41.63,-39.5,-51.52,185.25,2.48,84.26,99.43,-4.24,46.79
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,37.3,-31.82,-174.6,-79.68,115.84,214.92,-30.06,77.37,41.63,-39.5,-51.52,185.25,2.48,84.26,99.43,-4.24,46.79
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,71.11,-54.09,-203.27,-66.6,111.6,208.12,-11.63,39.23,95.0,-40.54,-52.71,190.64,0.17,82.01,109.52,-7.85,48.81
Zysk netto akcjonariuszy jednostki dominującej,,71.86,-51.87,-196.1,-68.18,111.71,208.12,-11.63,39.23,95.0,-40.54,-52.71,190.64,0.17,82.01,109.52,-7.85,48.81
Aktywa trwałe,,29.21,8.06,6.49,10.78,-0.54,-1.35,0.49,-9.23,1.74,-4.98,-1.51,-2.22,-2.27,4.38,1.31,-1.2,6.57
Wartości niematerialne i prawne,,1.93,-0.47,-1.03,-0.2,0.03,0.01,-0.06,0.93,-0.47,-0.12,-0.14,-0.19,-0.03,1.56,-0.9,-0.64,0.02
Rzeczowe składniki majątku trwałego,,56.73,32.38,71.05,-3.82,-2.6,-1.3,-1.71,-2.91,-2.51,-5.35,-2.02,-3.84,4.27,-1.58,-0.95,-0.9,0.87
Należności długoterminowe,,,0.0,0.0,-100.0,,,,,,,,,,,,,
Inwestycje długoterminowe,,417.58,-0.34,-68.4,233.1,5.82,-0.31,0.76,-55.12,-27.05,0.0,0.0,-28.68,-3.14,-0.09,14.6,1.45,12.95
Pozostałe aktywa trwałe,,52.95,125.61,4.05,55.7,-10.95,-22.97,32.8,-12.14,127.85,-36.44,-13.09,15.9,-59.08,161.16,24.97,-8.04,79.23
Aktywa obrotowe,,53.48,-17.14,-22.71,23.75,-32.81,60.39,14.2,-12.31,30.86,-22.23,-35.61,5.07,7.33,61.79,42.13,4.79,25.04
Zapasy,,51.27,-0.38,-16.35,-12.75,-38.72,73.87,4.99,-21.1,39.45,18.49,-50.53,19.8,9.93,74.02,60.6,15.39,-9.44
Należności krótkoterminowe,,64.81,-21.65,-26.47,33.63,-21.92,25.17,36.07,-17.55,-23.21,4.89,-25.95,-7.48,18.33,58.55,30.36,-12.22,79.49
Inwestycje krótkoterminowe,,-15.51,-63.71,-66.97,791.26,-83.08,1150.63,-49.33,33.36,304.63,-77.43,-37.49,6.27,-2.13,37.42,36.1,49.88,-42.59
Środki pieniężne i inne aktywa pieniężne,,-15.05,-69.72,-60.42,791.26,-83.08,1150.63,-49.33,33.36,304.36,-77.62,-37.65,7.51,-2.13,37.42,36.1,49.88,-42.59
Pozostałe aktywa obrotowe,,171.06,-24.92,9.14,99.52,-47.5,35.53,38.48,57.54,61.1,-55.83,-1.13,33.55,-49.14,45.39,24.11,15.11,67.55
Aktywa trwałe przeznaczone do sprzedaży,,,,,-100.0,,,,,,,,,,,,,
Aktywa razem,,47.98,-12.15,-15.6,19.76,-23.64,37.54,10.56,-11.57,23.65,-18.72,-27.49,2.71,4.38,45.24,33.67,3.85,22.28
Kapitał własny akcjonariuszy jednostki dominującej,,74.88,1.55,-4.51,-1.18,0.97,1.93,0.38,2.37,2.77,-1.29,1.25,2.21,2.98,4.99,11.01,8.51,13.45
Kapitał (fundusz) podstawowy,,24.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,0.0,0.0
Kapitał (fundusz) zapasowy,,302989.99,33.73,-2.14,-5.86,0.0,-10.22,0.0,0.0,1.99,-0.08,6.03,0.34,8.37,9.51,-41.58,4.32,0.0
Udziały niekontrolujące,,12650.0,-83.14,323.26,-100.0,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-1.86,392.23,-8.25,42.07,-8.56,-0.24,-3.51,-55.72,234.88,-25.14,-40.63,13.87,-79.46,-22.42,-8.95,-22.75,14.91
Z tytułu dostaw i usług,,47.21,-12.77,-35.17,43.96,-50.66,104.56,-4.98,-37.69,151.81,-47.88,-84.98,59.55,79.35,152.39,119.59,-22.71,44.85
Kredyty i pożyczki,,-14.71,-73.21,46.88,152.75,-62.39,187.35,57.32,-9.62,-100.0,,-31.5,-35.6,-100.0,,-74.35,537.94,-37.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,613.01,-100.0,,,57.5,258.73,-20.35,-96.67,1133.33,109.46,-96.13,-100.0,,700.0,-50.0,-100.0,
Inne zobowiązania długoterminowe,,-1.86,392.23,-8.25,42.07,-8.56,-0.24,-3.51,-55.72,234.88,-25.14,-40.63,13.87,-79.46,-22.42,-8.95,-22.75,14.91
Zobowiązania krótkoterminowe,,29.91,-26.15,-29.78,54.77,-50.79,119.0,21.49,-22.48,44.48,-32.51,-60.78,3.67,13.16,155.34,59.13,0.27,29.74
Inne zobowiązania krótkoterminowe,,11.88,-61.97,-22.47,-72.79,414.94,122.43,248.12,12.68,28.63,-50.62,-3.24,11.65,25.18,31.05,28.88,-0.29,59.86
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,,,
Pasywa razem,,47.98,-12.15,-15.6,19.76,-23.64,37.54,10.56,-11.57,23.65,-18.72,-27.49,2.71,4.38,45.24,33.67,3.85,22.28
Przepływy pieniężne z działalności operacyjnej,,-293.17,141.74,-79.69,-115.15,1471.46,67.59,-343.05,115.47,2416.04,-180.5,103.7,109.41,133.53,-245.28,251.93,-150.86,203.94
Amortyzacja,,158.64,16.63,-16.51,-29.78,-14.66,-9.62,0.0,-3.37,10.74,-15.62,-20.9,6.04,-15.12,13.84,43.28,8.74,-32.27
Przepływy pieniężne z działalności inwestycyjnej,,-342.42,-5.75,-5.64,93.13,-71.35,-25.74,27.77,1037.18,-90.1,-165.95,90.27,12042.42,-104.87,-280.21,60.82,5.94,-162.45
