,0,1,2,3,4,5,6,7,8,9
Period,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,75.44,20.84,171.73,79.77,66.43,51.16,27.41,14.61,6.52
Techniczny koszt wytworzenia produkcji sprzedanej,,49.3,60.87,122.2,30.94,64.63,55.87,22.83,26.04,28.47
Koszty sprzedaży,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,
Zysk ze sprzedaży,,103.38,-10.58,241.64,124.6,67.39,48.68,29.94,8.65,-6.76
Pozostałe przychody operacyjne,,-3.57,59.26,23.26,377.36,-1.58,55.42,347.29,-67.07,425.96
Pozostałe koszty operacyjne,,43.22,298.82,106.82,14.42,121.76,178.74,41.31,-42.69,46.73
Zysk operacyjny (EBIT),,104.52,-17.46,255.12,132.38,65.31,43.13,30.03,12.45,-7.81
Przychody finansowe,,17.95,94.57,320.11,334.97,-26.99,304.94,-31.71,35.01,110.76
Koszty finansowe,,50.0,-16.67,13240.0,-92.88,125.26,329.44,125.79,1453.3,26.42
Pozostałe przychody (koszty),,,,-4840.0,5932.49,76.71,482.08,-97.99,-150.7,-173.15
Zysk z działalności gospodarczej,,102.79,-16.0,232.02,223.89,63.06,146.58,-40.18,-8.1,-9.89
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,
Zysk przed opodatkowaniem,,102.79,-16.0,232.02,223.89,63.06,146.58,-40.18,-8.1,-9.89
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,
Zysk netto,,102.91,-8.64,209.84,226.22,77.71,136.32,-35.24,-7.89,-7.89
Zysk netto akcjonariuszy jednostki dominującej,,95.92,-5.12,179.12,198.1,84.8,130.11,-36.41,-11.66,-4.98
Aktywa trwałe,,-3.12,350.81,82.75,375.94,102.6,309.53,7.99,-16.12,-25.83
Wartości niematerialne i prawne,,-3.4,195.96,36.46,-9.05,27.22,16.43,0.32,12.62,-4.12
Rzeczowe składniki majątku trwałego,,25.0,910.0,6.6,-73.07,124.14,31.28,797.66,75.2,-13.29
Należności długoterminowe,,,,,,,,,-100.0,
Inwestycje długoterminowe,,,,193.56,973.54,110.16,326.01,7.48,-19.7,-27.95
Pozostałe aktywa trwałe,,-22.22,419.05,299.08,-75.86,0.0,981.9,-65.85,1179.38,20.95
Aktywa obrotowe,,86.73,210.7,43.24,36.13,66.73,58.02,37.93,6.08,6.26
Zapasy,,61.3,48.08,44.89,3.83,42.82,21.49,56.33,52.5,36.12
Należności krótkoterminowe,,-26.87,148.42,93.78,42.23,213.82,44.76,-2.6,47.82,-0.09
Inwestycje krótkoterminowe,,255.58,411.44,34.19,47.53,41.47,83.62,45.97,-9.0,-0.58
Środki pieniężne i inne aktywa pieniężne,,255.58,411.44,34.19,47.53,41.47,83.62,22.58,-36.95,-2.18
Pozostałe aktywa obrotowe,,,-90.54,5471.43,-15.73,741.68,-89.63,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,
Aktywa razem,,80.51,215.9,45.33,58.76,73.89,116.51,24.76,-2.37,-4.23
Kapitał własny akcjonariuszy jednostki dominującej,,94.82,251.1,34.25,50.54,79.7,103.64,22.94,-4.07,-4.35
Kapitał (fundusz) podstawowy,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,
Kapitał (fundusz) zapasowy,,80.39,685.9,15.04,8.23,18.22,56.17,-65.58,0.0,0.0
Udziały niekontrolujące,,141.53,40.35,197.26,194.22,49.88,141.53,37.56,3.12,-7.81
Zobowiązania długoterminowe,,-78.65,2248.33,-95.32,3950.0,151.96,442.05,11.07,3.11,-16.75
Z tytułu dostaw i usług,,-1.22,135.8,474.35,21.06,101.2,26.98,249.54,-9.93,44.55
Kredyty i pożyczki,,,-100.0,,-86.48,-100.0,,,1338.46,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,12.39,25.72
Inne zobowiązania długoterminowe,,-78.65,-88.33,842.86,3950.0,151.96,442.05,11.07,-2.26,-16.49
Zobowiązania krótkoterminowe,,15.76,-16.68,382.23,-14.99,3.77,19.37,83.26,4.06,63.32
Inne zobowiązania krótkoterminowe,,9.84,-20.01,165.53,26.19,-21.59,12.59,-94.41,683.6,249.63
Rozliczenia międzyokresowe,,,,,,,,,,
Pasywa razem,,80.51,215.9,45.33,58.76,73.89,116.51,24.76,-2.37,-4.23
Przepływy pieniężne z działalności operacyjnej,,75.43,-132.11,1415.55,232.66,18.97,25.64,140.06,-9.82,7.3
Amortyzacja,,24.39,94.12,119.19,-22.12,215.98,28.46,-1.6,121.48,10.77
Przepływy pieniężne z działalności inwestycyjnej,,-32.26,-4524.39,22.15,79.81,-616.11,2144.47,-61.64,-358.34,71.28
CAPEX (niematerialne i rzeczowe),,13.89,865.85,-60.61,157.69,256.97,-40.63,34.15,1.75,-4.56
Przepływy pieniężne z działalności finansowej,,1324.12,1181.04,-91.38,-597.12,10.9,-27.53,-596.28,-47.65,3.2
Emisja akcji,,1270.59,-100.0,,,,,,-99.52,-100.0
Dywidenda,,,,,,35.15,223.3,88.31,18.75,-0.57
Przepływy pieniężne razem,,208.94,472.43,-57.5,86.55,28.73,185.24,-50.42,-300.64,54.08
