,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,1.28,68.67,36.3,84.47,2.99,40.28,12.94,-4.81,-15.35,12.13,30.17,-5.83,21.62,-31.95,9.32
Techniczny koszt wytworzenia produkcji sprzedanej,,-15.05,52.98,3.27,161.3,53.76,30.02,-10.24,32.93,-10.88,7.82,24.34,-7.84,24.81,-36.53,10.19
Koszty sprzedaży,,-22.78,-5.53,-11.59,148.74,112.79,37.82,3.17,45.15,22.69,34.12,12.17,18.34,-22.71,61.47,-48.8
Koszty ogólnego zarządu,,-30.54,23.59,66.92,40.5,37.17,52.54,7.87,-19.77,16.79,43.23,81.97,-47.56,57.12,24.67,13.92
Zysk ze sprzedaży,,676.27,151.18,104.57,6.32,-143.44,49.09,552.59,-186.95,-41.66,-8.49,-16.84,31.26,-29.89,-6.32,17.98
Pozostałe przychody operacyjne,,-21.13,81.55,-66.74,119.41,2029.7,10.14,-9.78,56.02,-24.03,25.76,-24.04,38.52,64.06,-56.44,-68.06
Pozostałe koszty operacyjne,,-33.9,37.48,236.12,22.71,84.24,-27.69,72.57,-52.19,-43.17,103.65,-34.63,-51.28,-0.12,-34.81,159.9
Zysk operacyjny (EBIT),,259.25,147.14,48.39,9.11,47.81,41.6,42.25,-15.86,-47.83,34.98,-57.3,227.36,83.57,-78.86,-171.76
Przychody finansowe,,,,,,,,,,,,,,,,
Koszty finansowe,,-60.88,-37.64,8.99,163.0,118.17,838.52,-82.48,-9.63,-59.06,-10.88,-29.59,-39.16,-60.12,-9.58,50.8
Pozostałe przychody (koszty),,-109.37,16.05,-8.58,34.94,100.0,,,,66.04,41.44,-37.81,-330.81,66.66,-263.68,64.54
Zysk z działalności gospodarczej,,-87.1,643.97,58.92,-2.92,36.52,-307.84,204.72,-47.66,-31.05,71.94,-71.24,295.03,167.89,-100.77,-3211.87
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-87.1,643.97,58.92,-2.92,36.52,-307.84,204.72,-47.66,-31.05,71.94,-71.24,295.03,167.89,-100.77,-3211.87
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,-88.41,854.81,35.3,-2.08,34.04,-313.48,133.0,66.62,-32.14,67.71,-73.24,328.76,168.18,-101.54,-1577.06
Zysk netto akcjonariuszy jednostki dominującej,,-88.41,829.02,41.5,-3.6,35.28,-311.12,134.88,58.03,-33.31,70.65,-72.71,320.46,170.2,-101.3,-1844.84
Aktywa trwałe,,24.32,9.75,45.33,54.65,32.81,-45.95,24.64,-15.05,1.88,-5.3,138.03,-11.15,55.87,-23.81,-2.84
Wartości niematerialne i prawne,,1315.23,27.29,1141.1,540.58,16.13,-51.83,-44.39,-24.34,-40.15,-22.31,-6.93,-37.06,-20.96,-45.55,-33.35
Rzeczowe składniki majątku trwałego,,24.0,8.27,31.47,35.67,36.35,-45.43,47.0,-13.51,5.59,-4.26,146.32,-10.7,57.29,-23.12,-2.91
Należności długoterminowe,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,21.62,27.33,126.97,11.43,37.82,-40.39,-38.46,-29.24,-19.42,-16.74,15.1,-21.65,-4.97,-97.07,487.95
Aktywa obrotowe,,30.68,-3.51,162.46,65.98,55.86,-36.12,-9.25,11.1,-11.82,41.95,-2.72,-0.81,64.9,-2.14,-26.53
Zapasy,,68.41,-4.9,259.57,41.8,112.68,-30.53,-19.14,-2.1,-6.04,76.48,-8.66,0.47,59.74,-6.75,-24.02
Należności krótkoterminowe,,-65.98,207.58,-55.87,54.89,458.78,-43.75,30.52,26.15,-25.57,-3.72,-96.3,-27.83,6095.91,63.8,-21.94
Inwestycje krótkoterminowe,,156.63,4209.19,518.43,-85.04,807.19,-78.71,147.09,-32.89,21.4,-30.51,33.53,243.57,73.12,-6.5,-41.76
Środki pieniężne i inne aktywa pieniężne,,156.63,4209.19,166.35,-65.26,807.19,-78.71,147.09,-32.89,21.4,-30.51,33.53,243.57,73.12,-6.5,-41.76
Pozostałe aktywa obrotowe,,34.5,-34.37,38.31,301.26,-64.94,-34.37,-1.46,120.67,-29.75,-43.86,143.59,-72.3,-99.4,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,26.47,5.12,82.9,59.87,43.82,-40.86,5.68,-2.49,-5.62,18.86,52.08,-7.11,59.63,-14.48,-14.52
Kapitał własny akcjonariuszy jednostki dominującej,,47.27,50.57,93.98,6.75,17.45,-79.33,149.35,16.01,31.47,25.41,11.62,2.96,49.66,-14.57,-15.6
Kapitał (fundusz) podstawowy,,-3.76,3.99,40.36,-9.3,-2.83,16.44,11.23,7.13,-12.24,8.0,1.01,-1.03,8.02,13.93,-10.6
Udziały (akcje) własne,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,21.04,182.28,-14.14,-5.75,14.08,140.38,-2.6,8.84,-4.5,-10.56,-0.32,0.36,18.21,8.93
Udziały niekontrolujące,,-2.13,-7.99,-36.87,-5.11,-20.57,-82.98,-355.92,-4.48,173.79,-5.7,-24.06,-41.42,-443.97,-6.81,-16.39
Zobowiązania długoterminowe,,5.65,5.45,65.18,153.76,3.32,60.69,-29.85,38.86,-55.34,-34.29,402.7,-5.12,92.32,-20.99,-21.32
Z tytułu dostaw i usług,,-22.76,-43.7,236.96,429.73,193.04,-7.98,-82.24,-31.15,-48.41,152.71,-5.02,-66.76,261.43,-3.32,-28.06
Kredyty i pożyczki,,-2.58,-82.18,160.64,305.36,151.45,-50.43,65.53,-47.8,7.79,26.29,3.53,-34.78,5.14,29.7,18.58
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,4.59,19.64,-10.52,-24.57
Inne zobowiązania długoterminowe,,50.46,-43.33,8.32,-13.05,1.36,3.31,61.89,-33.59,6.64,2.22,7.38,-33.05,43.65,-26.11,10.28
Zobowiązania krótkoterminowe,,14.91,-67.88,75.44,394.8,122.81,-36.17,-9.29,-44.67,3.84,40.51,23.12,-28.26,31.48,2.5,1.8
Inne zobowiązania krótkoterminowe,,456.2,-15.97,-14.95,606.89,55.89,-21.26,-63.81,-28.55,3.44,93.57,-30.0,-42.33,176.08,-36.24,-8.19
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,
Pasywa razem,,26.47,5.12,82.9,59.87,43.82,-40.86,5.68,-2.49,-5.62,18.86,52.08,-7.11,59.63,-14.48,-14.52
Przepływy pieniężne z działalności operacyjnej,,132.59,174.76,-194.82,194.86,-61.47,600.81,51.81,-8.82,-7.81,-6.13,94.03,9.66,20.84,-76.09,3.14
Amortyzacja,,-4.41,64.87,66.45,32.91,44.19,8.7,-39.34,113.65,-33.31,50.58,91.49,-15.03,29.7,-13.71,-23.23
Przepływy pieniężne z działalności inwestycyjnej,,-14.39,130.11,-1035.15,-206.77,66.99,-51.72,87.21,-80.6,17.72,0.95,-2.13,-23.94,-15.95,21.36,-231.5
CAPEX (niematerialne i rzeczowe),,-78.69,93.63,206.95,61.11,26.51,-74.45,-16.9,91.08,-19.71,8.56,27.12,7.31,3.36,-20.94,208.03
Przepływy pieniężne z działalności finansowej,,-87.16,-589.0,380.45,33.91,-34.24,-54.36,-319.33,0.31,8.42,0.19,-110.86,19.09,-43.93,82.73,3.49
Emisja akcji,,,,,-100.0,,,,,,-100.0,,,,,
Dywidenda,,,,,,,,,,,618.66,26.33,-57.83,377.04,-100.0,
Przepływy pieniężne razem,,19.48,5038.38,76.05,-190.91,578.4,-10.46,-20.73,-66.58,17.18,-53.68,122.98,387.71,-30.43,-76.32,-414.49
