,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,104.11,63.33,-0.94,200.8,-8.22,-49.58,160.38,1.61,-77.05,-3.15,325.19,-78.66,115.96,-3.09,129.36,-46.28,332.11
Techniczny koszt wytworzenia produkcji sprzedanej,,63.24,138.33,47.17,62.57,20.41,-30.05,90.53,34.65,-76.17,16.09,146.5,-67.6,69.36,-8.03,48.42,-59.73,580.66
Koszty sprzedaży,,400.89,156.23,17.2,1.76,2.62,-8.06,88.52,10.72,-65.09,30.34,192.38,-86.03,260.49,-57.37,183.0,-2.77,440.43
Koszty ogólnego zarządu,,105.72,47.91,-18.81,5.92,19.48,1.24,10.7,-15.77,52.13,-29.08,1.81,-3.78,-1.36,-5.63,41.14,111.38,5.24
Zysk ze sprzedaży,,86.59,-88.9,-1468.94,624.94,-41.84,-121.23,629.64,-77.11,-258.29,-38.25,237.8,-127.97,81.38,1004.82,418.45,-79.68,291.8
Pozostałe przychody operacyjne,,-47.2,230.46,45.49,45.45,-36.65,-50.82,257.14,-44.17,158.38,-63.07,163.1,-89.92,2748.8,-71.83,-7.28,-94.82,-962.5
Pozostałe koszty operacyjne,,78.55,185.75,360.9,-48.97,-66.4,955.91,-40.05,-61.65,-56.56,49.21,138.33,192.81,-84.28,-75.84,317.21,-73.4,70.32
Zysk operacyjny (EBIT),,72.2,-124.3,-1463.49,314.58,-38.22,-201.47,173.53,-84.7,-473.33,-59.4,188.6,-276.02,104.68,733.72,361.3,-80.58,302.72
Przychody finansowe,,26.92,3153.54,-92.74,-79.49,3120.83,-71.41,-75.79,257.01,182.98,-31.27,-94.48,1900.0,-98.78,1310.0,1873.76,44.13,-100.0
Koszty finansowe,,40.0,279.06,-42.04,89.69,-78.84,565.64,-23.33,-73.78,-69.73,58.62,608.7,-76.13,115.42,-59.67,-31.66,92.21,1072.3
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,74.81,-82.94,-2602.26,296.16,-31.45,-204.77,160.06,-83.52,-448.53,-71.54,180.4,-297.29,101.0,3795.89,401.86,-73.41,130.84
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,74.81,-82.94,-2602.26,296.16,-31.45,-204.77,160.06,-83.52,-448.53,-71.54,180.4,-297.29,101.0,3795.89,401.86,-73.41,130.84
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,94.04,-4.57,-519.49,298.3,-37.07,-216.97,250.11,-92.99,-477.16,-106.62,133.58,-516.08,87.32,346.68,440.27,-77.64,68.71
Zysk netto akcjonariuszy jednostki dominującej,,94.04,-4.57,-519.49,298.3,-37.07,-216.97,250.11,-92.99,-477.16,-106.62,133.58,-516.08,87.32,341.88,428.93,-77.73,59.19
Aktywa trwałe,,707.41,114.29,-15.72,12.22,71.42,55.96,52.03,-16.47,25.26,17.16,-5.45,-8.01,-14.37,10.98,31.29,74.59,18.34
Wartości niematerialne i prawne,,854.99,92.95,-31.26,27.68,91.16,52.04,14.87,-31.22,52.56,29.07,-10.97,-0.97,4.87,7.59,37.25,87.8,10.96
Rzeczowe składniki majątku trwałego,,111.16,212.56,-58.35,-25.38,214.06,2.89,38.04,-34.32,-24.85,-5.56,-0.44,18.62,39.34,358.65,-10.92,-20.11,-26.03
Należności długoterminowe,,,,,,,,,,,,,,,,,,12.08
