,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,106.45,10.39,15.03,11.99,5.08,16.56,-0.11,5.56,-5.2,39.14,29.86,-0.72,-5.72,40.39,16.32,14.27,18.37
Techniczny koszt wytworzenia produkcji sprzedanej,,108.91,9.33,8.1,11.35,12.27,24.54,-4.23,7.02,-3.88,45.39,26.92,-4.2,-0.92,49.82,12.95,14.63,19.66
Koszty sprzedaży,,124.52,30.18,8.56,0.69,35.54,-5.28,-6.14,8.9,-2.45,10.81,9.03,14.25,-1.26,19.45,7.36,-21.05,21.19
Koszty ogólnego zarządu,,26.19,-3.06,47.47,21.47,-6.58,23.21,7.97,10.77,-7.14,22.9,37.54,5.48,2.39,14.79,18.95,78.17,8.25
Zysk ze sprzedaży,,114.1,-13.77,84.55,31.18,-65.01,-1.24,99.12,-19.13,-28.12,74.31,119.57,3.79,-51.72,-10.3,132.86,28.05,11.33
Pozostałe przychody operacyjne,,-86.87,-54.14,-18.03,20.0,-76.67,614.29,30.0,-54.62,-45.76,1696.88,-64.35,11.71,-49.78,93.91,170.85,0.83,27.75
Pozostałe koszty operacyjne,,-46.1,309.21,-13.5,-45.85,5.26,96.96,52.65,-38.54,117.88,21.71,-23.69,39.24,-42.67,-4.01,14.04,-25.08,-10.57
Zysk operacyjny (EBIT),,68.96,-29.31,108.26,39.41,-68.02,-12.2,111.13,-15.54,-52.08,133.95,156.64,-0.16,-53.14,-9.82,158.88,31.92,12.93
Przychody finansowe,,194.29,231.07,-16.72,8.45,15.91,20.73,1.16,9.86,-48.64,-3.66,-21.94,-100.0,,-87.43,2837.5,-94.75,-100.0
Koszty finansowe,,115.48,-0.75,0.9,-27.2,72.07,165.75,-28.56,-50.09,-0.5,23.29,70.84,-25.42,-5.8,85.63,-57.51,503.47,29.73
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,65.29,-27.59,116.99,44.45,-72.15,-60.29,343.65,-2.41,-60.08,161.28,164.69,1.58,-56.02,-30.7,286.09,-0.43,6.87
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,65.29,-27.59,116.99,44.45,-72.15,-60.29,343.65,-2.41,-60.08,161.28,164.69,1.58,-56.02,-30.7,286.09,-0.43,6.87
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,67.86,10.91,42.05,45.21,-72.28,-60.74,349.5,-2.49,-60.42,160.01,168.58,1.46,-56.38,-31.68,292.27,-0.21,6.69
Zysk netto akcjonariuszy jednostki dominującej,,67.86,10.91,42.05,45.21,-72.28,-60.74,349.5,-2.49,-60.42,160.01,168.58,1.46,-56.38,-31.68,292.27,-0.21,6.69
Aktywa trwałe,,19.83,61.49,28.15,89.18,61.36,1.16,-5.75,-4.25,1.64,13.6,7.95,1.14,24.55,17.3,0.1,-1.69,7.69
Wartości niematerialne i prawne,,,-84.62,3150.0,-16.92,75.93,-56.84,17.07,-54.17,-86.36,866.67,-13.79,56.0,64.1,-17.19,18.87,415.87,11.38
Rzeczowe składniki majątku trwałego,,18.33,60.4,29.22,90.05,62.46,1.0,-5.57,-4.38,0.93,13.85,7.39,0.96,24.82,17.39,0.45,-2.24,7.1
Należności długoterminowe,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,150.0,143.75,-41.54,81.58,-32.37,71.43,-30.83,31.33,91.74,-7.18,51.29,7.84,9.0,15.51,-21.46,-3.83,49.5
Aktywa obrotowe,,18.45,11.52,15.03,33.03,3.02,10.43,-5.7,20.1,9.26,21.24,4.46,10.39,-0.23,16.7,52.05,32.3,-15.98
Zapasy,,112.81,82.99,7.55,54.2,12.35,-3.05,-7.76,25.49,4.22,-7.24,46.29,24.7,3.13,15.45,58.15,33.97,-23.28
Należności krótkoterminowe,,-65.15,67.08,-6.53,17.06,-3.23,47.19,-1.12,7.08,32.17,74.34,-40.03,-20.56,-15.46,22.58,32.87,19.67,25.88
Inwestycje krótkoterminowe,,35705.26,-97.84,1927.89,-30.56,-82.61,186.11,1.84,49.95,-71.01,33.11,139.54,-29.16,20.1,22.55,5.61,67.83,-21.99
Środki pieniężne i inne aktywa pieniężne,,35705.26,-97.84,1927.89,-30.56,-82.61,186.11,1.84,49.95,-71.01,33.11,139.54,-29.16,20.1,22.55,-30.41,119.43,-9.46
Pozostałe aktywa obrotowe,,225.33,-35.93,-28.14,-2.37,51.37,-1.41,-25.46,2.19,-11.76,-4.24,24.37,4.33,30.24,1.31,-5.18,62.96,14.71
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,
Aktywa razem,,18.71,20.76,18.27,48.07,22.97,6.27,-5.72,9.7,6.42,18.52,5.65,7.16,7.92,16.93,32.26,22.49,-10.5
Kapitał własny akcjonariuszy jednostki dominującej,,256.67,20.66,24.32,28.41,6.13,1.51,11.12,8.81,3.21,8.07,20.86,16.85,6.29,1.78,15.06,15.9,10.38
