,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,20.71,2.1,15.92,10.29,9.62,19.6,13.07,3.76,15.43,16.76,16.54,35.11,18.42
Techniczny koszt wytworzenia produkcji sprzedanej,,24.04,-0.66,17.08,7.23,8.33,24.61,11.59,0.17,18.64,9.1,15.66,39.21,12.94
Koszty sprzedaży,,37.28,-5.92,24.52,13.26,23.91,8.07,3.01,13.5,-3.5,9.97,20.68,28.0,73.18
Koszty ogólnego zarządu,,1.64,2.84,24.11,24.53,-16.5,22.77,31.15,22.87,15.02,-0.32,58.69,9.3,66.87
Zysk ze sprzedaży,,-52.39,159.37,-25.48,58.72,11.89,-26.6,78.8,25.95,15.95,143.76,7.06,25.38,-11.78
Pozostałe przychody operacyjne,,5.99,-23.41,25.09,-42.44,204.83,-58.23,16.5,318.46,-65.56,65.42,-25.24,320.07,9.63
Pozostałe koszty operacyjne,,101.39,1.91,-29.31,231.66,-80.35,200.45,-32.08,574.42,-64.84,28.65,28.77,732.51,-86.66
Zysk operacyjny (EBIT),,-49.41,120.99,-18.49,24.78,49.05,-38.85,85.68,22.7,15.23,146.78,4.32,-0.54,25.22
Przychody finansowe,,-1.74,-51.06,117.39,47.67,20.99,-5.78,52.67,16.86,65.26,38.82,-9.72,119.51,571.97
Koszty finansowe,,22.34,39.79,-21.52,23.89,9.03,-1.45,11.84,64.38,29.85,-2.83,-2.17,73.43,88.45
Pozostałe przychody (koszty),,,,,,,,,,,,,396.16,-122.59
Zysk z działalności gospodarczej,,-68.84,201.0,-15.6,25.78,67.16,-49.69,129.02,10.24,10.21,219.82,5.74,-6.99,23.51
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-68.84,201.0,-15.6,25.78,67.16,-49.69,129.02,10.24,10.21,219.82,5.74,-6.99,23.51
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,-79.34,180.26,-13.78,25.37,71.47,-50.73,137.65,9.6,10.09,222.77,4.72,6.56,30.41
