,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,62.49,-27.06,32440.2,-101.81,-0.95,2.74,83.28,100.0,,5.7,-47.63,-72.17
Techniczny koszt wytworzenia produkcji sprzedanej,,29.58,-15.12,32587.67,-99.91,-1.17,209.26,-60.83,-73.92,3110.53,134.05,10.84,-94.47
Koszty sprzedaży,,,,,,,,,,,59.23,-31.21,-83.28
Koszty ogólnego zarządu,,,,,,,,,,,-22.81,4.99,-36.75
Zysk ze sprzedaży,,433.71,-96.97,8255.56,-1319.15,-0.85,-6.91,80.32,93.16,-3208.27,-194.57,-64.67,72.77
Pozostałe przychody operacyjne,,-55.15,26.23,-100.0,,575.0,103.7,-100.0,,18900.0,1974.47,-99.73,2914.29
Pozostałe koszty operacyjne,,-99.47,9900.0,-100.0,,-100.0,,-49.53,-22.22,10026.19,-15.28,426.56,-97.65
Zysk operacyjny (EBIT),,351.41,-103.92,81564.29,-181.66,1.01,-7.79,79.88,91.45,-4515.79,89.89,-4946.74,87.6
Przychody finansowe,,2288.89,-92.79,-100.0,,-97.03,900.0,1486.67,-100.0,,5279.57,-98.66,1485.07
Koszty finansowe,,-59.65,-28.1,-100.0,,45.45,29.17,1883.87,-98.62,20711.76,-27.47,-60.76,62.26
Pozostałe przychody (koszty),,-100.0,,,,,,,,,,,
Zysk z działalności gospodarczej,,170.27,-135.09,6436.11,-179.29,-2.38,-7.03,81.82,89.56,-5930.85,114.46,-2614.52,86.5
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,170.27,-135.09,6436.11,-179.29,-2.38,-7.03,81.82,89.56,-5930.85,114.46,-2614.52,86.5
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,166.88,-142.45,5162.78,-181.14,-2.39,-13.16,54.72,95.15,-6735.11,125.32,-1345.88,83.9
Zysk netto akcjonariuszy jednostki dominującej,,168.61,-142.45,5162.78,-181.14,-2.39,-13.16,54.72,95.15,-6735.11,125.32,-1335.65,84.52
Aktywa trwałe,,-5.75,213.87,-97.6,78.94,147.39,33.6,-100.0,,,-9.44,-76.01,51.44
Wartości niematerialne i prawne,,,,,,,,,,,-7.8,-96.99,1206.8
Rzeczowe składniki majątku trwałego,,22.74,-80.95,-100.0,,,,,,,-22.99,179.51,-88.16
Należności długoterminowe,,97.86,-2.89,-100.0,,-100.0,,-100.0,,,3.03,0.0,-100.0
Inwestycje długoterminowe,,-12.7,310.73,-97.55,9.59,-6.06,-100.0,,,,-60.94,-100.0,
Pozostałe aktywa trwałe,,-60.77,21.57,-93.55,5800.0,687.71,29.26,-100.0,,,-12.55,-65.24,-100.0
Aktywa obrotowe,,1.06,72.03,1988.08,-29.57,-39.77,-77.33,-98.31,-44.0,39714.29,6.4,-63.44,39.67
Zapasy,,,,,,,,,,,,,
Należności krótkoterminowe,,35.59,-53.36,-75.35,-62.26,120.0,104.55,-44.44,-54.0,44539.13,6.51,-61.6,42.53
Inwestycje krótkoterminowe,,-21.56,219.85,2347.57,-29.53,-39.91,-77.94,-100.0,,25200.0,-23.72,-64.51,-48.18
Środki pieniężne i inne aktywa pieniężne,,-51.16,1079.05,-97.66,651.72,-55.05,-55.1,-100.0,,25200.0,-23.72,-64.51,-48.18
Pozostałe aktywa obrotowe,,-50.0,0.0,-75.0,400.0,-80.0,-100.0,,,12400.0,44.0,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,-5.07,198.85,29.48,-27.68,-31.71,-60.02,-99.19,-44.0,195332.14,-6.22,-73.11,47.74
Kapitał własny akcjonariuszy jednostki dominującej,,19.11,585.16,52.37,-26.76,-37.51,-69.8,-101.44,-341.82,-11607.41,161.29,-192.19,-25.36
Kapitał (fundusz) podstawowy,,0.0,0.0,103.3,0.0,0.0,0.0,0.0,0.0,699.77,74.06,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,0.0,16.36,480.75,52.17,0.0,0.0,0.0,0.0,-100.0,,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,,43.18
Zobowiązania długoterminowe,,-16.94,-0.31,-80.16,-3.69,2.8,0.57,-85.88,-100.0,,-29.73,-74.82,50.4
Z tytułu dostaw i usług,,36.99,236.5,-100.0,,-81.25,-100.0,,,,334.72,19.47,65.18
Kredyty i pożyczki,,-55.37,985.4,-100.0,,-100.0,,,,,-98.02,1360.82,-55.79
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,-100.0,,,,-100.0,,
Zobowiązania z tytułu leasingu finansowego,,50.0,-100.0,,,,,,,,-96.76,-26.5,1.83
Inne zobowiązania długoterminowe,,,-100.0,,-35.58,-100.0,,-100.0,,,-49.1,-81.31,-0.55
Zobowiązania krótkoterminowe,,-2.75,22.95,-92.7,410.3,50.12,28.4,-99.63,4416.67,21443.91,-71.8,47.0,32.64
Inne zobowiązania krótkoterminowe,,3.74,-93.12,63.37,380.61,-95.84,4818.18,-99.63,4416.67,3911.07,-87.0,-6.37,11.64
Rozliczenia międzyokresowe,,-57.55,350.85,968.05,-68.07,-3.97,-94.72,-100.0,,,,,
Pasywa razem,,-5.07,198.85,29.48,-27.68,-31.71,-60.02,-99.19,-44.0,195332.14,-6.22,-73.11,47.74
Przepływy pieniężne z działalności operacyjnej,,428.23,33.89,-140.82,-0.56,-28.06,-91.76,54.98,68.09,564.57,-259.32,-1.81,-743.89
Amortyzacja,,65.71,-2.16,-37.44,-100.0,,,,,,32.7,8.78,-88.29
Przepływy pieniężne z działalności inwestycyjnej,,92.02,290.91,-66.17,17.04,-182.28,976.15,13.43,-100.0,,112.79,-177.42,-86.26
CAPEX (niematerialne i rzeczowe),,,,,,,,,,,-19.33,-60.25,-31.0
Przepływy pieniężne z działalności finansowej,,-122.35,74.23,347.55,10.45,20.46,-165.82,-202.58,113.86,15785.38,-110.54,239.15,307.3
Emisja akcji,,-100.0,,,,,,,,,,,
Dywidenda,,,,,,,,,,,,,
Przepływy pieniężne razem,,-890.91,1139.45,-88.44,44.27,-163.49,54.17,20.0,106.82,-73566.67,94.65,-111.86,73.6
