,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-25.31,-15.45,-25.1,-8.04,37.75,38.43,-19.19,-98.89,67.01,54.1,25.84,-55.49,135.92,-97.61,140256.25
Techniczny koszt wytworzenia produkcji sprzedanej,,-42.89,-59.78,68.51,1.87,63.51,43.73,-19.74,-99.41,18.18,-8.79,-9.64,-98.67,-100.0,,
Koszty sprzedaży,,,,,,,68.45,3.54,-100.0,,,,,,,
Koszty ogólnego zarządu,,0.76,-7.96,-43.08,-5.19,-37.28,10.98,-13.19,-32.08,-12.37,15.74,-9.69,-53.33,-24.03,-12.2,-100.0
Zysk ze sprzedaży,,23.39,162.31,-142.71,-125.51,-16.17,-55.79,-22.7,26.47,18.02,-8.04,18.33,54.52,82.82,-418.05,1220.75
Pozostałe przychody operacyjne,,62.27,498.91,-18.55,7.42,88.64,-71.55,-94.26,-100.0,,2250.0,-84.8,3278.0,-99.88,16350.0,-901.22
Pozostałe koszty operacyjne,,-52.82,467.51,-5.62,-4.89,-18.85,-64.0,38.03,-99.18,175.0,4454.55,-1.5,-84.3,907.74,23.82,-96.48
Zysk operacyjny (EBIT),,63.12,916.78,-42.43,-0.85,157.92,-88.3,-344.7,39.43,17.96,-42.33,4.28,128.8,-322.76,-35.5,318.74
Przychody finansowe,,-60.06,54.16,579.74,-88.1,-28.89,46.88,459.57,-7.05,-93.42,3931.64,-58.7,-44.38,-48.63,-57.6,-72.55
Koszty finansowe,,-93.8,421.32,20.87,196.62,130.72,-67.01,96.43,-6.21,354.59,-73.81,31.54,-98.46,1694.19,-98.77,4178.95
Pozostałe przychody (koszty),,-39.35,-49.89,120.54,-5470.34,67.6,91.4,-1230.88,100.0,,,,100.0,,,
Zysk z działalności gospodarczej,,70.86,729.14,3.88,-151.94,222.41,-100.75,-18219.05,57.93,-455.02,100.75,-4514.18,139.1,-203.5,18.3,319.99
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,70.86,729.14,3.88,-151.94,222.41,-100.75,-18219.05,57.93,-455.02,100.75,-4514.18,139.1,-203.5,18.3,319.99
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,80.66,1108.11,0.08,-153.77,217.21,-100.66,-22025.0,52.96,-376.01,99.99,-264150.0,141.85,-220.71,29.66,247.23
Zysk netto akcjonariuszy jednostki dominującej,,81.92,1196.63,9.0,-143.8,260.25,-96.23,-3640.0,52.96,-376.01,99.99,-265700.0,141.61,-220.71,29.66,247.23
Aktywa trwałe,,15.6,36.1,-14.09,8.09,1.81,5.54,-15.22,4.68,-55.15,-85.65,-32.79,229.18,-30.44,-75.47,457.38
Wartości niematerialne i prawne,,21.25,-7.91,-38.78,9.27,-25.21,-4.9,-34.8,-100.0,,,,,498.51,-100.0,
Rzeczowe składniki majątku trwałego,,-15.44,67.93,-75.34,-79.25,84.15,-24.63,-37.01,-75.62,-82.05,-14.29,-66.67,-100.0,,,78.6
