,0,1,2,3,4,5,6,7,8,9
Period,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,2.19,-31.9,57.3,126.85,-24.26,36.3,48.35,49.18,-31.38
Techniczny koszt wytworzenia produkcji sprzedanej,,-19.65,-41.69,82.9,163.28,-24.14,18.6,67.96,50.81,-34.04
Koszty sprzedaży,,,,646.67,-54.46,507.84,220.81,198.89,49.07,-10.78
Koszty ogólnego zarządu,,,,-35.67,47.1,37.36,42.31,14.47,-9.5,24.95
Zysk ze sprzedaży,,505.96,-92.94,586.28,-15.71,-167.09,325.39,-143.84,289.92,-149.23
Pozostałe przychody operacyjne,,-69.33,124.59,17.24,5.78,129.49,-53.62,120.09,50.68,-33.9
Pozostałe koszty operacyjne,,-89.23,385.77,38.36,-5.92,72.12,-52.42,131.92,140.55,-53.45
Zysk operacyjny (EBIT),,462.3,-80.62,157.8,-1.02,-28.95,125.61,-61.77,60.77,-56.63
Przychody finansowe,,444.44,-85.71,671.43,-35.19,-42.86,450.0,53.64,98.82,428.27
Koszty finansowe,,29.55,-8.36,81.77,23.41,4.65,-14.12,1.01,364.75,31.5
Pozostałe przychody (koszty),,,,,,,,,,
Zysk z działalności gospodarczej,,587.15,-84.57,184.05,-6.37,-38.2,191.95,-69.06,-71.96,-521.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,
Zysk przed opodatkowaniem,,587.15,-84.57,184.05,-6.37,-38.2,191.95,-69.06,-71.96,-521.12
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,
Zysk netto,,587.15,-84.57,184.0,-6.92,-38.69,193.65,-82.84,-87.69,-2259.53
Zysk netto akcjonariuszy jednostki dominującej,,587.15,-84.57,184.0,-6.92,-38.69,193.65,-82.84,-87.69,-2259.53
Aktywa trwałe,,162.29,4.95,43.53,15.29,30.64,26.46,34.17,3.42,68.93
Wartości niematerialne i prawne,,88.99,31.49,2.15,14.96,9.88,51.47,7.92,43.42,47.82
Rzeczowe składniki majątku trwałego,,170.83,3.17,47.72,15.6,31.63,24.65,36.19,1.51,70.45
Należności długoterminowe,,131.82,-4.1,13.94,-65.09,-20.09,933.33,2.15,-15.9,45.32
Inwestycje długoterminowe,,,,,,,,,,
Pozostałe aktywa trwałe,,-3.45,-25.0,-100.0,,227.35,-92.33,5.36,116.95,45.31
Aktywa obrotowe,,11.16,48.81,55.83,75.49,3.82,69.46,19.83,22.84,-16.72
Zapasy,,192.82,90.62,-26.46,37.03,31.89,297.98,50.8,15.21,-33.7
Należności krótkoterminowe,,1.35,53.6,92.95,48.26,-0.58,33.71,-0.17,35.78,-0.59
Inwestycje krótkoterminowe,,-29.44,-33.83,49.75,517.01,3.26,35.71,20.51,9.34,-23.44
Środki pieniężne i inne aktywa pieniężne,,-29.44,-33.83,49.75,516.84,3.29,35.71,20.51,9.34,-23.44
Pozostałe aktywa obrotowe,,29.7,-25.95,257.73,31.41,7.68,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,
Aktywa razem,,105.16,13.94,46.82,32.38,20.54,40.4,28.56,10.5,34.2
Kapitał własny akcjonariuszy jednostki dominującej,,164.19,9.75,45.94,109.62,3.39,86.56,1.28,0.14,35.18
Kapitał (fundusz) podstawowy,,0.0,0.0,9.2,29.35,0.0,12.92,1.63,0.0,13.83
Udziały (akcje) własne,,,,,,,,,,
Kapitał (fundusz) zapasowy,,56.59,134.78,27.85,155.03,9.17,35.82,0.0,-10.96,80.36
Udziały niekontrolujące,,,,,,,,,,
Zobowiązania długoterminowe,,193.95,7.63,44.88,3.06,54.85,2.77,54.24,-8.93,71.03
Z tytułu dostaw i usług,,-14.59,89.36,148.82,5.7,3.19,28.23,77.24,34.92,-5.38
Kredyty i pożyczki,,83.18,23.25,16.87,9.29,-4.67,97.33,11.13,107.8,4.21
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,13.51,-3.57,22.22,46.46,-7.41,232.96,129.31,-18.66,10.67
Inne zobowiązania długoterminowe,,119.31,8.16,56.33,26.36,25.23,12.69,28.9,-2.7,83.17
Zobowiązania krótkoterminowe,,16.8,29.23,50.39,7.09,3.31,38.57,51.89,55.51,0.63
Inne zobowiązania krótkoterminowe,,-10.01,-5.51,-29.08,3.29,34.46,-87.47,423.94,-15.01,54.19
Rozliczenia międzyokresowe,,,,,,,,,,
Pasywa razem,,105.16,13.94,46.82,32.38,20.54,40.4,28.56,10.5,34.2
Przepływy pieniężne z działalności operacyjnej,,439.45,-134.55,199.46,-242.54,-79.8,-190.03,146.57,1.13,-40.06
Amortyzacja,,72.93,41.97,33.38,12.69,21.2,18.84,88.24,47.35,-23.15
Przepływy pieniężne z działalności inwestycyjnej,,-356.39,85.62,-399.4,17.35,-51.93,-26.55,-12.96,17.18,-274.32
CAPEX (niematerialne i rzeczowe),,342.34,-84.85,377.86,-17.73,56.93,32.4,10.6,-21.77,280.75
Przepływy pieniężne z działalności finansowej,,231.01,-75.2,246.47,46.32,11.43,63.21,-35.32,-23.35,320.42
Emisja akcji,,,,,549.96,-100.0,,,,
Dywidenda,,,,,,,-100.0,,,
Przepływy pieniężne razem,,46.09,13.9,191.64,1455.77,-96.07,1021.16,-22.08,-45.1,-374.31
