,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,2526.0,5081.0,8052.0,14865.0,17316.0,22753.0,17655.0,17487.0,19698.0,30458.0,25690.0,38295.0,24883.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,2098.0,4409.0,6966.0,11185.0,14318.0,23293.0,19582.0,22426.0,18598.0,27851.0,29056.0,38326.0,26020.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,0.0,428.0,672.0,1086.0,3680.0,2998.0,-540.0,-1927.0,-4939.0,1100.0,2607.0,-3366.0,-31.0,-1137.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,81.0,310.0,182.0,4344.0,2944.0,779.0,697.0,1083.0,1455.0,1405.0,2914.0
Pozostałe koszty operacyjne,0.0,51.0,7.0,208.0,667.0,4204.0,390.0,219.0,266.0,37.0,697.0,12659.0,262.0,3950.0
Zysk operacyjny (EBIT),0.0,377.0,665.0,959.0,3323.0,-1024.0,3414.0,798.0,-4426.0,1760.0,2993.0,-14570.0,1112.0,-2173.0
Przychody finansowe,0.0,18.0,19.0,2.0,54.0,194.0,140.0,58.0,286.0,7.0,93.0,35.0,75.0,11.0
Koszty finansowe,0.0,23.0,82.0,49.0,66.0,124.0,209.0,1619.0,1142.0,1151.0,923.0,454.0,490.0,354.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,-224.0,-317.0,-267.0,-102.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,0.0,372.0,602.0,912.0,3311.0,-1178.0,3028.0,-1030.0,-5384.0,616.0,2163.0,-14989.0,697.0,-2516.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,0.0,372.0,602.0,912.0,3311.0,-1178.0,3028.0,-1030.0,-5384.0,616.0,2163.0,-14989.0,697.0,-2516.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,0.0,228.0,438.0,724.0,2646.0,7587.0,2996.0,-6516.0,-5449.0,421.0,2094.0,-14856.0,690.0,-2521.0
Zysk netto akcjonariuszy jednostki dominującej,0.0,228.0,438.0,724.0,2646.0,7587.0,2996.0,-6516.0,-5449.0,421.0,2094.0,-14856.0,690.0,-2521.0
Aktywa trwałe,669.0,518.0,690.0,1295.0,3326.0,26347.0,33051.0,31333.0,31203.0,33178.0,32133.0,15878.0,12783.0,10601.0
Wartości niematerialne i prawne,450.0,355.0,308.0,214.0,469.0,15162.0,22300.0,26857.0,30524.0,32278.0,31291.0,15015.0,12150.0,10245.0
Rzeczowe składniki majątku trwałego,219.0,163.0,344.0,450.0,411.0,947.0,915.0,528.0,265.0,575.0,699.0,683.0,470.0,197.0
Należności długoterminowe,0.0,0.0,0.0,45.0,45.0,62.0,60.0,66.0,62.0,62.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,558.0,558.0,637.0,320.0,52.0,97.0,5.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,38.0,28.0,1843.0,9539.0,9456.0,3830.0,255.0,258.0,143.0,180.0,163.0,159.0
Aktywa obrotowe,1117.0,1614.0,5009.0,5355.0,9372.0,13225.0,8386.0,10733.0,3483.0,6160.0,11321.0,7689.0,6563.0,3306.0
Zapasy,831.0,709.0,2748.0,3934.0,5206.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,286.0,758.0,1967.0,1045.0,2489.0,2712.0,1966.0,1931.0,1174.0,2390.0,2895.0,4151.0,4256.0,2552.0
Inwestycje krótkoterminowe,0.0,113.0,189.0,371.0,1672.0,10318.0,5585.0,8201.0,1813.0,2640.0,7991.0,3053.0,1687.0,682.0
Środki pieniężne i inne aktywa pieniężne,0.0,113.0,189.0,371.0,1672.0,10192.0,5585.0,8201.0,1813.0,2640.0,7991.0,3053.0,1687.0,682.0
Pozostałe aktywa obrotowe,0.0,34.0,105.0,5.0,5.0,162.0,835.0,601.0,496.0,208.0,435.0,485.0,620.0,72.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922.0,0.0,0.0,0.0,0.0
Aktywa razem,1786.0,2132.0,5699.0,6650.0,12698.0,39572.0,41437.0,42066.0,34686.0,39338.0,43454.0,23567.0,19346.0,13907.0
Kapitał własny akcjonariuszy jednostki dominującej,1650.0,1938.0,5052.0,5650.0,8297.0,20817.0,24587.0,19286.0,15693.0,16385.0,21480.0,6623.0,7314.0,4804.0
Kapitał (fundusz) podstawowy,1650.0,1650.0,2530.0,2530.0,2530.0,2795.0,2795.0,2827.0,2974.0,2974.0,3229.0,3229.0,3229.0,3229.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,-5.0,-7.0,-6.0,-10.0,-11.0,-11.0,-12.0,-12.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,2083.0,2522.0,3245.0,11050.0,14733.0,20858.0,17124.0,10885.0,16216.0,18264.0,3406.0,4097.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,102.0,639.0,5638.0,6397.0,14351.0,15258.0,9681.0,12788.0,7635.0,3904.0,1631.0
Z tytułu dostaw i usług,1.0,18.0,202.0,434.0,806.0,1402.0,628.0,702.0,221.0,1299.0,2311.0,3027.0,2816.0,2314.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,333.0,958.0,2706.0,2740.0,1070.0,0.0,0.0,0.0,0.0,2650.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,120.0,10570.0,4855.0,3584.0,2506.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,123.0,239.0,445.0,405.0,321.0,240.0,282.0,174.0,174.0,51.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,2774.0,1830.0,2806.0,4959.0,7400.0,6381.0,4943.0,3853.0,1631.0
Zobowiązania krótkoterminowe,136.0,117.0,623.0,877.0,2141.0,13117.0,10453.0,8429.0,3735.0,13272.0,9186.0,9309.0,8128.0,7472.0
Inne zobowiązania krótkoterminowe,135.0,99.0,421.0,443.0,879.0,10518.0,6674.0,4455.0,2003.0,1163.0,1738.0,2524.0,2632.0,2457.0
Rozliczenia międzyokresowe,0.0,77.0,24.0,21.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1786.0,2132.0,5699.0,6650.0,12698.0,39572.0,41437.0,42066.0,34686.0,39338.0,43454.0,23567.0,19346.0,13907.0
Przepływy pieniężne z działalności operacyjnej,0.0,114.0,-2357.0,746.0,-149.0,5630.0,2798.0,3138.0,4612.0,4262.0,6311.0,2038.0,-891.0,3043.0
Amortyzacja,0.0,205.0,424.0,282.0,545.0,2384.0,4018.0,4215.0,6320.0,4861.0,4396.0,6014.0,3873.0,3397.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-60.0,-303.0,-355.0,-878.0,-9993.0,-10865.0,-8297.0,-9706.0,-6680.0,-1967.0,-1673.0,3561.0,-3931.0
CAPEX (niematerialne i rzeczowe),0.0,60.0,317.0,52.0,866.0,10106.0,10632.0,8385.0,9735.0,6760.0,3220.0,1763.0,794.0,3946.0
Przepływy pieniężne z działalności finansowej,0.0,60.0,2735.0,-209.0,2015.0,12999.0,3460.0,7775.0,-1294.0,3245.0,1007.0,-5303.0,-4035.0,-117.0
Emisja akcji,0.0,60.0,2735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,0.0,114.0,75.0,182.0,988.0,8636.0,-4607.0,2616.0,-6388.0,827.0,5351.0,-4938.0,-1365.0,-1005.0
