,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,,104.12,69.33,74.46,60.49,43.79,17.27,22.22,19.73,36.79,24.3,41.89
Techniczny koszt wytworzenia produkcji sprzedanej,,,182.54,71.25,71.27,69.29,36.62,22.14,25.01,-2.67,59.83,15.13,44.26
Koszty sprzedaży,,,167.37,131.1,49.69,114.57,21.27,4.87,45.49,89.24,59.65,39.66,36.96
Koszty ogólnego zarządu,,,-14.22,153.8,-13.65,87.36,12.4,51.4,54.8,15.02,5.63,39.78,36.8
Zysk ze sprzedaży,,,122.14,52.65,96.6,50.08,52.64,15.04,15.37,15.81,30.78,20.39,43.66
Pozostałe przychody operacyjne,,,-80.0,23000.0,-94.37,0.0,46.15,0.0,-26.32,-7.14,130.77,303.33,46.28
Pozostałe koszty operacyjne,,,91.43,-98.66,988.89,-97.96,-50.0,600.0,185.71,210.0,87.1,857.76,-91.63
Zysk operacyjny (EBIT),,,125.23,70.19,92.27,50.68,52.65,15.02,15.34,15.75,30.75,19.56,44.84
Przychody finansowe,,,1375.0,1.69,91.67,44.35,-24.7,5.6,59.09,-67.14,-92.75,-80.0,1700.0
Koszty finansowe,,,150.0,10.0,1400.0,-73.33,-84.09,21528.57,-100.0,,-87.72,792.86,244.8
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,126.79,69.71,91.08,51.53,52.45,12.18,18.35,15.34,30.81,19.46,44.66
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,126.79,69.71,91.08,51.53,52.45,12.18,18.35,15.34,30.81,19.46,44.66
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,,136.27,71.35,91.31,51.28,52.88,12.55,18.51,32.97,31.58,18.83,44.81
Zysk netto akcjonariuszy jednostki dominującej,,,136.27,71.35,91.31,51.28,52.88,12.55,18.51,32.97,31.58,18.83,44.81
Aktywa trwałe,,12.73,142.3,162.8,26.77,41.24,45.21,41.89,62.33,78.1,12.39,13.62,42.96
Wartości niematerialne i prawne,,-20.05,146.44,66.02,153.27,23.59,60.38,39.68,63.17,92.11,24.71,16.24,48.2
Rzeczowe składniki majątku trwałego,,149.21,136.94,2.42,-6.82,60.0,0.7,115.21,24.29,182.42,-15.37,-11.62,-17.3
Należności długoterminowe,,,,,,12.77,-24.53,370.0,-21.28,22.97,0.0,6.59,3.61
Inwestycje długoterminowe,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,131.43,1767.9,-68.8,144.28,20.64,11.93,97.94,-33.81,-87.94,41.87,45.85
Aktywa obrotowe,,296.98,134.49,38.5,76.91,52.81,48.81,-5.74,15.45,27.02,56.08,12.18,43.38
Zapasy,,,,,,,,,,,,,
