,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-8.84,11.37,18.88,13.05,7.58,-1.25,-1.28,10.89,5.15,22.12,-6.21,-16.82,11.38,31.1,-3.86
Techniczny koszt wytworzenia produkcji sprzedanej,,1.11,17.12,17.05,17.02,6.36,-1.03,-6.8,11.79,4.81,19.8,-5.01,-17.11,18.52,32.66,1.43
Koszty sprzedaży,,10.79,35.12,22.85,14.07,26.55,13.16,2.35,9.63,10.55,22.02,-11.3,-7.56,22.06,-8.33,6.14
Koszty ogólnego zarządu,,-6.02,75.6,17.65,-0.68,3.1,-3.33,-3.47,21.35,-0.68,17.48,4.26,1.48,0.92,23.03,-3.34
Zysk ze sprzedaży,,-29.07,-20.85,24.76,4.99,7.06,-7.56,20.14,5.18,5.93,31.53,-10.83,-26.93,-15.47,60.98,-31.15
Pozostałe przychody operacyjne,,2.24,187.88,-64.18,18.43,62.99,-17.9,-9.77,2.52,3.34,-14.89,62.62,76.76,-51.68,-28.86,53.22
Pozostałe koszty operacyjne,,-9.23,-72.69,-34.34,89.81,-56.53,-11.66,168.6,-42.14,33.45,168.96,-33.82,25.38,-70.47,402.9,-22.34
Zysk operacyjny (EBIT),,-29.42,-1.98,10.18,4.24,13.01,-8.52,15.65,6.37,5.33,25.77,-6.62,-20.56,-19.03,45.88,-27.49
Przychody finansowe,,19.17,0.1,-41.67,361.55,-81.66,142.69,15.9,-43.38,-94.86,1271.43,91.32,-34.94,-100.0,,873.14
Koszty finansowe,,-88.95,-87.9,132.45,91.74,-56.46,-80.2,1781.03,-54.17,208.0,10.91,-45.49,-56.61,186.14,37.11,157.79
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-2.55,2.24,7.45,10.76,6.1,-5.58,12.42,6.21,0.47,27.75,-4.08,-20.18,-22.83,47.54,-26.42
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-2.55,2.24,7.45,10.76,6.1,-5.58,12.42,6.21,0.47,27.75,-4.08,-20.18,-22.83,47.54,-26.42
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,-1.99,0.39,7.09,10.97,6.68,-4.96,12.62,5.55,1.64,27.07,-2.12,-19.08,-21.96,50.78,-21.67
Zysk netto akcjonariuszy jednostki dominującej,,-1.99,0.39,7.09,10.97,6.68,-4.96,12.62,5.55,1.64,27.07,-2.12,-19.08,-21.96,50.78,-21.67
Aktywa trwałe,,-5.4,8.27,48.6,16.32,26.9,4.88,-1.5,5.86,2.81,21.83,12.99,6.37,-2.38,-4.71,-6.64
Wartości niematerialne i prawne,,-15.06,123.65,28.19,15.81,58.61,50.89,40.61,41.45,13.15,49.48,6.32,-24.63,26.06,-16.88,-38.35
Rzeczowe składniki majątku trwałego,,-1.26,8.51,50.6,15.04,28.16,1.87,-3.69,1.77,3.3,22.44,15.39,8.93,-3.43,-4.96,-4.39
Należności długoterminowe,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,-100.0,,-49.27,531.97,10.77,101.7,-6.27,-58.07,7.09,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,,-49.71,-16.71,2.95,23.02,-9.55,15.36,38.91,10.71,-13.11,87.47,-30.83,-13.78,-13.05,43.41,-35.3
Aktywa obrotowe,,-9.78,-8.59,35.36,19.08,-17.12,0.44,25.26,-16.02,28.62,0.27,-4.37,21.44,12.94,12.15,14.87
