,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,81981.0,83467.0,93102.0,83679.0,11830.0,36650.0,38810.0,50812.0,35654.0,34772.0,30965.0,32180.0,20207.0,22238.0,21760.0,24379.0,33659.0,43312.0,47063.0
Techniczny koszt wytworzenia produkcji sprzedanej,74158.0,38886.0,44594.0,38553.0,9391.0,19047.0,23281.0,29785.0,18085.0,15571.0,18432.0,21155.0,14512.0,14617.0,14328.0,16387.0,23541.0,29554.0,30862.0
Koszty sprzedaży,0.0,18795.0,23819.0,25473.0,11855.0,6646.0,11842.0,16266.0,8945.0,8113.0,11485.0,12872.0,9631.0,8286.0,9327.0,7721.0,9043.0,10382.0,10637.0
Koszty ogólnego zarządu,0.0,22981.0,25548.0,26716.0,24481.0,9699.0,8899.0,12196.0,7834.0,7648.0,4246.0,4329.0,5419.0,3177.0,3797.0,3642.0,3961.0,4708.0,5216.0
Zysk ze sprzedaży,7823.0,2805.0,-859.0,-7063.0,-33897.0,1258.0,-5212.0,-7435.0,790.0,3440.0,-3198.0,-6176.0,-9355.0,-3842.0,-5692.0,-3371.0,-2886.0,-1332.0,348.0
Pozostałe przychody operacyjne,1683.0,18186.0,6308.0,2148.0,2074.0,11428.0,7484.0,4086.0,1512.0,1929.0,3656.0,1549.0,2275.0,820.0,466.0,793.0,190.0,1125.0,276.0
Pozostałe koszty operacyjne,2723.0,0.0,2582.0,3746.0,23438.0,3331.0,17958.0,8279.0,1439.0,2421.0,1758.0,5186.0,1257.0,1698.0,482.0,439.0,117.0,323.0,241.0
Zysk operacyjny (EBIT),6783.0,20991.0,2867.0,-8661.0,-55261.0,9355.0,-15686.0,-11628.0,863.0,2948.0,-1300.0,-9813.0,-8337.0,-4720.0,-5708.0,-3017.0,-2813.0,-530.0,383.0
Przychody finansowe,857.0,404.0,11166.0,1781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty finansowe,3895.0,5090.0,14335.0,5242.0,15197.0,6402.0,1962.0,3698.0,3767.0,3711.0,3588.0,3022.0,2200.0,667.0,421.0,475.0,829.0,832.0,1707.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-890.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3745.0,16305.0,-302.0,-12122.0,-70458.0,2953.0,-17648.0,-16216.0,-2904.0,-763.0,-3751.0,-12835.0,-10537.0,-5387.0,-6129.0,-3492.0,-3642.0,-1362.0,-1324.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3745.0,16305.0,-302.0,-12122.0,-70458.0,2953.0,-17648.0,-16216.0,-2904.0,-763.0,-3751.0,-12835.0,-10537.0,-5387.0,-6129.0,-3492.0,-3642.0,-1362.0,-1324.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2790.0,12306.0,-361.0,-9699.0,-69776.0,4636.0,-24900.0,-14553.0,-3267.0,-429.0,-3035.0,-15444.0,-11188.0,-4053.0,-2268.0,-4638.0,-4107.0,-2459.0,-1637.0
Zysk netto akcjonariuszy jednostki dominującej,2790.0,7394.0,-361.0,-9699.0,-69776.0,4636.0,-24900.0,-14553.0,-3267.0,-429.0,-3035.0,-15444.0,-11188.0,-4053.0,-2268.0,-4638.0,-4107.0,-2459.0,-1637.0
Aktywa trwałe,51617.0,60742.0,77761.0,86999.0,64471.0,53813.0,32529.0,51442.0,49669.0,53597.0,42932.0,40063.0,38601.0,39562.0,41592.0,39897.0,38534.0,38474.0,39150.0
Wartości niematerialne i prawne,18854.0,41713.0,51758.0,51081.0,44277.0,42144.0,27487.0,42716.0,42572.0,43959.0,35149.0,34609.0,34501.0,33517.0,33557.0,33558.0,33571.0,33562.0,33538.0
Rzeczowe składniki majątku trwałego,31313.0,16114.0,22318.0,19897.0,12349.0,2140.0,2249.0,3242.0,1934.0,1642.0,1464.0,1764.0,1078.0,1937.0,3039.0,2398.0,1695.0,2640.0,3464.0
Należności długoterminowe,0.0,486.0,0.0,0.0,166.0,135.0,136.0,148.0,191.0,203.0,147.0,205.0,208.0,149.0,84.0,79.0,85.0,92.0,175.0
Inwestycje długoterminowe,569.0,589.0,434.0,9283.0,0.0,5.0,5.0,0.0,0.0,2760.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Pozostałe aktywa trwałe,881.0,1840.0,3251.0,6738.0,7679.0,9389.0,2652.0,5336.0,4972.0,5033.0,6171.0,3485.0,2814.0,3959.0,4912.0,3862.0,3183.0,2180.0,1965.0
Aktywa obrotowe,55521.0,78058.0,88382.0,69105.0,22648.0,26357.0,18631.0,21487.0,15748.0,12652.0,15347.0,15522.0,10442.0,10940.0,12112.0,13416.0,18536.0,17739.0,20412.0
Zapasy,16455.0,18099.0,17316.0,15935.0,5626.0,6782.0,9016.0,8840.0,6460.0,6307.0,6723.0,7901.0,4548.0,5106.0,6082.0,6760.0,11832.0,13335.0,13487.0
Należności krótkoterminowe,38359.0,55161.0,59298.0,49111.0,13779.0,10029.0,9539.0,12046.0,8575.0,5119.0,6978.0,7325.0,4414.0,4078.0,4922.0,5703.0,6482.0,4376.0,6797.0
Inwestycje krótkoterminowe,196.0,612.0,9842.0,3170.0,607.0,240.0,76.0,601.0,713.0,1226.0,1646.0,296.0,1480.0,1756.0,1108.0,953.0,222.0,28.0,128.0
Środki pieniężne i inne aktywa pieniężne,196.0,612.0,9842.0,3170.0,127.0,240.0,76.0,601.0,713.0,1226.0,1646.0,296.0,1480.0,1756.0,1108.0,953.0,222.0,28.0,121.0
Pozostałe aktywa obrotowe,511.0,4186.0,1926.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,575.0,2636.0,9306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,107138.0,138800.0,166143.0,156104.0,87119.0,80170.0,51160.0,72929.0,65417.0,66249.0,58279.0,55585.0,49043.0,50502.0,53704.0,53313.0,57070.0,56213.0,59562.0
Kapitał własny akcjonariuszy jednostki dominującej,43295.0,68786.0,84369.0,74291.0,8994.0,22749.0,14678.0,8959.0,19191.0,17944.0,14994.0,5250.0,14360.0,22448.0,21904.0,20452.0,21491.0,22056.0,21629.0
Kapitał (fundusz) podstawowy,29549.0,29549.0,45235.0,45235.0,45235.0,54690.0,74657.0,23931.0,24337.0,24337.0,27337.0,34537.0,34537.0,45000.0,43745.0,42120.0,41150.0,38000.0,41500.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,36953.0,37210.0,31355.0,0.0,1003.0,11955.0,11955.0,11955.0,9564.0,0.0,20298.0,0.0,0.0,0.0,2850.0,3375.0,3585.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,9311.0,5953.0,12407.0,35156.0,13652.0,4058.0,7714.0,21161.0,16743.0,21382.0,26934.0,21785.0,16112.0,16445.0,23508.0,16420.0,21667.0,20840.0,5911.0
Z tytułu dostaw i usług,0.0,0.0,0.0,0.0,20883.0,15041.0,12615.0,19106.0,10562.0,8821.0,13701.0,16727.0,6221.0,5686.0,7539.0,7878.0,11585.0,10919.0,12098.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,26819.0,29249.0,9163.0,7385.0,3475.0,356.0,29.0,1562.0,9234.0,5592.0,1.0,196.0,1672.0,1664.0,19275.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,5885.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,12699.0,8863.0,422.0,12875.0,15089.0,17320.0,2244.0,5882.0,2853.0,195.0,622.0,8171.0,493.0,559.0,387.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,3202.0,3210.0,3739.0,7951.0,7983.0,7979.0,6829.0,6592.0,6573.0,6385.0,3475.0,3563.0,3657.0,3752.0,3853.0
Zobowiązania krótkoterminowe,50875.0,61050.0,65321.0,39903.0,64473.0,53363.0,28768.0,42809.0,29483.0,26923.0,16351.0,28550.0,18571.0,11609.0,8292.0,16441.0,13912.0,13317.0,32022.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,0.0,4072.0,210.0,683.0,3443.0,357.0,426.0,377.0,4379.0,263.0,136.0,130.0,196.0,162.0,175.0,262.0
Rozliczenia międzyokresowe,3657.0,3011.0,4046.0,6754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,107138.0,138800.0,166143.0,156104.0,87119.0,80170.0,51160.0,72929.0,65417.0,66249.0,58279.0,55585.0,49043.0,50502.0,53704.0,53313.0,57070.0,56213.0,59562.0
Przepływy pieniężne z działalności operacyjnej,-1353.0,-27159.0,-9255.0,4414.0,-1597.0,-3870.0,-2067.0,-7190.0,-2260.0,-1084.0,3756.0,-2873.0,-14139.0,-4201.0,-4994.0,-2904.0,-4022.0,-594.0,-243.0
Amortyzacja,3504.0,3218.0,3320.0,3708.0,2960.0,946.0,604.0,859.0,803.0,797.0,525.0,824.0,707.0,593.0,879.0,1072.0,995.0,1006.0,1156.0
Przepływy pieniężne z działalności inwestycyjnej,-1140.0,24566.0,-35246.0,-18191.0,3020.0,13513.0,12619.0,5646.0,328.0,-664.0,1167.0,-413.0,-342.0,-302.0,-493.0,-186.0,-343.0,-222.0,-241.0
CAPEX (niematerialne i rzeczowe),1917.0,2608.0,16496.0,19148.0,2802.0,740.0,748.0,281.0,29.0,547.0,364.0,386.0,355.0,609.0,755.0,284.0,-363.0,718.0,330.0
Przepływy pieniężne z działalności finansowej,2340.0,3026.0,45132.0,15705.0,-4466.0,-9530.0,-11939.0,2069.0,2093.0,1253.0,4017.0,1936.0,15665.0,4778.0,4839.0,2936.0,3634.0,621.0,577.0
Emisja akcji,0.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3185.0,660.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-153.0,433.0,631.0,1928.0,-3043.0,113.0,-1387.0,525.0,161.0,-495.0,8940.0,-1350.0,1184.0,275.0,-648.0,-154.0,-731.0,-195.0,93.0
