,0,1,2,3,4,5,6,7,8
Period,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-73.92,-62.87,-38.7,751.38,107.99,87.3,117.68,33.99
Techniczny koszt wytworzenia produkcji sprzedanej,,-78.78,-80.17,-100.0,,9.0,41.88,8.42,9.97
Koszty sprzedaży,,61.52,323.29,28.17,2.38,-22.84,-2.15,47.12,-9.51
Koszty ogólnego zarządu,,241.42,-64.62,66.62,-24.46,-11.28,-12.13,-1.53,-28.24
Zysk ze sprzedaży,,-265.5,55.23,-58.67,1.02,15.6,7.89,22.08,46.65
Pozostałe przychody operacyjne,,7.13,108.25,206.71,-949.34,126.52,-2.78,-36.76,-4.22
Pozostałe koszty operacyjne,,283.89,331.99,-77.72,38.34,-70.15,138.79,1201.02,-76.59
Zysk operacyjny (EBIT),,-267.91,51.47,-44.01,-21.26,34.3,7.09,-3.07,55.88
Przychody finansowe,,-100.0,,245.59,32.58,705.86,-100.0,,
Koszty finansowe,,131.64,-84.43,-16.87,52.81,36.99,253.17,-38.41,-62.28
Pozostałe przychody (koszty),,,,,,,,,
Zysk z działalności gospodarczej,,-240.6,57.13,-39.86,-22.35,35.05,-24.18,8.28,57.05
Wynik zdarzeń nadzwyczajnych,,,,,,,,,
Zysk przed opodatkowaniem,,-240.6,57.13,-39.86,-22.35,35.05,-24.18,8.28,57.05
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,
Zysk netto,,-287.22,44.99,0.06,-41.97,33.9,-27.32,23.56,48.38
Zysk netto akcjonariuszy jednostki dominującej,,-287.22,44.99,0.78,-41.58,33.23,-27.32,23.56,48.38
Aktywa trwałe,,34.11,22.05,25.97,13.84,5.96,3.4,3.66,5.45
Wartości niematerialne i prawne,,31.65,35.4,20.7,13.07,8.24,4.52,0.25,7.33
Rzeczowe składniki majątku trwałego,,-40.7,66.6,-0.71,263.28,-58.0,19.2,7.29,0.69
Należności długoterminowe,,,,,,,,,
Inwestycje długoterminowe,,,11.06,-5.5,1.01,-1.03,-7.41,8.42,-10.6
Pozostałe aktywa trwałe,,64.63,-77.0,261.94,2.15,-9.08,-19.92,86.37,-18.64
Aktywa obrotowe,,1251.25,-77.03,210.3,-53.25,83.0,-42.12,-38.71,-22.99
Zapasy,,64.27,-9.46,-71.92,-30.07,-45.02,-56.79,8.42,34.09
Należności krótkoterminowe,,-32.72,4.33,33.95,71.09,-36.09,121.6,55.23,-33.74
Inwestycje krótkoterminowe,,2821.7,-80.32,253.59,-60.72,115.26,-51.68,-65.52,-9.49
Środki pieniężne i inne aktywa pieniężne,,1847.35,-70.47,253.59,-60.72,115.26,-51.68,-65.52,-9.49
Pozostałe aktywa obrotowe,,274.96,304.59,-1.53,98.76,-54.57,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,
Aktywa razem,,123.63,-21.98,50.08,-4.3,16.14,-6.08,-1.78,3.17
Kapitał własny akcjonariuszy jednostki dominującej,,171.86,-29.04,42.57,-27.11,15.81,9.78,-21.63,20.76
Kapitał (fundusz) podstawowy,,97.75,-8.52,26.31,1.45,16.28,25.32,10.16,-1.4
Udziały (akcje) własne,,,,,,,,,
Kapitał (fundusz) zapasowy,,185.95,-16.18,46.65,1.52,15.57,21.6,9.35,-2.14
Udziały niekontrolujące,,,,,-80.15,-100.0,,,
Zobowiązania długoterminowe,,-30.61,-32.14,-46.65,196.3,431.02,-86.86,419.79,18.78
Z tytułu dostaw i usług,,-67.95,135.62,-6.18,35.66,59.37,2.51,-4.79,8.72
Kredyty i pożyczki,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,-39.8,34.96,13.49,-48.84
Zobowiązania z tytułu leasingu finansowego,,,,,,-58.91,26.28,9.72,-24.44
Inne zobowiązania długoterminowe,,-30.61,-32.14,-46.65,196.3,-16.37,-16.54,-20.06,97.21
Zobowiązania krótkoterminowe,,-34.83,206.79,92.71,113.57,-28.31,16.41,11.95,-37.13
Inne zobowiązania krótkoterminowe,,-6.01,227.9,113.79,-50.79,-7.22,-17.95,16.07,-19.24
Rozliczenia międzyokresowe,,,,,,,,,
Pasywa razem,,123.63,-21.98,50.08,-4.3,16.14,-6.08,-1.78,3.17
Przepływy pieniężne z działalności operacyjnej,,-12.58,35.08,-191.22,26.03,62.95,-25.43,58.2,338.2
Amortyzacja,,-13.89,48.56,62.83,75.1,-6.13,29.38,6.89,-4.33
Przepływy pieniężne z działalności inwestycyjnej,,-56.46,69.42,-150.55,-29.43,36.53,0.51,-12.06,-15.06
CAPEX (niematerialne i rzeczowe),,-30.53,72.75,-0.28,29.43,-36.43,-0.67,14.98,12.14
Przepływy pieniężne z działalności finansowej,,132.44,-99.01,9823.26,-61.58,47.39,-74.64,35.27,2.1
Emisja akcji,,129.71,-97.33,3540.54,-98.47,2873.41,-62.36,-97.85,-100.0
Dywidenda,,,,,,,,,
Przepływy pieniężne razem,,5383.91,-156.92,234.85,-188.88,173.99,-210.51,40.15,100.52
