,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,88.0,3085.0,985.0,884.0,6.0,830.0,2733.0,0.0,0.0,0.0,0.0,0.0,56873.0,163982.0,151678.0
Techniczny koszt wytworzenia produkcji sprzedanej,475.0,2706.0,1985.0,1840.0,6.0,4221.0,3064.0,44219.0,43257.0,44931.0,40710.0,35726.0,20987.0,97995.0,37094.0
Koszty sprzedaży,0.0,0.0,225.0,165.0,186.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,816.0,1130.0,4051.0,1086.0,4972.0,13938.0,21322.0,21005.0,24207.0,20499.0,43584.0,43778.0,46421.0
Zysk ze sprzedaży,-387.0,379.0,-2041.0,-2251.0,-4237.0,-4786.0,-5303.0,-58157.0,-64579.0,-65936.0,-64917.0,-56225.0,-7698.0,22209.0,68163.0
Pozostałe przychody operacyjne,0.0,0.0,178.0,285.0,243.0,244.0,1320.0,2626.0,2203.0,2062.0,2155.0,1760.0,1372.0,7588.0,-11733.0
Pozostałe koszty operacyjne,3.0,2.0,5.0,397.0,12.0,27.0,97.0,0.0,0.0,751.0,510.0,188.0,3506.0,1582.0,1369.0
Zysk operacyjny (EBIT),-390.0,377.0,-1868.0,-2363.0,-4006.0,-4569.0,-4080.0,-55531.0,-62376.0,-64625.0,-63272.0,-54653.0,-9832.0,28215.0,55061.0
Przychody finansowe,24.0,147.0,677.0,202.0,219.0,184.0,29.0,44.0,6432.0,915.0,647.0,550.0,948.0,287.0,854.0
Koszty finansowe,32.0,18.0,77.0,13.0,91.0,69.0,472.0,339.0,1943.0,5160.0,1113.0,1669.0,1371.0,6462.0,6020.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-398.0,506.0,-1268.0,-2174.0,-3878.0,-4454.0,-4523.0,-55826.0,-57887.0,-68870.0,-63738.0,-55772.0,-10255.0,22040.0,49895.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-398.0,506.0,-1268.0,-2174.0,-3878.0,-4454.0,-4523.0,-55826.0,-57887.0,-68870.0,-63738.0,-55772.0,-10255.0,22040.0,49895.0
