,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,37.97,57.69,-0.5,33.44,59.91,-36.12,82.59,69.05,20.0,-0.47,27.01,-7.33
Techniczny koszt wytworzenia produkcji sprzedanej,,52.16,50.67,14.84,27.35,73.5,-64.5,243.08,76.53,17.58,-5.99,13.29,-9.88
Koszty sprzedaży,,196.97,83.12,14.55,-100.0,,,,29.93,15.81,79.08,-16.54,-3.76
Koszty ogólnego zarządu,,1.88,58.49,28.88,-100.0,,,,-4.19,-2.38,-12.45,22.41,-1.8
Zysk ze sprzedaży,,9.4,72.32,-54.04,284.49,30.9,44.19,-82.47,170.38,62.28,25.86,106.87,-2.21
Pozostałe przychody operacyjne,,31.24,-19.78,-26.68,192.25,52.54,-47.98,645.15,17.07,-112.63,62.61,772.39,-100.97
Pozostałe koszty operacyjne,,-4.76,72.54,312.38,-55.55,143.06,-51.42,116.3,-67.82,4.7,103.23,-58.17,164.8
Zysk operacyjny (EBIT),,13.35,59.45,-83.14,960.24,22.98,50.97,-67.28,131.76,-7.15,26.41,136.65,-9.59
Przychody finansowe,,233.17,-403.62,606.03,-136.86,-36.63,60.11,228.74,-38.38,12.95,-47.41,76.11,132.02
Koszty finansowe,,,,,,,,,-75.61,212.97,-86.62,72.41,-31.71
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,35.04,19.28,32.31,33.85,19.81,80.42,-72.95,200.27,-16.0,39.86,135.94,-6.26
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,35.04,19.28,32.31,33.85,19.81,80.42,-72.95,200.27,-16.0,39.86,135.94,-6.26
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,-377.23,91.03,100.0,
Zysk netto,,24.73,35.16,37.97,13.52,22.24,86.6,-83.39,155.85,-198.82,255.23,175.42,-5.78
Zysk netto akcjonariuszy jednostki dominującej,,24.73,31.0,27.53,19.33,28.62,89.56,-85.17,179.01,-179.66,292.57,179.87,-5.84
Aktywa trwałe,,42.41,1662.11,102.77,67.6,-12.6,73.73,55.59,-55.38,-24.31,-22.99,-15.19,-57.79
Wartości niematerialne i prawne,,98.73,61.78,2.36,32.31,11.34,52.74,-1.2,14126.3,-88.74,-18.45,13.52,-23.88
Rzeczowe składniki majątku trwałego,,92.96,85.27,-19.81,4.39,19.72,-22.88,29.49,421.74,21.21,-68.12,-3.86,-28.72
Należności długoterminowe,,33.33,167.59,8.3,15.97,-48.48,57.22,34.35,-100.0,,-52.92,-100.0,
Inwestycje długoterminowe,,25.67,3225.4,104.75,73.48,-17.75,86.61,56.31,-78.1,-31.12,-22.0,-18.67,-99.84
Pozostałe aktywa trwałe,,-32.17,852.17,267.66,-27.91,228.97,-67.93,21.8,831.98,12.89,-1.73,-3.01,-26.6
Aktywa obrotowe,,39.47,9.26,-12.88,-19.56,50.73,-44.34,45.85,542.73,0.06,-17.9,40.31,14.37
Zapasy,,33.38,-3.15,-8.94,-93.0,15.95,-89.6,-24.13,81540.77,7.18,-6.28,29.7,21.95
Należności krótkoterminowe,,16.73,1.76,21.96,417.09,26.99,-53.67,76.16,24.22,-14.85,-42.03,107.71,-23.48
Inwestycje krótkoterminowe,,86.46,10.77,29.78,69.12,116.41,-35.9,-11.55,574.67,-9.28,-40.63,85.12,5.48
Środki pieniężne i inne aktywa pieniężne,,30.56,-13.68,-12.71,-79.15,730.51,-19.43,-56.34,3658.08,-5.97,-26.42,119.56,0.62
Pozostałe aktywa obrotowe,,829.25,270.42,-73.63,53.17,85.37,2.78,79.63,14.88,-17.74,-42.68,-91.72,-22.25
Aktywa trwałe przeznaczone do sprzedaży,,,,-100.0,,,,,-100.0,,,,
Aktywa razem,,39.55,51.98,21.78,23.94,7.99,20.14,53.54,64.08,-5.24,-18.78,31.16,6.68
Kapitał własny akcjonariuszy jednostki dominującej,,39.12,41.17,33.48,33.91,12.41,39.89,34.97,-45.4,-21.27,45.69,82.5,-12.64
Kapitał (fundusz) podstawowy,,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,41.98,38.68,38.52,35.92,36.17,25.13,35.14,-99.99,-100.0,,,
Udziały niekontrolujące,,,669.94,2086.61,-73.0,-89.05,-101.97,-56.25,92944.0,-102.74,1026.77,-14.27,-45.09
Zobowiązania długoterminowe,,130.08,65.03,-6.3,-23.83,25.92,225.7,18.57,44.27,-63.97,-34.65,340.5,19.15
Z tytułu dostaw i usług,,70.75,163.52,-34.68,40.34,-25.3,-60.71,-48.78,1423.6,-12.22,-32.08,42.42,-28.49
Kredyty i pożyczki,,115.95,-24.03,55.49,46.8,-21.04,2.21,255.42,-39.28,14.57,43.85,-75.53,-3.05
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,34.93,-69.46,-100.0,
Zobowiązania z tytułu leasingu finansowego,,-97.89,2793.96,448.45,30.89,44.41,-99.52,19498.08,-97.77,1378.98,-62.59,65.68,20.57
Inne zobowiązania długoterminowe,,97.27,-0.85,2.63,30.16,192.73,-64.01,21.39,2157.1,2.87,-19.03,11.99,-33.55
Zobowiązania krótkoterminowe,,19.16,54.76,7.22,50.76,3.48,-50.12,161.33,225.37,20.11,-27.72,-12.15,13.96
Inne zobowiązania krótkoterminowe,,-19.52,60.69,-19.71,80.78,27.65,-46.83,16.14,902.85,20.03,-22.73,18.43,22.55
Rozliczenia międzyokresowe,,,,,,,,,,,,,
Pasywa razem,,39.55,51.98,21.78,23.94,7.99,20.14,53.54,64.08,-5.24,-18.78,31.16,6.68
Przepływy pieniężne z działalności operacyjnej,,-3763.38,417.06,-85.87,13.16,-117.18,-2474.35,-256.16,185.77,96.14,-20.33,-27.63,-13.75
Amortyzacja,,-22.1,60.88,13.37,29.36,36.27,4.49,-9.97,264.75,4.9,-1.69,-4.84,-1.56
