,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,42.09,61.09,48.47,29.49,13.14,-8.24,29.29,53.98,-16.13,-53.2,12.93,-98.58,734.31,157.74,69.72
Techniczny koszt wytworzenia produkcji sprzedanej,,14.44,54.88,56.96,66.74,33.34,-0.52,35.97,49.96,-5.83,-43.3,0.97,-90.37,64.28,-4.92,117.69
Koszty sprzedaży,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,180.0,73.75,33.04,-50.37,-132.3,-221.45,-90.7,-27.59,-63.31,9.19,20.25,69.73,14.72,192.53,-36.42
Pozostałe przychody operacyjne,,,3150.0,98.46,27.13,-30.49,-12.28,-57.0,10427.91,-92.42,-128.28,-425.77,108.04,-12.2,0.0,-5.56
Pozostałe koszty operacyjne,,-93.1,3850.0,49.37,8285.59,-97.71,137.44,1131.35,-86.23,412.47,2.52,-67.81,-95.08,-65.79,23.08,-46.88
Zysk operacyjny (EBIT),,201.89,72.5,34.58,-424.85,93.75,-235.8,-415.4,104.02,-2727.25,-0.74,39.31,79.69,18.05,193.88,-34.85
Przychody finansowe,,285.71,-59.26,272.73,1829.27,-35.4,-69.47,-58.33,227.69,-21.13,1.19,10.59,-5.32,-3.93,-92.4,61.54
Koszty finansowe,,75.0,157.14,94.44,17.14,439.02,-68.78,202.9,-62.2,3194.94,-89.2,85.41,-3.26,-79.37,25.96,-93.89
Pozostałe przychody (koszty),,,,,,,,-100.0,,,,,,,,
Zysk z działalności gospodarczej,,204.81,68.86,35.38,-395.32,96.91,-524.37,-524.63,105.4,-2510.58,18.66,36.6,75.55,39.99,187.86,-23.66
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,204.81,68.86,35.38,-395.32,96.91,-524.37,-524.63,105.4,-2510.58,18.66,36.6,75.55,39.99,187.86,-23.66
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,-100.0,,100.0,,
Zysk netto,,173.87,67.32,37.29,-468.88,97.35,-579.51,-555.64,104.86,-2876.35,20.09,36.78,13.47,83.04,187.86,-23.66
Zysk netto akcjonariuszy jednostki dominującej,,175.68,66.88,36.03,-471.21,97.35,-579.51,-557.29,104.49,-3095.38,20.85,37.14,12.02,83.04,187.86,-23.66
Aktywa trwałe,,148.06,50.53,57.67,-55.26,156.21,80.18,-8.91,27.29,-40.36,-69.19,-23.69,670.19,-0.5,0.0,0.0
Wartości niematerialne i prawne,,215.81,51.38,53.13,-78.26,371.98,4.59,54.03,57.59,-40.59,-72.02,-50.52,1317.08,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,,223.0,45.82,1.7,126.51,2.12,-51.99,-54.7,113.28,-19.46,-16.43,170.23,-91.55,-100.0,,
Należności długoterminowe,,,,,,,,,2273.33,-26.69,-62.84,-100.0,,,,
Inwestycje długoterminowe,,-100.0,,,6.64,12.67,1151.68,-59.09,-100.0,,,,,,,
Pozostałe aktywa trwałe,,-46.43,26.67,26.32,154.17,4.92,106.25,-52.27,323.81,-87.64,-100.0,,,,,
Aktywa obrotowe,,86.99,100.37,68.28,840.09,-29.47,-60.01,35.15,9.37,-55.9,-35.36,241.42,-83.31,36.01,-19.51,114.19
Zapasy,,,,,,,,,38.03,6.79,-19.28,128.46,-96.93,1002.83,-100.0,
Należności krótkoterminowe,,17.59,107.26,29.07,35.94,27.14,-12.66,61.48,-7.6,-30.07,-67.95,693.35,-94.85,-43.41,569.86,-22.09
Inwestycje krótkoterminowe,,-6.59,591.76,-71.09,9544.12,-32.44,-64.74,-5.71,7.17,-94.7,-89.95,3790.48,-3.92,-99.62,26366.67,19.14
Środki pieniężne i inne aktywa pieniężne,,-6.59,591.76,-71.09,9544.12,-32.44,-64.96,-5.75,-66.4,-82.99,-89.95,3790.48,-3.92,-99.62,26366.67,19.14
Pozostałe aktywa obrotowe,,11250.0,-90.75,4876.19,-94.16,-19.67,-34.69,275.0,-10.83,7.48,81.74,18.18,-38.46,129.61,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,
Aktywa razem,,134.57,59.3,60.02,153.26,-4.31,-9.15,3.45,20.72,-45.52,-60.1,91.72,86.04,2.04,-1.81,8.68
Kapitał własny akcjonariuszy jednostki dominującej,,173.81,60.55,61.69,162.06,-3.67,-8.76,-1.08,7.35,-66.04,-72.69,-411.14,420.19,-6.16,13.34,13.76
Kapitał (fundusz) podstawowy,,629.11,0.0,1.74,29.01,0.0,-1.06,146.66,0.0,0.0,40.92,23.08,130.12,0.0,2.72,0.0
Udziały (akcje) własne,,,,,,,-100.0,,,,,,,,,
Kapitał (fundusz) zapasowy,,23.11,85.56,70.53,577.75,-2.1,0.0,36.34,2.38,0.0,9.71,6.73,45.95,-94.26,-1.85,25.66
Udziały niekontrolujące,,,-46.15,157.14,44.44,-100.0,,,257.14,-34.86,-93.86,-1471.43,100.0,,,
Zobowiązania długoterminowe,,,50.72,-37.5,162.31,3.23,-72.73,-100.0,,,,,100.84,287.93,-100.0,
Z tytułu dostaw i usług,,-18.14,55.69,151.54,20.03,95.16,-19.84,41.69,69.08,6.49,-20.2,-7.4,-97.45,188.14,-34.12,-9.82
Kredyty i pożyczki,,,,,,,,,,82.51,-99.21,63362.5,-91.1,-88.72,-100.0,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,83.93,25.24,41.09,64.84,-27.67,-62.21,-90.24,-100.0,,,-100.0,,,-100.0
Inne zobowiązania długoterminowe,,,-15.38,0.0,472.73,-39.68,-39.47,-100.0,,,,,,,,
Zobowiązania krótkoterminowe,,5.28,58.23,79.34,105.3,-8.85,-1.98,37.14,83.75,14.12,-48.53,316.11,-90.41,-63.59,133.9,-64.45
Inne zobowiązania krótkoterminowe,,1.03,53.06,35.33,263.05,-73.34,87.28,58.83,22.41,-22.85,-35.51,-7.44,-50.68,-39.38,1.52,44.5
Rozliczenia międzyokresowe,,,-100.0,,,,,,,,,,,,,
Pasywa razem,,134.57,59.3,60.02,153.26,-4.31,-9.15,3.45,20.72,-45.52,-60.1,91.72,86.04,2.04,-1.81,8.68
Przepływy pieniężne z działalności operacyjnej,,0.0,88.49,17.6,78.89,-101.86,-767.53,-265.87,11.7,-61.12,-25.97,-101.1,56.76,41.61,173.47,-44.43
Amortyzacja,,105.31,118.53,72.58,69.26,-52.94,25.25,9.39,-44.08,251.5,-80.5,63.39,-71.24,-83.72,-100.0,
Przepływy pieniężne z działalności inwestycyjnej,,-26.94,-28.87,-91.17,-133.64,23.48,-35.03,139.13,-156.94,92.64,1864.71,-99.22,2678.57,-97.94,-100.0,
CAPEX (niematerialne i rzeczowe),,68.83,47.99,63.01,133.92,-19.9,-86.13,98.95,4.73,-55.02,-100.0,,,,,
Przepływy pieniężne z działalności finansowej,,,-3733.33,-33.04,11936.6,-103.51,51.81,30.39,623.47,129.51,-6.53,300.92,-63.2,-59.37,-158.79,10.32
Emisja akcji,,,-100.0,,,-100.0,,,,,201.84,-100.0,,,,-100.0
Dywidenda,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,-102.74,8483.33,-183.1,3981.58,-132.78,-35.27,96.9,-989.24,58.01,81.57,523.4,-86.31,-817.43,201.15,-80.78
