,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,7.7,34.75,146.16,-60.67,123.43,70.82,21.86,-31.74,62.09,43.85,-1.27,-9.49
Techniczny koszt wytworzenia produkcji sprzedanej,,9.53,43.52,114.94,-58.0,125.52,67.09,24.79,-28.78,69.24,31.82,-3.12,-11.42
Koszty sprzedaży,,96.85,50.58,14.61,0.21,13.27,17.96,1.48,-2.43,-1.39,13.33,6.32,9.23
Koszty ogólnego zarządu,,18.09,5.53,57.99,41.48,11.09,15.47,16.58,17.04,-0.7,15.09,15.24,10.81
Zysk ze sprzedaży,,-6.06,5.27,337.18,-75.42,173.17,94.67,15.25,-45.56,48.74,103.21,3.02,-6.05
Pozostałe przychody operacyjne,,199.38,74.15,-65.18,114.39,15.03,9.17,85.53,7.01,-14.38,-30.37,74.13,-28.03
Pozostałe koszty operacyjne,,-70.61,70.1,17.33,71.53,-38.68,-2.38,20.26,-20.85,101.68,-1.89,-28.52,133.68
Zysk operacyjny (EBIT),,9.6,8.95,298.9,-75.6,181.59,93.43,16.94,-43.81,42.95,100.01,4.56,-7.9
Przychody finansowe,,394.81,-71.25,18.51,121.23,57.27,17.2,21.9,-12.21,-39.01,86.62,372.68,-1.46
Koszty finansowe,,-40.98,3.09,-14.48,63.41,45.7,6.09,-1.6,-16.02,30.32,-40.22,-48.49,137.85
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,35.56,1.52,332.38,-77.69,197.94,98.48,17.99,-44.18,40.48,107.98,11.16,-8.61
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,35.56,1.52,332.38,-77.69,197.94,98.48,17.99,-44.18,40.48,107.98,11.16,-8.61
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,30.76,14.94,296.64,-65.31,96.64,92.99,14.97,-44.03,44.79,97.78,11.19,-7.31
Zysk netto akcjonariuszy jednostki dominującej,,29.43,11.61,304.8,-64.86,89.13,91.4,17.24,-43.41,47.41,97.79,11.2,-7.34
Aktywa trwałe,,0.77,-0.48,0.02,9.73,-1.55,-7.97,-5.42,4.99,21.35,9.15,-0.48,-6.78
Wartości niematerialne i prawne,,-0.02,0.12,-0.06,-0.05,0.03,-0.02,0.0,0.37,0.14,0.12,0.87,1.15
Rzeczowe składniki majątku trwałego,,3.79,3.95,13.23,18.09,-5.86,-1.18,-11.01,88.75,-9.53,19.49,3.04,14.47
Należności długoterminowe,,,,,,-89.19,440.0,9.26,152.12,34.29,-30.41,-19.6,27.74
Inwestycje długoterminowe,,0.66,-1.01,-0.6,-2.47,-0.01,-14.22,-7.77,-0.02,6.15,-1.08,5.6,-0.17
Pozostałe aktywa trwałe,,226.32,-28.87,-45.35,6493.78,-11.72,-11.58,-16.37,8.34,263.16,38.58,-10.06,-32.31
Aktywa obrotowe,,31.23,45.39,4.26,64.6,29.45,21.51,5.54,30.72,15.54,11.73,2.18,12.61
Zapasy,,46.2,28.66,4.39,63.17,28.38,18.52,10.84,39.86,11.89,-0.17,7.37,6.95
Należności krótkoterminowe,,-23.57,30.3,52.45,63.24,-6.18,5.53,69.11,-46.46,48.53,153.18,-13.89,-21.94
Inwestycje krótkoterminowe,,-81.81,1262.4,-3.6,75.34,44.39,41.81,-27.82,-21.37,60.35,104.57,-19.11,54.88
Środki pieniężne i inne aktywa pieniężne,,-81.86,1266.44,-3.82,-12.58,37.2,53.47,-78.49,-51.28,1121.68,119.62,-22.89,61.78
Pozostałe aktywa obrotowe,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,21.25,32.89,3.4,53.77,25.09,18.25,4.6,28.71,15.91,11.56,2.01,11.38
Kapitał własny akcjonariuszy jednostki dominującej,,12.6,12.42,45.52,42.7,10.56,15.43,8.01,-8.1,20.66,22.47,11.67,30.5
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,20.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,109.92,29.71,23.87,183.85,8.32,-72.07,332.65,0.08,28.39,4.79,16.22,54.44
Udziały niekontrolujące,,,-5115.69,-175.49,-57.51,-16.24,50.05,83.01,100.0,,100.0,,
Zobowiązania długoterminowe,,62.3,30.97,11.86,-7.41,107.29,-3.37,25.83,133.52,-24.01,28.58,-32.01,62.46
Z tytułu dostaw i usług,,72.78,18.25,16.31,-28.74,221.95,11.88,10.2,65.1,0.68,9.81,4.93,6.83
Kredyty i pożyczki,,10.85,-19.01,-9.74,77.71,10.93,-57.44,-7.3,15.66,69.4,-66.12,-100.0,
Z tytułu emisji dłużnych papierów wartościowych,,,,359.03,304.43,-6.93,262.41,37.6,-39.66,177.66,-46.07,89.38,-79.62
Zobowiązania z tytułu leasingu finansowego,,-13.72,-5.13,-100.0,,,,,,,26.16,-0.94,-16.96
Inne zobowiązania długoterminowe,,174.02,-48.71,39.35,98.16,-55.21,196.87,166.93,14.03,-25.73,113.31,-32.73,41.32
Zobowiązania krótkoterminowe,,16.08,63.97,-39.52,133.5,16.46,33.8,-9.73,13.33,62.29,-7.83,20.13,-32.7
Inne zobowiązania krótkoterminowe,,16.83,254.55,-65.21,230.11,10.43,60.53,-32.62,44.79,36.52,30.36,10.32,-16.2
Rozliczenia międzyokresowe,,,,,,,,,,,,,
Pasywa razem,,21.25,32.89,3.4,53.77,25.09,18.25,4.6,28.71,15.91,11.56,2.01,11.38
Przepływy pieniężne z działalności operacyjnej,,-390.39,218.84,-99.0,-24221.51,49.41,354.8,-80.89,-481.37,138.47,1131.94,-67.52,-49.27
Amortyzacja,,-12.04,-3.64,-4.35,16.29,39.44,2.58,7.06,63.48,-6.95,33.42,0.86,14.22
Przepływy pieniężne z działalności inwestycyjnej,,-953.85,251.35,257.02,-67.66,-88.04,700.86,52.31,660.35,-89.54,-163.91,2331.15,-56.06
CAPEX (niematerialne i rzeczowe),,7.69,-5.65,86.75,-13.01,16.99,-11.62,-36.53,18.49,-31.59,75.18,95.0,35.68
