,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,25.47,-4.02,16.12,9.99,17.04,10.89,-0.95,16.03,-3.4,18.48,17.46,13.94
Techniczny koszt wytworzenia produkcji sprzedanej,,25.61,-3.09,-48.23,3.82,19.92,10.26,-11.94,22.7,-3.82,8.72,25.07,8.08
Koszty sprzedaży,,,,,28.62,18.5,1.84,2.52,14.93,-4.21,14.81,26.85,13.86
Koszty ogólnego zarządu,,,,,27.73,15.04,3.64,0.29,15.97,-5.63,7.66,34.87,14.6
Zysk ze sprzedaży,,23.23,-19.23,28.35,-121.87,-171.34,217.49,105.18,-19.08,17.58,162.78,-67.27,90.14
Pozostałe przychody operacyjne,,26.72,55.68,120.6,-17.28,-2.53,17.74,-14.1,68.26,-17.23,33.34,69.39,-34.56
Pozostałe koszty operacyjne,,56.21,-5.18,55.84,3.2,20.43,40.59,-42.67,2.96,88.69,-29.49,-63.19,88.16
Zysk operacyjny (EBIT),,18.44,-11.01,46.26,-110.64,-352.93,212.98,136.98,-1.45,-11.03,190.86,-42.91,23.22
Przychody finansowe,,-84.0,187.5,-17.61,-45.65,442.72,446.15,-94.73,-89.75,1845.45,-89.72,2753.03,-94.16
Koszty finansowe,,103.24,29.82,53.31,-17.88,-3.75,15.76,-10.58,118.54,-11.07,-18.77,132.51,42.39
Pozostałe przychody (koszty),,3288.89,-100.0,,,,,,,,,,
Zysk z działalności gospodarczej,,-2.6,-16.49,37.33,-132.87,-87.69,339.99,-5.67,-25.18,-0.66,252.19,-51.75,-8.26
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-2.6,-16.49,37.33,-132.87,-87.69,339.99,-5.67,-25.18,-0.66,252.19,-51.75,-8.26
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,-6.86,-13.56,35.14,-166.56,-48.02,251.29,-11.33,-33.6,-0.72,325.01,-50.54,-8.58
Zysk netto akcjonariuszy jednostki dominującej,,-0.94,-12.6,36.78,-144.34,-89.81,288.0,-5.11,-18.2,-6.78,219.7,-54.03,-8.58
Aktywa trwałe,,526.8,54.01,1.89,29.16,-4.8,-23.79,28.06,106.62,10.62,-15.08,-9.1,2.3
Wartości niematerialne i prawne,,4863.19,60.14,-7.69,17.5,-0.55,-18.72,2.91,4.54,-9.04,-4.39,-6.44,34.18
Rzeczowe składniki majątku trwałego,,80.82,22.31,50.51,77.42,-16.51,-36.16,49.33,398.41,20.99,-20.29,-11.4,-12.29
Należności długoterminowe,,,,3.86,-100.0,,,,3.9,-7.5,-6.76,0.0,0.0
Inwestycje długoterminowe,,-76.15,193.55,138.46,-71.89,0.0,0.0,0.0,0.0,0.0,-100.0,,
Pozostałe aktywa trwałe,,-72.89,24.55,39.42,8.62,71.75,-49.54,108.79,-11.93,99.4,27.77,5.47,-5.56
Aktywa obrotowe,,-21.95,17.19,-6.44,19.45,36.43,-29.44,25.35,5.43,-11.5,36.24,22.49,-22.86
Zapasy,,-8.41,31.68,3.95,26.17,42.39,-37.91,44.13,-3.86,-20.34,52.98,27.25,-33.89
Należności krótkoterminowe,,17.28,-13.75,-19.2,5.03,-2.99,-3.88,-2.15,43.53,-17.14,18.6,17.61,11.51
Inwestycje krótkoterminowe,,-84.11,105.56,-34.64,8.23,109.76,-0.73,-29.88,18.76,84.63,-6.33,0.1,0.72
Środki pieniężne i inne aktywa pieniężne,,-83.59,160.22,-53.03,45.85,136.05,-15.94,-29.73,27.37,100.63,-5.49,-26.35,39.88
Pozostałe aktywa obrotowe,,-59.56,-34.99,-51.83,-100.0,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,7.46,28.7,-3.32,23.28,19.4,-27.58,26.29,40.99,-0.11,6.97,8.19,-13.29
Kapitał własny akcjonariuszy jednostki dominującej,,45.08,12.76,12.25,41.04,-4.78,-6.09,6.83,10.48,9.26,12.64,-8.39,5.17
Kapitał (fundusz) podstawowy,,9.38,0.0,1.14,26.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,0.1,-24.68,-407.64,17.99,-17.95
Kapitał (fundusz) zapasowy,,57.87,17.49,13.15,17.51,0.0,5.36,15.57,11.74,9.12,-72.73,0.0,0.0
Udziały niekontrolujące,,-100.0,,-13.59,-19.31,-46.01,-126.86,-285.63,59.48,-239.51,-45.9,100.0,
Zobowiązania długoterminowe,,46.22,-8.44,17.83,15.93,25.04,-40.27,27.14,393.14,21.52,-19.92,-20.52,-7.25
Z tytułu dostaw i usług,,-63.03,68.92,-20.12,34.99,121.3,-40.62,49.01,-12.16,-18.51,104.71,7.97,-14.87
Kredyty i pożyczki,,-24.71,43.93,42.56,5.01,7.73,-63.55,114.62,17.08,-92.71,106.89,954.11,-66.62
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,500.68,-71.7,125.5,5.79,66.75,16.41,408.11,24.09,-7.07,-0.82,-9.48
Inne zobowiązania długoterminowe,,380.06,-100.0,,151.28,3.21,-8.15,24.76,-23.27,12.56,-5.9,-5.11,51.68
Zobowiązania krótkoterminowe,,-34.27,64.7,-13.35,10.36,60.2,-40.74,56.99,17.43,-17.69,25.34,34.42,-28.47
