,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,19.16,26.03,1.98,46.57,16.85,45.74,-11.34,-33.19,62.23,18.36,23.06
Techniczny koszt wytworzenia produkcji sprzedanej,,9.3,32.93,-12.7,51.32,3.21,55.78,-9.81,-26.72,43.85,17.46,21.7
Koszty sprzedaży,,-52.76,-25.09,778.24,37.01,46.39,-16.63,-14.41,6.7,56.9,-8.65,32.23
Koszty ogólnego zarządu,,18.08,-0.3,7.51,122.72,15.38,0.96,6.39,0.46,18.12,17.62,12.82
Zysk ze sprzedaży,,82.57,9.66,38.23,28.79,51.22,42.52,-16.0,-56.13,146.39,24.69,26.17
Pozostałe przychody operacyjne,,-76.3,1484.62,195.84,-14.14,-12.89,-87.81,34.19,-52.11,56.8,77.81,4878.62
Pozostałe koszty operacyjne,,20.62,120.73,46.71,2174.24,-89.35,-48.22,-13.01,-23.9,-24.86,-46.15,425.71
Zysk operacyjny (EBIT),,78.58,14.6,46.77,-10.87,102.69,38.51,-15.82,-56.38,148.28,25.24,56.21
Przychody finansowe,,-35.08,260.66,-19.05,51.95,32.59,39.0,8.17,-79.85,-48.94,423.96,176.94
Koszty finansowe,,-60.22,21.21,114.95,174.56,63.99,16.79,-23.73,-0.42,102.35,80.89,-52.92
Pozostałe przychody (koszty),,,,,,,,,,93.56,-4059.07,227.93
Zysk z działalności gospodarczej,,96.1,16.72,42.7,-18.63,106.73,41.28,-14.53,-66.15,186.3,4.83,124.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,
Zysk przed opodatkowaniem,,96.1,16.72,42.7,-18.63,106.73,41.28,-14.53,-66.15,186.3,4.83,124.12
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,
Zysk netto,,96.09,16.4,44.0,25.21,63.29,-4.7,-14.82,-67.29,195.6,1.25,133.77
Zysk netto akcjonariuszy jednostki dominującej,,96.09,16.4,32.33,24.32,66.77,-9.93,-14.9,-68.61,223.48,3.05,140.92
Aktywa trwałe,,15.9,40.36,-3.3,83.29,42.65,-22.18,-13.86,-7.77,0.26,-5.2,69.99
Wartości niematerialne i prawne,,183.33,-39.22,61.29,-50.0,-76.0,1050.0,14.49,321.52,-32.73,-90.62,157.14
Rzeczowe składniki majątku trwałego,,42.86,67.41,1.01,1.14,7.6,-3.07,19.45,8.3,1.76,-0.58,-6.59
Należności długoterminowe,,346.74,545.99,-57.89,-26.3,-71.0,-100.0,,,-38.0,-11.29,-14.55
Inwestycje długoterminowe,,0.0,0.0,0.0,2.34,0.45,-74.31,-2.94,-6.42,-0.33,0.24,760.42
Pozostałe aktywa trwałe,,13.75,15.38,698.1,2012.05,88.45,-13.66,-26.37,-18.66,0.06,-8.24,42.03
Aktywa obrotowe,,9.5,12.61,64.44,18.64,48.63,32.39,-4.74,8.57,14.63,-4.8,1.71
Zapasy,,3.83,-1.29,27.68,47.19,29.25,33.95,1.77,21.38,17.17,2.54,-29.99
Należności krótkoterminowe,,8.86,68.28,88.05,71.79,44.08,93.64,-20.29,-27.82,86.75,-70.09,146.54
Inwestycje krótkoterminowe,,148.7,125.5,216.81,-43.19,141.22,4.04,-13.67,-14.32,-38.24,29.93,196.66
Środki pieniężne i inne aktywa pieniężne,,148.7,125.05,217.36,-43.19,141.14,4.05,-13.63,-30.43,-66.19,129.11,261.0
Pozostałe aktywa obrotowe,,-54.3,0.99,187.25,116.72,-40.47,514.29,-45.99,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,
Aktywa razem,,10.02,15.0,57.34,22.81,48.06,27.33,-5.26,7.72,14.0,-4.81,4.35
Kapitał własny akcjonariuszy jednostki dominującej,,19.88,19.6,44.43,15.09,23.76,16.46,5.38,3.93,6.57,5.85,25.56
Kapitał (fundusz) podstawowy,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,-9.82,-23.53,365.05,-20.45,117.63,-13.64,1.75,-12.72,0.0,0.0,0.0
Udziały niekontrolujące,,24.86,52.6,-94.31,726.67,-203.63,202.72,-65.78,-655.17,55.5,147.05,153.33
Zobowiązania długoterminowe,,78.91,40.09,141.15,3.2,141.09,8.09,2.44,-17.62,85.1,-29.37,-26.18
Z tytułu dostaw i usług,,9.97,-14.73,2.47,189.02,69.07,-75.03,667.3,-38.88,67.01,-70.98,156.82
Kredyty i pożyczki,,-100.0,,,,-97.28,-100.0,,,-79.13,39.65,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,-59.65,28819.71,-85.33,429.86,-87.73
Zobowiązania z tytułu leasingu finansowego,,32.1,109.35,-42.41,10.85,111.89,-9.9,613.92,25.91,23.51,2.61,-36.43
Inne zobowiązania długoterminowe,,20.93,-56.25,5282.42,19.89,53.81,157.95,-34.24,-2.55,146.33,29.12,11.25
Zobowiązania krótkoterminowe,,-33.73,-26.97,47.79,119.28,35.97,98.01,-33.84,65.63,-32.9,18.28,-12.07
Inne zobowiązania krótkoterminowe,,-17.85,-37.56,98.7,-78.92,793.64,350.69,-90.8,-92.32,275.99,727.44,34.34
Rozliczenia międzyokresowe,,,,,,,,,,,,
Pasywa razem,,10.02,15.0,57.34,22.81,48.06,27.33,-5.26,7.72,14.0,-4.81,4.35
Przepływy pieniężne z działalności operacyjnej,,358.1,4.65,-70.87,-1231.36,162.51,12.59,18.33,-337.34,71.19,533.82,152.34
Amortyzacja,,130.45,12.32,40.54,21.38,12.58,16.23,58.33,10.03,25.96,0.88,-16.86
Przepływy pieniężne z działalności inwestycyjnej,,-33.65,-112.06,135.56,-97.3,-336.23,-597.55,-131.22,62.91,-31.9,42.92,-34.2
CAPEX (niematerialne i rzeczowe),,-8.12,30.7,-81.89,8.99,42.15,2.58,125.77,-65.52,89.71,-51.22,-4.47
Przepływy pieniężne z działalności finansowej,,28.81,264.96,700.24,-78.04,236.16,-173.78,-92.69,218.08,-130.65,-339.95,-75.76
Emisja akcji,,,,,,,,,,,,
Dywidenda,,-5.02,69.21,325.05,42.62,46.72,14.66,89.43,-90.85,248.59,160.61,-8.56
Przepływy pieniężne razem,,253.17,109.15,291.16,-163.06,285.68,-93.1,-450.88,-92.9,-51.34,165.96,363.15
