,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,6.93,4.18,12.6,-10.14,5.59,-6.54,26.84,-14.67,-13.58,2.83,21.1,2.69,2.48,22.43,16.32
Techniczny koszt wytworzenia produkcji sprzedanej,,19.77,12.0,7.2,6.89,-20.24,-40.71,95.32,-33.64,-24.61,-7.05,10.63,9.73,-5.64,21.44,4.41
Koszty sprzedaży,,,,,,,,91.6,-27.11,-5.91,-18.81,-2.73,-54.84,43.25,69.96,54.62
Koszty ogólnego zarządu,,,,,,,,11.25,28.6,8.84,-7.72,-4.23,21.79,-11.32,3.51,42.67
Zysk ze sprzedaży,,-47.81,-72.39,227.0,-231.8,267.13,-38.02,-335.66,55.14,0.1,104.21,3484.15,-16.69,59.06,38.89,-5.48
Pozostałe przychody operacyjne,,-12.18,2400.73,-89.3,-36.43,-11.16,-7.25,100.52,66.62,1486.98,-95.16,22.11,144.27,37.98,-51.8,-16.36
Pozostałe koszty operacyjne,,-46.05,708.94,-76.68,316.38,-56.28,-17.76,2330.71,-0.61,-53.87,215.09,-96.27,40.07,143.46,-36.99,9.55
Zysk operacyjny (EBIT),,-45.96,62.0,-41.66,-318.85,185.06,-40.55,-1197.33,16.42,117.47,-830.08,116.13,3.66,21.36,36.83,-12.12
Przychody finansowe,,-80.52,131.72,76.45,48.98,-96.16,-13.79,266.67,402.91,-43.02,-93.27,-43.4,116.67,-67.69,1971.43,10.57
Koszty finansowe,,-15.87,81.06,34.74,-15.11,-10.06,25.68,139.58,-38.33,-9.63,-28.46,-28.49,-17.18,-21.33,46.29,32.47
Pozostałe przychody (koszty),,-100.0,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-65.39,62.89,-64.18,-643.66,144.47,-95.08,-28934.53,23.18,105.46,-2372.18,109.74,15.91,36.63,41.61,-21.26
Wynik zdarzeń nadzwyczajnych,,-90.0,900.0,-260.0,100.0,,,,,,,,,,,
Zysk przed opodatkowaniem,,-65.48,63.72,-65.38,-658.98,144.47,-95.08,-28934.53,23.18,105.46,-2372.18,109.74,15.91,36.63,41.61,-21.26
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,-65.77,60.52,-79.34,-1111.62,144.0,-95.08,-32484.35,36.96,102.5,-5612.24,107.66,78.78,-4.28,43.12,-21.76
Zysk netto akcjonariuszy jednostki dominującej,,-65.77,60.52,-79.34,-1111.62,144.0,-95.08,-32484.35,36.96,102.5,-5612.24,107.66,78.78,-4.28,43.12,-21.76
Aktywa trwałe,,38.85,319.11,-0.15,-21.96,4.28,10.88,143.67,-27.34,13.75,-27.51,-7.73,-3.79,19.04,41.77,104.52
Wartości niematerialne i prawne,,152.8,1.63,5.74,-24.32,10.9,51.62,2507.17,-39.99,-5.4,-93.42,-10.16,-43.66,-32.35,-12.53,13.45
Rzeczowe składniki majątku trwałego,,27.32,186.2,8.56,6.64,4.69,9.04,99.31,-33.14,29.52,-21.2,-7.39,-4.13,24.51,54.2,115.27
Należności długoterminowe,,,,,,33.76,6.04,-100.0,,468.75,-95.05,0.0,0.0,-29.63,-73.68,0.0
Inwestycje długoterminowe,,,,4.91,-93.13,-2.41,-12.37,-31.04,-33.42,-100.0,,0.0,0.0,32.6,0.0,60.49
Pozostałe aktywa trwałe,,205.69,334.13,-75.31,122.58,-14.53,43.78,61.66,134.47,-27.42,16.22,-11.71,1.15,-11.57,-27.41,-30.67
Aktywa obrotowe,,134.19,-45.28,174.85,-0.27,5.05,16.52,-26.83,-44.85,-14.23,-34.29,2.88,49.24,85.39,35.59,-17.7
Zapasy,,39.84,24.59,94.73,88.89,7.28,0.53,-25.12,-69.14,-13.1,-25.54,24.34,5.45,2.51,35.93,22.15
Należności krótkoterminowe,,51.71,-3.92,107.74,-55.0,13.18,56.5,6.01,-23.1,-17.34,-3.53,-19.4,103.71,9.08,29.79,81.93
Inwestycje krótkoterminowe,,634.76,-98.01,2659.14,-79.72,-57.93,571.58,-99.1,11941.51,-63.66,-74.13,10.0,178.64,958.56,39.17,-91.97
Środki pieniężne i inne aktywa pieniężne,,634.76,-98.81,4523.42,-79.72,-60.28,603.26,-99.09,10622.64,-59.19,-97.5,1037.93,178.64,677.38,89.51,-91.97
Pozostałe aktywa obrotowe,,-97.2,1858.33,766.95,-87.09,-8.37,12.31,-4.06,-72.14,-6.91,59.9,-24.15,81.22,-3.15,23.02,-7.18
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,-100.0,,,,,
Aktywa razem,,96.97,54.99,44.63,-11.41,4.7,13.98,47.93,-32.2,7.43,-28.73,-5.97,5.86,36.07,39.61,63.03
