,0,1,2,3,4,5,6
Period,2016,2017,2018,2019,2020,2021,2022
Przychody ze sprzedaży,,66.72,141.79,48.52,12.03,188.25,-30.22
Techniczny koszt wytworzenia produkcji sprzedanej,,104.92,174.97,33.98,22.18,165.19,-24.32
Koszty sprzedaży,,,,,,,
Koszty ogólnego zarządu,,,,,,,
Zysk ze sprzedaży,,-10.29,-10.97,255.29,-42.39,450.56,-62.54
Pozostałe przychody operacyjne,,564.0,46.39,-70.78,1304.23,-39.82,-55.5
Pozostałe koszty operacyjne,,204.41,-97.1,-100.0,,710.4,-88.52
Zysk operacyjny (EBIT),,-10.47,12.2,197.05,-22.48,275.47,-58.99
Przychody finansowe,,57.89,-56.67,307.69,-62.26,3240.0,105.24
Koszty finansowe,,178.95,37.74,-9.59,146.21,478.46,26.06
Pozostałe przychody (koszty),,,,,,,
Zysk z działalności gospodarczej,,-15.01,7.88,223.59,-28.8,273.03,-63.89
Wynik zdarzeń nadzwyczajnych,,,,,,,
Zysk przed opodatkowaniem,,-15.01,7.88,223.59,-28.8,273.03,-63.89
Zysk (strata) netto z działalności zaniechanej,,,,,,,
Zysk netto,,-15.71,9.38,218.39,-31.83,291.91,-63.69
Zysk netto akcjonariuszy jednostki dominującej,,-15.71,9.38,218.39,-31.83,291.91,-63.69
Aktywa trwałe,,198.66,85.94,15.4,53.54,4.24,1.23
Wartości niematerialne i prawne,,-37.78,-60.71,-100.0,,4156.96,-98.5
Rzeczowe składniki majątku trwałego,,-13.85,-27.68,-37.65,2091.09,3.48,294.24
Należności długoterminowe,,,,,,,
Inwestycje długoterminowe,,,,0.69,-100.0,,
Pozostałe aktywa trwałe,,309.78,74.32,19.74,27.46,-96.98,0.0
Aktywa obrotowe,,16.03,363.08,1.66,50.33,221.45,21.36
Zapasy,,,,90.44,24.91,267.92,24.68
Należności krótkoterminowe,,-74.17,3333.13,-5.38,-13.88,519.14,15.29
Inwestycje krótkoterminowe,,95.9,-9.12,-0.59,280.71,-20.85,68.69
Środki pieniężne i inne aktywa pieniężne,,99.06,-6.54,-0.59,275.4,-19.73,68.69
Pozostałe aktywa obrotowe,,6.48,124.35,-41.47,1015.89,-67.18,-71.61
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,
Aktywa razem,,60.28,237.95,5.07,51.2,161.27,19.14
Kapitał własny akcjonariuszy jednostki dominującej,,40.28,131.54,41.24,15.29,73.89,60.94
Kapitał (fundusz) podstawowy,,0.0,10.87,0.0,0.0,0.0,13.73
Udziały (akcje) własne,,,,,,,
Kapitał (fundusz) zapasowy,,121.31,205.15,14.14,46.06,-69.01,304.69
Udziały niekontrolujące,,,,,,,
Zobowiązania długoterminowe,,,,,,293.31,-13.07
Z tytułu dostaw i usług,,0.0,-100.0,,,456.35,49.48
Kredyty i pożyczki,,,,,,1.73,278.9
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,33.97,-32.1
Inne zobowiązania długoterminowe,,,,,,,97.97
Zobowiązania krótkoterminowe,,-17.8,829.18,-40.97,-7.03,426.77,30.68
Inne zobowiązania krótkoterminowe,,-18.42,868.45,-40.97,-72.68,1067.0,1.97
Rozliczenia międzyokresowe,,562.01,91.88,54.29,9.24,-100.0,
Pasywa razem,,60.28,237.95,5.07,51.2,161.27,19.14
Przepływy pieniężne z działalności operacyjnej,,-89.15,-4865.59,45.49,132.08,-2785.68,105.9
Amortyzacja,,309.52,-17.44,-46.48,867.11,2.99,3.04
Przepływy pieniężne z działalności inwestycyjnej,,62.89,-586.32,98.31,-254.55,-866.67,-46.95
CAPEX (niematerialne i rzeczowe),,-50.79,431.2,-95.03,18.18,1069.23,59.65
Przepływy pieniężne z działalności finansowej,,160.0,259.34,-58.21,228.15,184.99,-76.04
Emisja akcji,,,,,,,
Dywidenda,,,,,,,
Przepływy pieniężne razem,,21.05,-113.13,-110.61,2079.58,-127.07,360.74
