,0,1,2,3,4,5,6,7,8,9,10
Period,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,4.52,29.83,-9.58,-1.95,-17.23,54.47,51.89,-1.35,113.99
Techniczny koszt wytworzenia produkcji sprzedanej,,,-19.96,126.3,10.6,-1.76,-31.65,19.97,-2.15,-6.14,15.41
Koszty sprzedaży,,,,,,,40.96,-55.19,1573.85,37.0,219.02
Koszty ogólnego zarządu,,,11.07,21.42,-8.92,-9.51,10.78,-8.64,72.74,45.58,0.6
Zysk ze sprzedaży,,,20.94,-15.61,-36.54,-15.15,-6.06,196.18,21.89,-35.63,142.07
Pozostałe przychody operacyjne,,,0.0,40.0,2514.29,-87.98,422.73,-85.22,405.88,37.21,10.17
Pozostałe koszty operacyjne,,,-20.06,79.96,975.03,70.88,6.11,-85.92,-94.73,-20.14,9.01
Zysk operacyjny (EBIT),,,24.54,-20.98,-164.25,-172.76,-9.63,169.68,53.28,-35.36,141.99
Przychody finansowe,,,109.09,-21.74,1350.0,-90.8,177.08,47.37,-10.71,1852.57,26.1
Koszty finansowe,,,18.13,-64.08,-86.38,1106.9,-40.57,-97.6,16060.0,-2.1,8.22
Pozostałe przychody (koszty),,,,,,,,,,,
Zysk z działalności gospodarczej,,,25.25,-18.12,-159.05,-210.98,-7.72,170.64,44.2,-14.71,118.85
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,
Zysk przed opodatkowaniem,,,25.25,-18.12,-159.05,-210.98,-7.72,170.64,44.2,-14.71,118.85
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,
Zysk netto,,,23.82,-20.68,-164.24,-191.86,-30.78,160.17,57.71,-7.18,106.52
Zysk netto akcjonariuszy jednostki dominującej,,,23.82,-20.68,-164.24,-191.86,-30.78,160.17,57.71,-7.18,106.52
Aktywa trwałe,,1.33,9.35,-2.85,113.17,79.82,74.29,-22.54,-24.05,-6.73,67.4
Wartości niematerialne i prawne,,-13.1,-13.92,-18.86,-4.43,-21.04,-27.38,-36.7,-44.68,-35.58,-16.42
Rzeczowe składniki majątku trwałego,,10.29,32.12,12.35,73.12,-14.42,379.15,-19.54,-27.28,-15.97,-3.7
Należności długoterminowe,,822.22,3.61,3.49,4.49,3.23,4.17,36.0,1.47,48.55,53.17
Inwestycje długoterminowe,,,,,,,,,,,
Pozostałe aktywa trwałe,,15.03,58.29,4.76,405.15,171.51,27.77,-24.94,-21.52,-1.64,-29.33
Aktywa obrotowe,,67.1,47.84,67.16,-13.82,-7.42,-46.57,57.17,60.94,32.9,50.66
Zapasy,,46.21,105.31,29.28,-4.9,-31.65,-39.42,29.65,67.2,58.03,51.87
Należności krótkoterminowe,,28.06,4.33,19.11,34.38,-4.79,-32.58,11.34,53.99,-13.96,139.31
Inwestycje krótkoterminowe,,317.46,-43.55,461.49,-48.85,72.32,-64.56,180.48,56.77,21.45,24.69
Środki pieniężne i inne aktywa pieniężne,,378.67,-44.57,471.83,-49.82,75.67,-64.56,177.62,58.39,-81.9,102.31
Pozostałe aktywa obrotowe,,56.76,155.17,14.86,62.94,57.04,-25.75,-100.0,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,
Aktywa razem,,58.92,44.79,62.96,-9.29,-0.1,-28.32,27.91,42.04,28.19,52.11
Kapitał własny akcjonariuszy jednostki dominującej,,98.3,43.34,72.59,-9.24,-1.13,-39.3,38.95,47.41,27.33,46.16
Kapitał (fundusz) podstawowy,,25.0,0.0,5.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,153.43,53.62,117.55,19.38,26.07,0.0,-52.61,0.0,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,
Zobowiązania długoterminowe,,5.49,4.79,2.78,63.83,-13.22,340.27,-16.25,-28.82,-40.85,4.65
Z tytułu dostaw i usług,,192.11,68.02,39.81,-7.96,14.27,-30.81,202.77,49.52,70.49,103.77
Kredyty i pożyczki,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,1.21,-0.13,7.32
Inne zobowiązania długoterminowe,,5.49,4.79,2.78,63.83,-13.22,340.27,-79.76,-0.92,-0.77,85.4
Zobowiązania krótkoterminowe,,-34.25,65.5,7.44,-20.29,16.31,5.05,2.08,51.6,59.54,96.2
Inne zobowiązania krótkoterminowe,,-45.98,64.79,-1.8,-25.3,17.33,22.55,-80.18,128.94,65.36,107.01
Rozliczenia międzyokresowe,,,,,,,,,,,
Pasywa razem,,58.92,44.79,62.96,-9.29,-0.1,-28.32,27.91,42.04,28.19,52.11
Przepływy pieniężne z działalności operacyjnej,,,-121.59,86.35,-4252.38,9.41,-24.38,230.2,-10.58,-21.81,32.87
Amortyzacja,,,0.94,-28.67,67.65,-2.73,171.54,-14.69,-11.85,-7.75,8.94
Przepływy pieniężne z działalności inwestycyjnej,,,-5.03,76.52,-355.1,79.67,18.38,-134.23,99.23,-801750.0,78.52
CAPEX (niematerialne i rzeczowe),,,-2.14,-68.4,255.85,-63.23,-49.59,162.1,-33.85,102.33,40.23
Przepływy pieniężne z działalności finansowej,,,52.09,4571.37,-101.75,5357.67,-109.59,18.05,4.99,-20.35,14.22
Emisja akcji,,,,,,,,,,,
Dywidenda,,,,-100.0,,,,,,,
Przepływy pieniężne razem,,,-156.34,686.76,-160.38,176.21,-249.87,196.7,-7.91,-275.27,128.86
