,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,3738.0,41156.0,15331.0,3507.0,4323.0,3321.0,118263.0,125549.0,118107.0,109551.0,117793.0,97269.0,107466.0,106984.0,61488.0
Techniczny koszt wytworzenia produkcji sprzedanej,3135.0,34355.0,13831.0,365.0,1126.0,908.0,111757.0,126911.0,251677.0,99033.0,94470.0,80520.0,88522.0,89607.0,44667.0
Koszty sprzedaży,493.0,327.0,528.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,2881.0,1679.0,1949.0,3521.0,5132.0,3701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-2771.0,4795.0,-977.0,-379.0,-1944.0,-1288.0,6506.0,-1362.0,-133570.0,10518.0,23323.0,16749.0,18944.0,17377.0,16821.0
Pozostałe przychody operacyjne,244.0,385.0,1264.0,332.0,748.0,262.0,0.0,0.0,0.0,3642.0,611.0,130890.0,3266.0,548.0,312.0
Pozostałe koszty operacyjne,408.0,4050.0,832.0,13651.0,778.0,300.0,0.0,0.0,0.0,7259.0,3194.0,2436.0,119063.0,84149.0,11093.0
Zysk operacyjny (EBIT),-2935.0,1130.0,-545.0,-13698.0,-1974.0,-1326.0,6506.0,-1362.0,-133570.0,6901.0,20740.0,145203.0,-96853.0,-66224.0,6040.0
Przychody finansowe,868.0,22693.0,15218.0,1865.0,619.0,921.0,23006.0,948.0,0.0,0.0,224.0,568.0,438.0,1561.0,830.0
Koszty finansowe,15495.0,28832.0,4486.0,466.0,2475.0,1755.0,0.0,0.0,0.0,3180.0,0.0,2045.0,1536.0,472.0,4834.0
Pozostałe przychody (koszty),0.0,435.0,223.0,-312.0,295.0,2697.0,2068.0,0.0,-920.0,113.0,0.0,0.0,-1616.0,-61.0,580.0
Zysk z działalności gospodarczej,-17562.0,-4574.0,10410.0,-12611.0,-3535.0,537.0,31580.0,-414.0,-134490.0,3834.0,20964.0,143726.0,-99567.0,-65196.0,2616.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-17562.0,-4574.0,10410.0,-12611.0,-3535.0,537.0,31580.0,-414.0,-134490.0,3834.0,20964.0,143726.0,-99567.0,-65196.0,2616.0
Zysk (strata) netto z działalności zaniechanej,-27283.0,-4291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20813.0
Zysk netto,-44738.0,-9601.0,10257.0,-12629.0,-3535.0,537.0,21106.0,645.0,-110399.0,1654.0,21222.0,116841.0,-85864.0,-56203.0,18503.0
Zysk netto akcjonariuszy jednostki dominującej,-44738.0,-9601.0,10257.0,-12629.0,-3535.0,537.0,21209.0,542.0,-88994.0,1098.0,17988.0,86028.0,-45254.0,-13912.0,23070.0
Aktywa trwałe,98163.0,15396.0,25195.0,20956.0,18335.0,17585.0,363574.0,313938.0,195296.0,190797.0,199538.0,501629.0,338297.0,404446.0,236496.0
Wartości niematerialne i prawne,21197.0,512.0,147.0,0.0,15.0,15.0,309250.0,310424.0,191894.0,189155.0,190010.0,321175.0,206373.0,135736.0,10367.0
Rzeczowe składniki majątku trwałego,65581.0,162.0,168.0,92.0,11.0,15.0,8482.0,3259.0,3143.0,1433.0,9526.0,7201.0,5078.0,3033.0,0.0
Należności długoterminowe,3052.0,0.0,10936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4992.0,0.0
Inwestycje długoterminowe,416.0,13412.0,13644.0,20703.0,18206.0,17440.0,31753.0,255.0,259.0,209.0,2.0,173253.0,126846.0,260685.0,226129.0
Pozostałe aktywa trwałe,7917.0,1310.0,300.0,161.0,103.0,115.0,14089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa obrotowe,138744.0,30086.0,21008.0,12295.0,11175.0,12937.0,223342.0,187103.0,208441.0,203902.0,202307.0,44225.0,148825.0,64648.0,135916.0
Zapasy,86028.0,15855.0,2351.0,0.0,610.0,290.0,481.0,0.0,344.0,2.0,2.0,0.0,497.0,486.0,0.0
Należności krótkoterminowe,16553.0,1027.0,8368.0,7358.0,6172.0,6735.0,115225.0,123329.0,155708.0,29980.0,29498.0,26255.0,44386.0,41321.0,30429.0
Inwestycje krótkoterminowe,35662.0,13193.0,10282.0,4931.0,4391.0,5909.0,3616.0,4254.0,19149.0,140920.0,171307.0,17970.0,103942.0,22841.0,105487.0
Środki pieniężne i inne aktywa pieniężne,16352.0,1890.0,764.0,294.0,882.0,132.0,1871.0,1036.0,4873.0,1996.0,2603.0,5304.0,32548.0,12096.0,13271.0
Pozostałe aktywa obrotowe,501.0,11.0,7.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,104020.0,59520.0,33240.0,33000.0,1500.0,0.0,0.0,0.0,0.0
Aktywa razem,236907.0,45482.0,46203.0,33251.0,29510.0,30522.0,586916.0,501041.0,403737.0,394699.0,401845.0,545854.0,487122.0,469094.0,372412.0
Kapitał własny akcjonariuszy jednostki dominującej,87062.0,33569.0,43826.0,30999.0,27642.0,28179.0,326863.0,366459.0,274166.0,270268.0,292973.0,380389.0,326241.0,336324.0,354371.0
Kapitał (fundusz) podstawowy,126284.0,126284.0,18197.0,18197.0,18197.0,18197.0,52560.0,57609.0,57609.0,57609.0,57609.0,57609.0,57609.0,57609.0,57609.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,-3040.0,-2496.0,-3002.0,-1700.0,-1743.0,-2568.0,-4485.0,0.0,0.0
Kapitał (fundusz) zapasowy,59727.0,69489.0,69489.0,69489.0,69489.0,69489.0,266924.0,333375.0,347632.0,342526.0,352406.0,361974.0,353333.0,372843.0,278919.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,72740.0,867.0,31152.0,24952.0,34502.0,73689.0,91699.0,79651.0,0.0
Zobowiązania długoterminowe,29324.0,1211.0,495.0,1401.0,1308.0,1518.0,0.0,0.0,0.0,0.0,0.0,48880.0,26975.0,13561.0,11569.0
Z tytułu dostaw i usług,15161.0,1574.0,91.0,368.0,219.0,639.0,55352.0,27998.0,36007.0,32021.0,26420.0,22529.0,25502.0,25350.0,4701.0
Kredyty i pożyczki,53644.0,5188.0,0.0,0.0,0.0,0.0,30382.0,28977.0,26334.0,37316.0,9066.0,2142.0,3495.0,1983.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,44690.0,36998.0,20101.0,0.0,6038.0,6038.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,11130.0,674.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8010.0,1843.0,1909.0,583.0,0.0
Inne zobowiązania długoterminowe,27324.0,1148.0,447.0,1401.0,1308.0,1518.0,0.0,0.0,0.0,0.0,0.0,40306.0,23515.0,12337.0,11569.0
Zobowiązania krótkoterminowe,120521.0,10702.0,1882.0,851.0,560.0,825.0,187313.0,133715.0,98419.0,99479.0,74370.0,42896.0,42207.0,39558.0,6472.0
Inne zobowiązania krótkoterminowe,40586.0,3266.0,1775.0,483.0,341.0,186.0,56889.0,39742.0,15977.0,30142.0,24836.0,10344.0,11301.0,11642.0,1771.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,236907.0,45482.0,46203.0,33251.0,29510.0,30522.0,586916.0,501041.0,403737.0,394699.0,401845.0,545854.0,487122.0,469094.0,372412.0
Przepływy pieniężne z działalności operacyjnej,23460.0,36718.0,5075.0,-632.0,-273.0,-731.0,-16145.0,-21417.0,9196.0,10054.0,22198.0,18906.0,5084.0,-43334.0,-17880.0
Amortyzacja,515.0,419.0,214.0,226.0,183.0,170.0,2008.0,2381.0,2307.0,4754.0,4866.0,3519.0,3792.0,4553.0,2601.0
Przepływy pieniężne z działalności inwestycyjnej,-4331.0,-6135.0,-510.0,282.0,870.0,-19.0,26762.0,36826.0,19900.0,460.0,-6905.0,-6088.0,28824.0,-18281.0,-5076.0
CAPEX (niematerialne i rzeczowe),1649.0,506.0,8.0,138.0,0.0,17.0,2438.0,4826.0,17012.0,2396.0,4083.0,6565.0,4952.0,6207.0,3820.0
Przepływy pieniężne z działalności finansowej,-26212.0,-45045.0,-5691.0,-65.0,-9.0,0.0,-8976.0,-16244.0,-25259.0,-13391.0,-14686.0,-10117.0,-6664.0,41163.0,24131.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897.0,2453.0,0.0,2009.0
Przepływy pieniężne razem,-7083.0,-14462.0,-1126.0,-415.0,588.0,-750.0,1641.0,-835.0,3837.0,-2877.0,607.0,2701.0,27244.0,-20452.0,1175.0
