,0,1,2,3,4,5,6,7,8,9
Period,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,,-16.36,-17.69,43.29,9.26,48.35,-8.73,49.49,-35.86
Techniczny koszt wytworzenia produkcji sprzedanej,,6082100.0,-17.71,-26.28,38.27,9.66,45.5,-13.42,58.1,-41.89
Koszty sprzedaży,,,,,21.08,-11.62,-24.9,-0.41,18.81,4.86
Koszty ogólnego zarządu,,,,,7.88,30.86,17.88,-14.59,4.25,-16.17
Zysk ze sprzedaży,,661875.0,-3.95,-77.32,352.64,-8.17,144.6,20.53,40.17,-19.04
Pozostałe przychody operacyjne,,,237.69,-10.37,-35.18,222.02,-47.66,37.91,-23.89,-80.72
Pozostałe koszty operacyjne,,2518700.0,-29.18,-72.08,-16.55,88.23,2.15,-1.38,132.19,-61.63
Zysk operacyjny (EBIT),,261200.0,262.62,-23.07,23.69,100.96,-1.05,30.04,4.42,-33.36
Przychody finansowe,,,,,221.31,-55.83,172.77,-73.24,140.41,30.38
Koszty finansowe,,,6.66,81.5,-89.75,243.51,-20.12,31.19,200.98,23.7
Pozostałe przychody (koszty),,,,,,,,,,
Zysk z działalności gospodarczej,,70280.0,958.93,-41.04,155.18,60.36,11.26,14.07,-2.44,-38.23
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,
Zysk przed opodatkowaniem,,70280.0,958.93,-41.04,155.18,60.36,11.26,14.07,-2.44,-38.23
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,
Zysk netto,,61200.0,1540.59,-4.7,23.81,47.72,15.11,19.3,-6.32,-38.51
Zysk netto akcjonariuszy jednostki dominującej,,61200.0,1540.59,-4.7,23.81,47.72,15.11,18.93,-6.03,-38.51
Aktywa trwałe,,100.0,5724200.0,56.35,27.53,14.96,-17.73,22.47,51.18,-15.22
Wartości niematerialne i prawne,,,,120.67,-22.61,8.03,-83.31,-35.04,179.78,-35.34
Rzeczowe składniki majątku trwałego,,,,-10.0,-8.94,844.37,-8.18,47.4,90.85,-0.78
Należności długoterminowe,,,,,,,,,,
Inwestycje długoterminowe,,,,67.21,30.2,-8.24,-23.1,15.93,40.97,-24.77
Pozostałe aktywa trwałe,,100.0,455800.0,-16.98,4.12,87.74,24.89,14.28,7.94,6.47
Aktywa obrotowe,,347.0,122887.02,29.96,4.04,36.22,8.45,17.07,-23.94,14.81
Zapasy,,,,39.44,15.78,32.35,17.89,18.1,-23.81,5.74
Należności krótkoterminowe,,,38468.09,-26.09,79.08,103.79,9.35,-7.64,-16.76,-43.34
Inwestycje krótkoterminowe,,300.0,48060.5,18.55,-32.85,14.73,8.4,14.38,-22.87,70.37
Środki pieniężne i inne aktywa pieniężne,,300.0,48060.5,-80.69,194.68,16.05,12.02,28.39,-27.52,80.63
Pozostałe aktywa obrotowe,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,238.81,-100.0,,-100.0,
Aktywa razem,,344.55,147837.19,34.5,8.75,31.22,3.06,17.95,-11.13,6.09
Kapitał własny akcjonariuszy jednostki dominującej,,351.04,78722.63,7.24,12.92,16.91,15.18,10.08,6.92,8.44
Kapitał (fundusz) podstawowy,,0.0,-100.0,,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,2.03,14.58,15.04,11.1,10.21,17.17
Udziały niekontrolujące,,,,,,,,,,
Zobowiązania długoterminowe,,,,73.07,-6.76,15.7,-20.54,14.18,39.02,-11.07
Z tytułu dostaw i usług,,1200.0,372838.45,-35.24,46.75,11.74,3.59,9.38,-21.18,-14.14
Kredyty i pożyczki,,,,,-100.0,,126.13,-66.88,-99.94,43391.67
Z tytułu emisji dłużnych papierów wartościowych,,,,-72.66,865.97,11.73,-40.99,5.96,-63.63,485.92
Zobowiązania z tytułu leasingu finansowego,,,,26.9,-35.6,749.69,2089.47,-27.14,-76.93,23.84
Inne zobowiązania długoterminowe,,,,-55.63,19.4,105.67,-18.72,-6.13,15.48,13.49
Zobowiązania krótkoterminowe,,220.0,925881.25,51.81,22.8,68.49,7.02,28.72,-51.54,23.87
Inne zobowiązania krótkoterminowe,,-25.0,2370333.4,113.35,2.19,94.04,0.41,61.41,-50.65,-7.58
Rozliczenia międzyokresowe,,,,,,,,,,
Pasywa razem,,344.55,147837.19,34.5,8.75,31.22,3.06,17.95,-11.13,6.09
Przepływy pieniężne z działalności operacyjnej,,,17512.0,-200.76,53.2,-8.07,-81.09,237.54,26.15,-23.84
Amortyzacja,,,12.4,-17.95,-6.27,150.68,2.38,-6.46,150.05,27.09
Przepływy pieniężne z działalności inwestycyjnej,,,,-163.07,-47.69,180.43,174.94,-89.82,-498.86,159.75
CAPEX (niematerialne i rzeczowe),,,,-74.78,1829.0,572.59,-72.6,200.94,-28.83,-90.22
Przepływy pieniężne z działalności finansowej,,-100.0,,295.23,-95.41,-21.95,-1423.94,13.16,-61.45,128.49
Emisja akcji,,-100.0,,-100.0,,,,,,
Dywidenda,,,,,,,,458.82,20.0,-100.0
Przepływy pieniężne razem,,200.0,15868.67,-25.41,-309.93,130.12,-34.55,85.52,-281.84,337.38
