,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,16.49,49.94,16.19,12.29,26.27,13.99,16.1,-25.83,31.61,46.15,15.07
Techniczny koszt wytworzenia produkcji sprzedanej,,20.21,46.41,18.61,13.59,26.87,8.27,19.07,-28.61,19.06,44.76,13.48
Koszty sprzedaży,,-12.0,23.96,14.05,28.02,25.07,23.58,23.92,-14.43,15.03,35.84,31.03
Koszty ogólnego zarządu,,-6.37,-4.95,22.37,11.96,3.61,4.23,15.45,-16.8,5.66,45.59,22.71
Zysk ze sprzedaży,,623.57,201.9,12.86,-13.56,35.43,12.23,-8.54,-54.01,203.15,70.91,-10.52
Pozostałe przychody operacyjne,,-16.7,-75.9,30.0,-56.16,-11.74,-44.7,191.59,217.7,-34.26,-86.0,99.31
Pozostałe koszty operacyjne,,-49.98,-83.17,76.8,-8.7,-6.51,20.45,-18.43,73.78,-46.36,-21.48,55.94
Zysk operacyjny (EBIT),,158.08,271.75,9.86,-18.48,38.12,9.52,-4.05,-49.52,190.96,63.53,-11.41
Przychody finansowe,,13511.11,-99.27,1782.22,33.65,-98.06,6281.82,129.84,-96.25,247.11,-56.67,2161.54
Koszty finansowe,,-70.07,-7.17,-55.8,-9.07,272.61,-75.76,151.29,-29.53,-13.8,401.37,-41.06
Pozostałe przychody (koszty),,-74.56,-100.0,,,,-100.0,,,,,
Zysk z działalności gospodarczej,,183.15,96.53,22.15,-17.49,19.04,28.87,-4.17,-55.34,218.86,50.3,-2.78
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,
Zysk przed opodatkowaniem,,183.15,96.53,22.15,-17.49,19.04,28.87,-4.17,-55.34,218.86,50.3,-2.78
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,
Zysk netto,,192.77,91.71,-2.01,-24.97,7.51,41.63,3.43,-58.58,218.34,48.89,-2.54
Zysk netto akcjonariuszy jednostki dominującej,,192.77,91.71,-2.01,-24.97,7.51,41.63,3.43,-58.58,218.34,48.89,-2.54
Aktywa trwałe,,-1.72,0.39,-1.61,12.46,25.59,4.69,63.99,2.6,-4.8,-4.72,3.24
Wartości niematerialne i prawne,,6.53,-2.95,-3.48,-1.49,4.3,1.01,-1.32,-2.02,-2.6,-0.45,1.48
Rzeczowe składniki majątku trwałego,,-2.72,-6.46,8.3,26.34,30.82,7.47,103.06,4.81,-5.53,-4.89,3.74
Należności długoterminowe,,,,,,,,,,,,
Inwestycje długoterminowe,,-100.0,,,,,-4.47,-4.68,-100.0,,,
Pozostałe aktywa trwałe,,,341.49,-61.35,-33.13,77.64,-5.63,-59.11,207.16,8.29,-43.14,-2.88
Aktywa obrotowe,,7.64,78.66,41.23,-8.94,-23.87,18.73,3.14,12.56,55.28,1.43,1.75
Zapasy,,59.37,57.95,11.45,19.65,18.93,32.0,-5.55,21.37,26.46,26.59,-7.49
Należności krótkoterminowe,,-19.82,38.76,-13.94,32.37,18.63,-3.28,53.92,-10.92,-6.11,35.76,22.12
Inwestycje krótkoterminowe,,-8.76,140.54,92.77,-32.25,-81.41,-7.87,-57.38,82.91,730.42,-65.66,25.37
Środki pieniężne i inne aktywa pieniężne,,60.64,140.57,92.77,-32.25,-81.43,-7.81,-57.38,80.41,741.9,-65.66,25.37
Pozostałe aktywa obrotowe,,-17.29,39.78,111.09,-31.23,-17.39,42.09,10.85,-30.47,-100.0,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,
Aktywa razem,,2.12,34.28,23.07,-1.69,-4.69,11.56,32.31,6.64,20.93,-1.34,2.4
Kapitał własny akcjonariuszy jednostki dominującej,,681.57,96.62,89.04,8.75,6.44,13.39,10.95,9.03,25.95,4.15,1.07
Kapitał (fundusz) podstawowy,,39.08,0.0,-87.49,0.0,0.14,0.14,0.17,0.25,0.16,0.19,0.38
Udziały (akcje) własne,,,5.52,-100.0,,,,,,,,
Kapitał (fundusz) zapasowy,,-53.33,85.04,190.48,11.65,2.72,2.41,10.35,22.58,-70.05,0.0,0.0
Udziały niekontrolujące,,,,,,,,,,,,
Zobowiązania długoterminowe,,1.43,-8.66,-2.19,-11.23,-58.39,19.05,130.28,-27.82,2.96,-18.54,4.44
Z tytułu dostaw i usług,,-37.81,29.16,-38.94,18.74,34.0,41.11,-3.73,27.3,-19.65,45.54,13.62
Kredyty i pożyczki,,-73.13,2132.14,0.0,-100.0,,,,,208.46,-82.02,-100.0
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-85.01,384.28,-84.88,-22.16,1225.83,-98.72,20729.87,10.64,6.16,-0.78,47.24
Inne zobowiązania długoterminowe,,-14.87,-4.36,3.7,-0.84,5.39,1.99,-19.97,-13.43,-3.16,-3.19,-2.16
Zobowiązania krótkoterminowe,,-54.1,92.86,-32.25,-21.78,75.79,0.51,41.66,41.43,20.37,-5.63,5.03
Inne zobowiązania krótkoterminowe,,-86.36,32.92,-13.13,175.1,118.76,-36.28,-7.11,16.49,-14.0,172.9,-43.13
Rozliczenia międzyokresowe,,,,,,,,,,,,
Pasywa razem,,2.12,34.28,23.07,-1.69,-4.69,11.56,32.31,6.64,20.93,-1.34,2.4
Przepływy pieniężne z działalności operacyjnej,,-16.69,117.76,33.4,-15.35,13.88,27.86,73.12,-26.67,10.49,83.82,20.91
Amortyzacja,,-29.72,-11.71,10.4,15.74,10.04,37.01,248.7,-0.81,-2.39,0.81,11.27
Przepływy pieniężne z działalności inwestycyjnej,,-97.93,-708.55,-593.26,-178.85,-48.97,40.25,-37.34,5.55,98.49,-3137.5,-41.17
CAPEX (niematerialne i rzeczowe),,-92.37,18.79,591.96,167.42,48.54,-40.14,37.28,26.91,-92.3,461.99,24.03
Przepływy pieniężne z działalności finansowej,,67.37,243.47,275.56,-301.04,-41.57,56.11,-116.09,51.41,125.9,-2187.36,25.43
Emisja akcji,,,,,,,,20.0,50.0,-33.33,16.67,-100.0
Dywidenda,,,,,,25.92,1.36,19.24,-100.0,,,10.32
Przepływy pieniężne razem,,-21.57,272.32,59.03,-166.91,-71.04,98.22,-577.34,159.74,1564.51,-174.51,113.27
