,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Period,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,65.72,58.14,39.37,-3.0,-0.49,59.45,38.81,9.08,-25.55,-24.75,3.46,50.54,-1.35,4.48,7.45,44.26
Techniczny koszt wytworzenia produkcji sprzedanej,,73.33,61.89,45.81,-5.95,2.99,60.55,39.8,11.5,-24.58,-29.0,2.23,45.81,-12.88,13.15,8.82,50.77
Koszty sprzedaży,,73.35,19.67,61.69,-20.76,-63.28,390.65,27.75,-20.35,6.26,0.02,13.93,7.87,-7.75,18.03,-5.51,-82.4
Koszty ogólnego zarządu,,-2.55,37.99,-3.59,25.47,3.05,14.17,-0.37,31.9,-25.84,10.55,-9.07,-6.96,86.53,47.15,10.07,-15.31
Zysk ze sprzedaży,,65.01,52.95,8.25,19.18,-13.18,40.35,45.5,-10.18,-43.61,13.21,16.17,124.45,49.82,-31.28,1.92,54.07
Pozostałe przychody operacyjne,,261.18,-30.62,52.11,69.91,-25.43,266.26,-61.02,-15.7,48.48,-0.55,-5.41,48.33,1546.31,-63.69,-135.81,-55.45
Pozostałe koszty operacyjne,,120.66,381.27,-73.23,275.87,-52.59,224.63,174.22,-42.95,-50.66,-57.62,62.21,510.23,394.6,-78.71,-8.47,-68.71
Zysk operacyjny (EBIT),,72.72,29.64,24.21,13.41,-9.74,47.73,5.8,1.03,-36.33,22.18,11.08,86.25,83.5,-22.13,-43.32,91.47
Przychody finansowe,,573.68,115.1,15.86,45.56,12.92,-18.82,-30.38,7.42,27.12,-2.8,-60.68,-29.31,14.33,311.73,-61.2,-71.12
Koszty finansowe,,940.35,-16.69,71.26,114.66,48.79,5.33,2.67,38.26,1.14,7.02,9.44,76.87,-33.43,0.71,92.6,10.34
Pozostałe przychody (koszty),,,,,,,,,,,,,,,100.0,,
Zysk z działalności gospodarczej,,66.67,40.12,20.47,7.76,-16.88,48.86,2.93,-6.7,-43.63,26.68,2.35,85.28,135.32,-20.36,-68.62,171.16
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,66.67,40.12,20.47,7.76,-16.88,48.86,2.93,-6.7,-43.63,26.68,2.35,85.28,135.32,-20.36,-68.62,171.16
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,100.0,,,,
Zysk netto,,63.05,39.36,24.21,11.88,-13.49,46.53,5.73,-15.11,-37.03,18.78,-11.86,81.38,135.67,-9.62,-88.72,737.12
Zysk netto akcjonariuszy jednostki dominującej,,63.05,39.36,24.21,11.88,-13.49,39.11,10.11,-14.86,-36.59,19.08,-8.44,74.44,135.67,-9.62,-88.72,737.12
Aktywa trwałe,,175.51,40.74,120.36,31.4,-7.51,18.26,24.42,9.14,2.2,1.1,-6.8,4.64,13.24,-2.01,-22.45,-39.12
Wartości niematerialne i prawne,,2.94,145.71,-20.93,41.18,-29.17,3604.41,-3.57,-1.44,26.02,-0.07,-95.52,-20.74,14074.77,-2.14,-0.2,0.16
Rzeczowe składniki majątku trwałego,,169.61,40.96,109.39,29.18,-7.16,1.0,26.15,11.14,1.76,1.67,-9.89,4.33,8.48,-12.03,-25.12,-62.53
Należności długoterminowe,,,,,,,,,,,,,0.1,51.79,370.08,75.95,-13.93
Inwestycje długoterminowe,,,0.0,763.1,60.92,-8.7,166.1,14.77,3.94,0.23,-0.68,-0.24,-3.97,-31.18,-11.23,-6.96,-5.53
Pozostałe aktywa trwałe,,50.65,231.9,-1.04,0.52,-68.93,454.62,248.03,-24.6,42.78,-8.33,181.65,55.32,62.61,71.0,-57.31,37.39
Aktywa obrotowe,,75.24,26.33,131.5,6.32,10.36,33.82,15.14,13.47,8.41,1.6,35.46,-3.78,62.77,2.72,7.87,25.91
Zapasy,,13.46,89.76,53.51,39.01,-23.48,61.68,1.97,24.06,96.21,40.26,-5.51,-47.86,-47.8,18.86,1.63,40.05
Należności krótkoterminowe,,131.72,14.66,88.39,30.83,19.77,24.93,16.83,9.02,31.43,-17.6,78.2,42.57,81.22,15.73,9.95,15.47
Inwestycje krótkoterminowe,,66.8,10.11,200.48,-7.49,14.51,30.84,18.38,18.66,-38.75,-8.8,27.72,-43.6,99.41,-69.34,-28.46,354.73
Środki pieniężne i inne aktywa pieniężne,,66.8,10.11,200.48,-7.49,-2.15,40.66,28.87,18.0,-38.7,-9.39,28.71,-48.27,103.18,-67.07,-28.46,354.73
Pozostałe aktywa obrotowe,,176.36,393.42,405.2,-88.44,200.68,106.91,18.09,-65.32,-9.5,59.5,-19.8,133.75,-35.56,93.99,28.29,-100.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,-100.0,,,,,,-100.0,,,,
Aktywa razem,,121.34,34.58,124.83,21.03,-1.02,24.56,20.38,10.94,4.84,1.32,11.85,0.14,38.67,0.84,-3.84,5.67
Kapitał własny akcjonariuszy jednostki dominującej,,95.74,18.2,160.38,7.87,1.61,20.24,8.31,3.2,3.62,4.59,-8.94,7.07,30.82,11.2,-8.97,12.91
Kapitał (fundusz) podstawowy,,43.54,0.0,27.21,0.0,0.0,14.53,0.0,0.0,0.0,0.0,0.0,0.0,67.46,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,617.1,39.95,152.56,19.57,15.95,30.39,14.55,13.4,4.71,6.37,6.03,-12.52,41.58,14.35,0.34,3.71
Udziały niekontrolujące,,,,,,,,1.71,1.9,13.15,-0.13,-100.0,,,,0.0,0.0
Zobowiązania długoterminowe,,2270.65,114.51,7.12,104.52,-22.67,-14.77,134.66,136.17,-3.09,-14.75,23.11,-10.14,37.95,-1.7,-3.18,-30.69
Z tytułu dostaw i usług,,146.23,44.72,50.48,3.6,-34.0,63.06,27.0,63.4,1.42,-27.53,1.21,5.25,5.23,209.08,-8.51,19.43
Kredyty i pożyczki,,,378.99,76.97,356.43,53.63,20.49,16.28,-88.47,141.12,139.2,23.39,7.26,38.59,-4.89,33.8,11.09
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,120.0,59.09,42.57,559.12,-33.81,15.62,22.21,-32.35,112.97,87.7,39.81,2.38,-40.51,155.63,-45.06,-33.34
Inne zobowiązania długoterminowe,,,,,,70.73,24.29,28.21,64.97,53.34,28.95,556.07,13.13,39.36,-13.64,-10.51,16.72
