,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Period,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,90.35,55.59,57.76,-8.75,15.64,38.4,-9.38,-11.62,38.28,4.21,1.5,0.88,29.16,-0.79,-3.68,39.21,24.29,-16.11
Techniczny koszt wytworzenia produkcji sprzedanej,,84.6,55.96,55.53,-11.36,22.9,45.07,-12.81,-12.89,40.62,3.06,1.14,0.82,33.99,-3.39,-6.08,38.04,29.36,-16.74
Koszty sprzedaży,,-100.0,,207.13,8.01,107.28,22.7,10.05,-12.9,40.7,31.17,-19.36,4.81,-2.44,12.12,50.07,20.21,22.43,16.83
Koszty ogólnego zarządu,,139.58,57.95,64.33,33.41,4.54,-9.71,1.0,17.51,3.84,26.5,12.26,7.06,7.27,-0.02,28.54,56.82,-2.76,8.02
Zysk ze sprzedaży,,220.48,46.13,91.64,5.21,-67.59,-159.58,356.48,-2.33,14.61,15.7,0.63,-8.62,-121.1,672.15,36.09,46.42,-70.89,-105.93
Pozostałe przychody operacyjne,,171.35,63.45,-36.77,0.19,21.27,-9.1,-41.44,141.0,85.89,43.56,-41.94,17.64,-81.45,651.36,-37.15,-108.05,142.06,7402.0
Pozostałe koszty operacyjne,,-13.34,262.96,1.13,43.6,-43.6,-37.2,68.61,2.31,10.97,42.09,-19.43,66.36,-28.74,-21.88,-19.31,-32.84,59.38,7.88
Zysk operacyjny (EBIT),,308.81,29.27,85.65,-0.6,-65.49,-158.74,339.89,11.48,31.53,19.48,-11.06,-17.7,-145.89,437.4,20.92,28.6,-77.03,-3.7
Przychody finansowe,,-44.93,1396.76,-8.54,-35.45,-36.2,77.0,18.33,-60.68,11.17,20.9,62.64,-60.53,111.95,-60.81,175.95,24.52,68.22,12.88
Koszty finansowe,,-72.88,524.2,1022.4,-80.83,-25.19,100.9,-8.63,-25.52,-1.18,4.13,-9.36,-0.19,4.24,11.29,11.31,4.72,154.65,34.97
Pozostałe przychody (koszty),,,,,54.29,6193.75,-100.0,,,100.0,,,,,,,,-830.13,4375.6
Zysk z działalności gospodarczej,,450.27,55.02,-63.56,293.95,-66.29,-210.61,211.88,6.79,43.68,24.34,-3.59,-29.68,-171.12,326.15,31.43,32.9,-101.89,3223.39
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,450.27,55.02,-63.56,293.95,-66.29,-210.61,211.88,6.79,43.68,24.34,-3.59,-29.68,-171.12,326.15,31.43,32.9,-101.89,3223.39
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,100.0,,,,,,
Zysk netto,,501.58,57.59,-67.09,306.47,-71.47,-262.26,193.97,-2.42,54.28,13.61,-96.6,2124.16,-188.32,265.8,43.74,-57.64,-48.48,111.89
Zysk netto akcjonariuszy jednostki dominującej,,501.58,57.34,-70.8,348.73,-70.96,-268.33,184.6,-0.03,53.52,5.35,-93.57,1159.8,-190.32,265.06,38.73,-54.27,-61.14,20.65
Aktywa trwałe,,70.79,238.96,116.68,-6.72,21.13,12.51,-2.27,-4.9,37.71,7.66,-40.72,17.01,30.19,20.35,10.54,57.1,34.32,7.76
Wartości niematerialne i prawne,,11.24,10.23,980.53,2.04,0.33,0.96,7.08,-1.58,11.19,4.01,-1.21,-7.86,71.81,-0.4,35.34,-3.84,7.8,-2.38
Rzeczowe składniki majątku trwałego,,125.3,242.17,122.97,-3.42,-7.1,-11.03,17.87,1.5,16.33,11.31,0.24,6.97,47.11,44.98,-0.91,61.23,16.63,19.42
Należności długoterminowe,,,,55.21,-81.88,140.74,-7.69,1191.67,-100.0,,,,,-43.62,-4.77,32.2,20.23,-40.58,8.4
Inwestycje długoterminowe,,14.34,805.07,-2.12,13.28,134.37,6.26,-28.81,-6.35,107.91,23.84,-95.53,210.22,-35.55,-52.7,161.76,552.6,116.55,-29.7
Pozostałe aktywa trwałe,,86.39,148.56,110.63,-25.44,8.53,65.79,-0.73,-7.81,25.98,-12.53,-24.2,-22.31,32.14,10.24,-0.81,48.85,66.39,32.53
Aktywa obrotowe,,69.16,218.47,23.16,-6.02,-0.78,26.75,7.38,-2.54,31.13,3.94,-8.71,-2.63,14.5,4.57,0.65,51.87,4.65,-4.88
Zapasy,,-87.58,33592.9,21.95,-31.2,-3.65,12.59,6.81,-4.11,1.64,13.9,-97.85,319.91,73.62,334.43,-70.54,162.15,137.58,-12.84
Należności krótkoterminowe,,35.94,32.33,115.29,-13.88,-4.33,35.45,13.0,-15.26,39.19,2.54,19.1,52.8,14.93,4.59,-16.93,60.84,23.59,-13.83
Inwestycje krótkoterminowe,,43.12,571.53,-42.19,51.66,-13.33,6.31,24.9,-38.26,112.76,-2.25,7.89,-28.12,9.96,-25.63,116.82,27.02,-53.96,52.0
Środki pieniężne i inne aktywa pieniężne,,44.19,335.61,-9.97,49.29,-14.67,9.55,25.1,-38.25,67.96,21.45,1.23,-26.08,8.64,-28.25,97.37,24.14,-54.86,60.48
Pozostałe aktywa obrotowe,,1068.62,-23.68,178.92,-24.9,58.85,61.41,-23.12,101.81,-10.67,7.45,-17.79,-96.77,9.06,12.45,-23.54,176.15,-48.43,11.68
Aktywa trwałe przeznaczone do sprzedaży,,,-100.0,,,,,,,,,-100.0,,,,,,,
Aktywa razem,,69.3,220.28,31.92,-6.13,2.57,24.18,5.8,-2.9,32.1,4.51,-13.8,-0.49,16.52,6.84,2.25,52.78,9.99,-2.1
Kapitał własny akcjonariuszy jednostki dominującej,,104.48,368.77,4.62,16.97,1.55,-7.77,7.72,7.3,7.58,8.94,-15.8,9.61,-15.47,14.37,12.89,83.65,-2.17,-0.62
Kapitał (fundusz) podstawowy,,400.0,25.7,0.0,0.0,0.24,0.32,0.32,0.24,0.39,0.39,0.0,0.0,0.0,0.0,-3.2,0.0,-2.42,-1.4
Udziały (akcje) własne,,,,,,100.0,,,,,,,,,,,,71.43,100.0
Kapitał (fundusz) zapasowy,,32.16,550.05,17.81,-1.87,17.39,14.65,-10.37,3.44,0.27,2.8,-7.15,0.0,-0.59,0.0,-7.75,5.92,23.03,10.43
Udziały niekontrolujące,,,,13.66,-85.42,224.38,4.73,40.37,-13.25,10.26,28.2,-45.93,9.34,-22.62,5.09,16.11,1296.74,-5.51,10.28
Zobowiązania długoterminowe,,154.78,574.41,102.62,-54.7,31.85,101.6,-4.67,-40.82,136.18,-4.52,-41.26,-2.72,42.96,23.85,-45.88,174.78,17.12,-4.41
Z tytułu dostaw i usług,,26.52,68.13,34.08,28.24,0.29,16.73,32.52,-34.64,101.15,-32.18,18.68,-2.21,32.13,-26.01,-13.67,40.38,22.11,-36.71
Kredyty i pożyczki,,-45.8,1695.49,12.57,32.58,-18.75,177.39,-43.28,-35.54,17.91,181.99,-46.06,0.1,-8.33,194.36,-79.56,79.48,131.68,-62.15
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,-100.0,,,,-100.0,,,-100.0,,186.35
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,-8.22,6.34,-3.14,-12.04,473.7,-51.89,-2.92,46.82,-4.04
Inne zobowiązania długoterminowe,,138.0,271.41,5.19,32.86,4.12,22.75,-6.45,8.26,18.67,-18.39,-61.27,2.68,92.72,86.33,-37.84,48.31,3.69,-0.14
Zobowiązania krótkoterminowe,,55.34,124.38,42.16,-2.24,-2.29,35.55,6.66,0.65,32.39,4.16,-6.14,-4.54,28.85,1.91,7.23,15.58,17.73,-3.72
Inne zobowiązania krótkoterminowe,,180.47,175.8,56.21,-34.44,-2.32,37.21,-10.11,52.93,-2.78,51.06,-17.67,-10.08,35.31,4.9,50.37,11.99,4.13,34.09
Rozliczenia międzyokresowe,,,-100.0,,,,,,,,,,,,,,,,
Pasywa razem,,69.3,220.28,31.92,-6.13,2.57,24.18,5.8,-2.9,32.1,4.51,-13.8,-0.49,16.52,6.84,2.25,52.78,9.99,-2.1
Przepływy pieniężne z działalności operacyjnej,,1163.85,163.66,-245.19,392.12,-84.64,-383.47,233.16,-161.39,296.94,-82.72,301.31,-158.9,253.56,-271.82,362.41,-157.02,21.77,289.58
Amortyzacja,,34.75,45.66,242.07,23.84,4.32,-3.17,-4.73,1.82,15.77,19.08,3.1,2.68,33.94,226.23,-53.07,19.42,20.92,11.5
Przepływy pieniężne z działalności inwestycyjnej,,-480.39,-1097.6,108.19,-577.34,-51.55,103.23,-480.21,106.75,-6488.01,60.06,361.46,-81.22,-700.78,82.37,-371.68,-525.63,63.68,36.38
CAPEX (niematerialne i rzeczowe),,103.44,-13.93,53.77,-24.86,45.53,-53.01,90.1,-52.29,238.93,338.48,-86.31,4.69,233.49,-11.08,7.83,556.5,-38.45,-58.03
Przepływy pieniężne z działalności finansowej,,277.24,8710.29,-75.36,-297.68,93.19,1835.8,-154.5,46.96,102.63,5803.97,-279.21,56.52,15.85,366.77,-319.16,383.62,-102.95,-992.02
Emisja akcji,,,14989.63,-100.0,,,-30.38,30.92,-32.66,29.6,5.37,-100.0,,,,,,,
Dywidenda,,,,,,316.35,-100.0,,,,-29.8,227.63,-28.65,-0.6,-100.0,,60.56,-84.67,1998.0
Przepływy pieniężne razem,,1804.15,998.7,-112.5,559.37,-144.44,155.54,185.97,-291.93,209.71,-47.0,-21.7,-290.98,124.5,-455.1,347.37,-51.09,-382.13,149.77
