,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,9.38,15.87,7.0,11.62,-0.68,-1.04,-0.71,41.06,-1.04,36.18,5.19,39.13,29.27
Techniczny koszt wytworzenia produkcji sprzedanej,,6.19,10.54,19.68,1.38,6.09,27.43,-3.92,50.23,-1.51,39.13,0.17,26.14,-0.29
Koszty sprzedaży,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,
Zysk ze sprzedaży,,11.67,19.51,-1.01,19.45,-5.07,-21.67,3.06,30.99,-0.44,32.5,11.75,54.38,32.89
Pozostałe przychody operacyjne,,-45.73,-40.1,220.43,-28.95,-51.42,155.14,-85.13,927.01,34.2,77.12,150.95,-15.51,-155.72
Pozostałe koszty operacyjne,,-19.35,-79.15,73.36,166.65,-75.97,258.24,-58.67,67.75,77.19,-77.16,176.94,288.3,23.87
Zysk operacyjny (EBIT),,-24.27,-2.81,62.17,-10.18,-23.26,25.53,-46.11,173.93,19.14,65.45,112.28,-6.65,-113.5
Przychody finansowe,,-91.82,1226.07,-89.59,95.21,61.94,-32.33,245.25,-92.82,762.04,-82.46,72.57,-75.8,13207.68
Koszty finansowe,,233.92,-62.95,179.88,-43.84,10.15,-48.12,-22.35,96.28,-11.42,230.31,-59.88,72.27,31.92
Pozostałe przychody (koszty),,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-83.82,342.11,-19.76,30.25,-33.83,74.33,-35.44,116.42,34.13,28.73,185.31,-11.74,-111.5
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-83.82,342.11,-19.76,30.25,-33.83,74.33,-35.44,116.42,34.13,28.73,185.31,-11.74,-111.5
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,-88.01,486.82,-0.61,-3.25,36.26,-11.01,-28.8,95.38,40.02,31.69,182.02,-12.09,-112.32
Zysk netto akcjonariuszy jednostki dominującej,,-88.01,486.82,-0.61,-3.25,36.26,-11.01,-28.8,95.38,40.02,31.69,182.02,-12.09,-112.32
Aktywa trwałe,,7.82,7.36,-1.67,11.62,-11.98,12.44,19.01,22.54,20.89,30.13,44.52,32.35,2.02
Wartości niematerialne i prawne,,0.0,35.71,21.05,-56.52,-50.0,300.0,3590.0,-8.13,-81.42,16.67,-6.12,-57.25,59.32
Rzeczowe składniki majątku trwałego,,-0.49,-17.13,-88.61,-1.21,87.17,4.46,-27.29,-24.21,187.33,1.78,111.76,202.38,149.17
Należności długoterminowe,,-99.88,0.0,-100.0,,,,,,,,,,
Inwestycje długoterminowe,,8.28,7.46,-1.68,12.13,-12.94,13.14,19.04,23.04,21.04,29.99,44.64,32.26,1.67
Pozostałe aktywa trwałe,,,27.59,140.31,-58.93,341.4,-39.76,11.23,-48.56,-39.71,153.19,-16.64,-15.51,35.78
Aktywa obrotowe,,12.69,-30.34,416.01,19.37,9.91,-31.98,-13.22,17.01,71.75,23.25,12.97,26.3,1.71
Zapasy,,,,,-56.14,-68.0,567.5,-8.24,-41.22,-66.67,12.5,-64.81,-100.0,
Należności krótkoterminowe,,-23.81,43.95,34.1,113.04,-35.48,116.0,-37.75,115.41,15.6,33.07,-14.83,21.31,-27.78
Inwestycje krótkoterminowe,,25.91,-46.63,640.25,9.49,19.44,-48.77,-1.6,-12.38,113.44,19.33,25.38,27.82,10.03
Środki pieniężne i inne aktywa pieniężne,,31.19,-46.43,354.01,-38.18,163.42,-54.79,5.08,-28.88,121.33,59.74,8.73,77.84,9.22
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,8.03,5.66,10.74,12.69,-8.77,4.6,15.31,22.06,25.1,29.35,41.1,31.82,1.99
Kapitał własny akcjonariuszy jednostki dominującej,,-1.71,16.95,35.97,9.63,16.04,4.38,7.54,12.21,15.11,29.11,50.57,36.91,-4.1
Kapitał (fundusz) podstawowy,,0.0,0.0,20.01,0.0,0.0,0.0,0.0,0.0,0.0,8.88,8.38,12.26,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,0.0,91.8,69.73,36.16,0.0,0.0,0.0,0.75,0.2,35.47,-27.46,59.64,-0.01
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,13.82,0.15,4.67,16.16,-26.94,7.79,30.81,32.98,28.29,41.56,25.29,28.89,5.93
Z tytułu dostaw i usług,,93.38,-1.52,76.78,-9.65,98.66,-15.03,-13.66,33.76,113.78,-47.15,88.83,55.08,-24.12
Kredyty i pożyczki,,9.17,-1.53,-43.0,17.19,-79.44,-29.88,54.08,45.67,75.6,-47.79,-6.04,54.55,129.33
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,3805.79,-46.15,118.58
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,,,
Inne zobowiązania długoterminowe,,27.64,17.54,3.12,10.19,-30.15,8.03,11.58,19.66,32.12,20.54,43.69,30.23,-6.36
Zobowiązania krótkoterminowe,,14.1,-1.19,-30.93,11.86,-39.42,-10.65,-6.92,37.1,91.99,-41.35,147.48,14.06,25.74
Inne zobowiązania krótkoterminowe,,-42.52,248.4,-63.04,665.96,70.14,154.15,-65.36,19.85,-62.29,463.75,10.87,32.25,-27.48
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,8.03,5.66,10.74,12.69,-8.77,4.6,15.31,22.06,25.1,29.35,41.1,31.82,1.99
Przepływy pieniężne z działalności operacyjnej,,33.27,4.06,-1.62,-14.05,44.36,-66.56,159.95,-34.56,139.11,7.7,77.64,-0.05,7.44
Amortyzacja,,107.57,35.94,-74.9,35.88,7.87,19.79,13.91,29.77,173.53,-25.27,-78.13,179.61,59.53
Przepływy pieniężne z działalności inwestycyjnej,,47.86,-211.22,35.23,-19.85,606.85,-125.17,-230.16,-6.54,-6.43,-89.06,244.84,-189.26,4.28
CAPEX (niematerialne i rzeczowe),,-65.99,353.55,-22.03,69.64,42.59,-38.73,174.38,4.09,17.52,61.51,51.24,9.0,-17.06
