,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,22.85,42.05,62.31,14.67,22.65,-5.23,31.96,-5.98,-48.78,-7.58,-15.51,10.01,-21.63,-7.85,25.28,7.56,-4.43,23.7,3.78
Techniczny koszt wytworzenia produkcji sprzedanej,,18.34,42.57,62.25,9.43,20.36,0.58,43.43,-6.73,-44.63,-21.38,-17.11,10.04,-23.4,-0.96,25.18,3.77,-6.06,26.51,5.44
Koszty sprzedaży,,-32.01,-49.38,-1.55,48.75,97.35,-51.03,56.67,25.67,-100.0,,,,,,,,,,
Koszty ogólnego zarządu,,4.02,7.89,8.66,26.2,20.21,-3.44,-15.59,4.84,-21.1,-14.42,-7.19,11.46,18.43,0.75,-0.89,-1.96,0.86,6.32,4.58
Zysk ze sprzedaży,,90.58,389.41,374.93,206.06,55.68,-68.79,-311.51,18.19,-80.99,124.2,19.35,8.26,-19.87,-143.41,50.77,444.75,39.33,-16.88,-51.7
Pozostałe przychody operacyjne,,-11.83,46.29,3.47,1.03,2.64,-19.23,-14.03,19.01,-74.12,14.72,0.99,-49.31,-7.64,91.64,239.5,-69.31,-74.48,1114.27,-68.32
Pozostałe koszty operacyjne,,-30.63,-13.58,0.09,132.52,35.58,-79.89,68.63,12.74,3.07,23.15,-39.76,9.07,49.6,-73.46,-22.21,93.28,20.06,110.65,-82.91
Zysk operacyjny (EBIT),,85.29,395.47,177.98,106.96,48.72,-53.47,-271.66,19.47,-103.68,110.08,105.01,-3.35,-54.83,-214.98,140.7,238.38,17.67,-8.75,-32.38
Przychody finansowe,,-94.04,170.02,122.33,99.45,-2.9,-36.03,-19.52,-4.87,-79.07,218.23,-42.48,118.06,49.27,-52.49,73.99,-61.84,49.35,9.53,133.15
Koszty finansowe,,-54.1,-43.07,26.58,188.41,28.38,-64.9,34.07,84.49,-1.87,-13.76,-53.99,36.47,-38.68,82.26,-21.96,74.27,-54.87,43.59,6.84
