,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-22.33,29.2,12.15,17.25,-1.54,-1.17,-4.56,43.21,-9.42,9.38,1.51,-18.08,29.53,14.66,23.43,37.8,26.37,-9.03,12.84
Techniczny koszt wytworzenia produkcji sprzedanej,,-31.57,33.36,28.94,-4.36,-5.67,0.13,-4.08,72.15,-15.03,10.09,15.77,-14.79,84.61,30.11,10.16,43.11,16.88,-20.37,20.39
Koszty sprzedaży,,5.63,15.1,120.74,-0.68,-15.63,22.65,19.33,9.01,-4.43,12.55,14.85,50.97,-47.8,1.39,1.84,3.37,53.19,9.41,-1.25
Koszty ogólnego zarządu,,-6.85,51.47,12.04,-1.36,-22.92,8.35,29.87,4.53,-0.24,20.49,34.33,14.85,18.87,-22.11,3.56,5.23,57.08,-3.28,7.85
Zysk ze sprzedaży,,-16.74,20.55,-13.47,62.51,9.28,-5.97,-14.75,32.83,-5.32,5.27,-26.85,-57.33,-98.91,-3296.81,419.31,45.28,73.42,48.24,-5.76
Pozostałe przychody operacyjne,,226.52,49.9,26.92,58.07,-95.65,262.4,393.4,-108.42,1043.7,53.03,63.61,-24.35,-44.79,47.16,-9.52,-44.0,-40.66,-95.14,-1014.65
Pozostałe koszty operacyjne,,-150.08,113.85,860.93,-19.95,120.75,211.26,-86.64,-100.0,,40.96,-32.86,136.43,2.66,-6.52,23.12,-76.47,72.05,-16.89,45.14
Zysk operacyjny (EBIT),,1311.53,30.49,8.16,62.97,-70.8,-13.99,219.74,-64.88,162.17,33.32,37.58,-33.63,-54.56,47.19,11.3,-24.88,-7.28,-12.17,-34.39
Przychody finansowe,,-0.7,80.84,43.16,-69.25,1228.74,89.1,-98.89,-84.99,3425.27,-85.63,252.42,879.09,203.1,-71.15,-42.96,-36.88,47.6,127.65,-62.87
Koszty finansowe,,-17.89,50.7,21.57,363.4,-52.49,35.86,-37.41,-0.41,11.61,-2.91,51.56,70.84,-75.62,-37.44,11.17,-11.44,100.1,24.83,20.96
Pozostałe przychody (koszty),,-90.57,56.1,200.26,-468.88,112.33,98.83,-572.42,172.81,-116.27,-144.27,105.6,-1704.27,188.27,-7.53,-114.19,-1863.81,143.7,-4.58,247.27
Zysk z działalności gospodarczej,,676.64,29.7,15.53,-63.64,-10.83,5.95,45.42,-7.92,73.62,40.37,51.2,-72.02,91.61,16.8,-6.18,-55.65,48.29,-16.38,-18.58
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,676.64,29.7,15.53,-63.64,-10.83,5.95,45.42,-7.92,73.62,40.37,51.2,-72.02,91.61,16.8,-6.18,-55.65,48.29,-16.38,-18.58
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,699.27,32.24,16.23,-67.87,-0.49,42.38,40.77,80.01,-11.48,22.37,26.86,-24.58,-19.48,-2.18,-1.91,-59.24,68.26,-23.8,-24.71
Zysk netto akcjonariuszy jednostki dominującej,,636.44,43.06,16.63,-67.87,-0.5,42.47,40.69,79.99,-11.5,22.36,26.89,-24.58,-19.48,-2.18,-1.91,-59.24,54.74,-32.7,-46.97
Aktywa trwałe,,7.49,28.33,14.23,33.33,8.17,-0.31,16.68,-0.07,10.05,21.66,-71.53,-2.71,8.89,41.37,23.7,-5.09,-10.66,7.76,10.77
Wartości niematerialne i prawne,,28.79,7.06,476.92,90.86,4.89,16.75,16.38,-16.95,-31.28,-41.96,-66.17,84.38,-17.97,919.83,51.58,-7.54,1939.0,1.73,6.43
Rzeczowe składniki majątku trwałego,,14.44,67.98,13.64,-95.75,-6.45,34.04,123.89,0.02,34.95,-38.62,-61.88,-50.85,28.71,-19.92,188.23,8.19,130.56,-5.99,-6.49
Należności długoterminowe,,,,980.0,7.41,-31.03,-2.5,-100.0,,,,,,,,,,,,
Inwestycje długoterminowe,,6.84,19.31,16.29,63.56,8.37,0.28,15.73,0.26,9.26,22.13,-72.74,-3.27,11.35,44.12,23.51,-5.39,-15.53,7.62,10.99
Pozostałe aktywa trwałe,,-22.96,225.02,-50.47,69.02,0.14,-63.79,58.17,-53.85,174.73,103.22,25.35,18.36,-30.51,-18.88,2.69,4.77,31.06,29.76,19.37
Aktywa obrotowe,,43.77,24.26,67.9,-6.69,-21.15,31.76,28.17,3.4,28.65,-29.19,492.92,-73.09,20.67,-26.65,16.86,51.05,38.35,-13.61,-12.03
Zapasy,,-21.93,21.97,136.52,-1.11,-13.59,12.86,5.55,-7.55,7.86,19.98,-0.64,10.23,3.97,13.1,36.34,-12.08,78.38,-3.48,-2.45
Należności krótkoterminowe,,63.13,58.22,-19.26,71.16,22.68,-26.6,63.76,-19.56,347.85,-81.55,-11.69,214.56,21.41,-14.78,-10.57,-21.84,-6.02,117.11,-9.96
Inwestycje krótkoterminowe,,233.54,19.18,43.27,-24.5,-47.1,123.24,47.33,-24.9,9.28,-3.37,110.02,-26.43,18.26,-34.08,2.92,-16.62,59.59,42.45,-11.81
Środki pieniężne i inne aktywa pieniężne,,229.42,22.81,32.32,-18.34,-47.45,124.3,48.01,-40.07,6.13,1.58,126.43,-22.52,6.28,-35.01,12.0,-33.56,79.97,60.02,-13.61
Pozostałe aktywa obrotowe,,-78.41,24.19,-100.0,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,-62.35,-100.0,,-96.18,83.31,-96.28,69.8,5437.36,8.83,-74.28,-58.11
Aktywa razem,,13.78,27.44,25.69,21.92,1.77,5.12,19.12,0.72,14.4,8.27,25.7,-59.9,15.32,2.56,20.91,17.05,14.28,-5.41,-2.06
Kapitał własny akcjonariuszy jednostki dominującej,,27.0,30.33,27.09,8.0,5.67,8.18,11.73,16.04,13.73,14.28,15.92,-58.29,3.89,-5.81,4.47,7.83,-0.3,-2.13,2.82
Kapitał (fundusz) podstawowy,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,100.0,,,,,,,,,,
