,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,2.34,64.87,54.37,8.01,5.79,-2.11,-10.79,21.96,17.21,-16.32,19.2,0.54,17.82,5.85,12.5
Techniczny koszt wytworzenia produkcji sprzedanej,,-15.47,49.69,68.16,29.92,18.93,-28.67,-22.55,28.21,58.53,-6.07,22.23,-5.61,19.07,-6.87,10.62
Koszty sprzedaży,,-21.47,26.82,103.47,12.69,45.06,3.26,-18.03,15.65,7.42,3.57,92.07,-47.47,34.41,-20.02,6.64
Koszty ogólnego zarządu,,-33.2,10.1,31.77,67.62,15.91,-2.28,-5.58,14.05,45.65,27.87,-45.38,41.71,1.57,115.25,22.23
Zysk ze sprzedaży,,282.16,124.62,28.63,-49.66,-88.43,1562.13,20.03,14.34,-63.21,-143.41,-18.39,166.66,-4.59,206.54,17.71
Pozostałe przychody operacyjne,,-23.6,11.64,-13.49,30.6,145.1,-65.59,-16.15,42.03,170.61,-3.61,-4.26,28.89,171.14,-45.62,-29.81
Pozostałe koszty operacyjne,,1.41,-34.12,56.81,-6.52,127.05,-23.48,-16.97,-11.61,72.56,22.25,-46.45,51.35,-12.31,-9.86,43.56
Zysk operacyjny (EBIT),,86.85,107.31,18.98,-40.89,-36.11,150.44,18.02,19.61,-37.98,-83.62,12.7,312.18,165.77,-25.89,-18.59
Przychody finansowe,,-45.92,-64.12,3206.84,124.65,-53.97,-71.48,63.13,-45.17,154.76,-6.33,-25.43,-68.7,6.0,416.49,-5.4
Koszty finansowe,,-72.2,-0.13,84.52,12.98,14.19,493.04,-40.7,-54.83,-55.37,-18.34,44.77,-48.45,92.67,-59.72,130.69
Pozostałe przychody (koszty),,-92.0,454.56,278.39,-78.52,267.51,-94.69,-142.94,597.76,-200.3,-1110.29,146.06,-632.15,97.68,-3170.01,88.41
Zysk z działalności gospodarczej,,372.28,156.94,26.05,-54.46,-43.66,-380.77,120.89,529.14,-30.52,-127.86,104.81,1114.05,1293.67,-40.36,-9.17
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,372.28,156.94,26.05,-54.46,-43.66,-380.77,120.89,529.14,-30.52,-127.86,104.81,1114.05,1293.67,-40.36,-9.17
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,481.83,162.01,21.96,-52.27,-42.3,-372.56,123.41,438.2,-29.45,-135.19,107.93,451.83,1317.75,-45.75,-11.93
Zysk netto akcjonariuszy jednostki dominującej,,478.23,161.95,21.98,-52.19,-42.33,-372.1,123.42,438.16,-29.46,-135.19,107.93,451.83,1317.75,-45.75,-11.93
Aktywa trwałe,,45.75,26.63,72.51,-1.18,30.88,-20.65,-6.0,15.54,-10.24,46.41,23.53,-27.22,8.51,-4.44,-3.94
Wartości niematerialne i prawne,,-24.64,14.17,102.71,-31.48,-5.03,-48.69,-11.66,21.73,16.41,-69.29,24.37,-16.46,-32.56,-49.23,16.42
Rzeczowe składniki majątku trwałego,,42.84,28.19,60.37,1.07,38.08,-23.88,-0.72,19.57,-18.73,26.61,60.78,-28.16,8.81,-5.5,-5.83
Należności długoterminowe,,,,53.1,-96.59,4.56,-40.18,1922.7,215.91,80.82,-65.19,-49.94,-74.22,293.87,-71.85,9.07
Inwestycje długoterminowe,,60.85,53.07,1484.62,-28.29,-95.12,-100.0,,-79.24,-100.0,,13.12,-1.92,-100.0,,
Pozostałe aktywa trwałe,,145.07,7.51,55.79,20.48,46.91,8.6,-34.87,-22.6,79.46,173.6,-70.74,-15.51,15.3,10.41,13.98
Aktywa obrotowe,,14.48,70.23,87.05,11.19,-3.86,-32.3,0.45,27.39,-14.63,31.69,-16.56,-26.68,77.19,13.41,-9.46
Zapasy,,18.27,65.77,79.08,12.29,14.24,-38.34,-2.49,50.67,-17.53,24.38,-18.36,-27.86,107.53,5.25,-8.86
Należności krótkoterminowe,,10.13,73.64,111.05,10.15,-29.84,-54.65,87.23,26.46,-20.06,102.63,-19.06,-33.67,70.23,26.58,2.66
Inwestycje krótkoterminowe,,-64.43,20.57,712.98,-37.24,-42.86,433.04,-10.48,-58.62,16.77,-9.71,-4.33,86.65,-47.77,127.53,-53.06
Środki pieniężne i inne aktywa pieniężne,,100.24,-44.01,407.99,37.86,-65.67,412.48,30.73,-31.25,21.56,-4.98,-7.47,95.87,-48.43,131.11,-52.99
Pozostałe aktywa obrotowe,,32.3,87.78,54.8,24.1,-32.1,-43.2,-32.79,-19.89,21.45,-6.31,0.86,-98.17,-60.85,-55.51,-13.08
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,200.36,-100.0,,
Aktywa razem,,29.33,46.9,80.34,5.73,10.47,-26.6,-2.96,21.32,-12.49,39.05,4.54,-27.02,34.59,4.48,-6.94
Kapitał własny akcjonariuszy jednostki dominującej,,97.21,70.07,63.58,3.86,14.69,-41.78,9.18,52.46,-7.16,7.59,19.71,-16.68,46.29,0.75,-5.48
Kapitał (fundusz) podstawowy,,-1.54,-3.6,11.53,-7.44,1.44,2.78,-0.02,3.81,-5.72,3.1,-0.97,8.37,-0.33,1.97,-7.29
Udziały (akcje) własne,,,,,,,,-108.12,-5.02,5.72,-18.69,0.97,-8.37,-10.05,-1.97,19.11
Kapitał (fundusz) zapasowy,,-1.8,-3.69,11.53,-7.44,1.44,2.78,-0.02,3.81,-5.72,3.1,-0.97,8.37,-0.33,1.97,-7.29
Udziały niekontrolujące,,-92.36,43.96,250.51,-32.42,-79.87,-35.51,-50.01,-100.0,,,,,,,
Zobowiązania długoterminowe,,238.9,2.23,109.7,24.14,-20.97,-4.95,-26.91,-14.79,-25.21,33.66,48.93,7.14,3.26,-9.31,12.5
Z tytułu dostaw i usług,,-52.61,37.78,81.06,56.97,-24.7,-55.52,836.56,-85.69,3.36,-0.01,-13.13,-21.85,75.55,13.6,22.0
Kredyty i pożyczki,,-60.43,69.25,100.69,-9.9,27.85,18.75,-40.04,31.54,-13.57,135.5,-36.09,-86.89,-2.43,205.15,-69.75
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,,,,101.36,-22.3,27.47,-9.7,-0.13
Inne zobowiązania długoterminowe,,72.02,0.85,85.16,-23.09,16.02,-8.54,15.33,35.07,-48.78,14.92,-31.53,-41.16,-21.61,79.23,-30.35
Zobowiązania krótkoterminowe,,-50.84,49.52,99.99,-7.38,39.84,-10.51,-1.15,-4.93,-18.88,128.02,-27.26,-68.16,28.19,49.15,-31.14
Inne zobowiązania krótkoterminowe,,39.31,1.5,105.15,-21.15,147.5,-74.0,116.01,16.87,-42.71,37.37,-41.05,-10.04,58.09,21.69,-1.79
Rozliczenia międzyokresowe,,,,,,,,,,,,,,,,
