,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Period,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,6.69,-2.5,1.07,8.23,18.74,12.44,-3.01,0.33,-14.93,3.07,21.26,15.52,7.5,1.12,7.54,-27.45,51.24,31.84,-24.21
Techniczny koszt wytworzenia produkcji sprzedanej,,-1.36,0.0,2.6,8.05,25.18,7.63,0.59,5.81,-7.62,-13.06,25.67,7.82,17.61,11.4,43.55,-15.24,44.02,43.6,-28.62
Koszty sprzedaży,,,-6.18,7.43,-12.1,-75.14,-86.17,-25.1,-31.32,-1.6,764.23,-100.0,,,,,,,,
Koszty ogólnego zarządu,,-8.09,3.3,3.3,9.79,5.96,1.47,3.89,5.41,-19.11,-10.89,-100.0,,,,,,,,
Zysk ze sprzedaży,,9.95,-23.62,-22.35,33.33,42.13,81.6,-26.32,-44.61,-115.23,1448.36,62.03,49.34,-24.53,-49.68,-386.28,-39.54,-27.21,-76.2,37.78
Pozostałe przychody operacyjne,,73.22,21.13,-2.57,-63.5,-21.79,94.78,-34.2,411.86,-92.12,713.83,133.36,-47.36,114.7,4.16,-46.65,65.74,-51.02,168.75,1602.56
Pozostałe koszty operacyjne,,154.95,-45.7,-67.72,31.79,80.72,322.99,-49.94,-47.39,116.18,-89.29,1003.98,54.97,-73.04,10.98,2659.42,-96.36,4473.58,-49.16,372.72
Zysk operacyjny (EBIT),,-7.45,-3.02,-4.7,5.56,31.42,45.0,-16.28,-15.28,-145.32,502.82,51.47,28.66,-3.81,-42.78,-579.9,40.79,-195.05,-4.84,0.98
Przychody finansowe,,50.56,-53.69,45.82,-69.4,-29.46,181.01,154.95,96.11,-23.33,7.64,57.75,170.03,-59.2,156.53,-59.94,-53.91,-68.97,-41.45,5397.08
Koszty finansowe,,-20.23,-50.54,-32.02,15.2,-2.79,-33.55,-57.81,-75.59,-85.48,7844.44,2144.62,29.68,6.58,-2.66,-82.85,43.6,68.02,-37.51,10.04
Pozostałe przychody (koszty),,,,,,,,,,,,,-100.0,,,100.0,,,-100.0,
Zysk z działalności gospodarczej,,1.18,9.45,1.23,1.0,34.63,52.8,-12.35,-9.71,-134.94,583.87,-16.17,36.27,-21.46,-75.17,-2431.99,37.79,-187.02,-3.42,4.27
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,1.18,9.45,1.23,1.0,34.63,52.8,-12.35,-9.71,-134.94,583.87,-16.17,36.27,-21.46,-75.17,-2431.99,37.79,-187.02,-3.42,4.27
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,
Zysk netto,,0.45,6.49,-1.43,11.78,26.27,59.38,6.96,-27.01,-135.29,578.39,-16.55,34.68,-26.28,-80.37,-3824.4,33.63,-202.58,2.31,3.34
Zysk netto akcjonariuszy jednostki dominującej,,0.45,6.49,-1.43,11.78,26.27,59.38,-13.11,-10.16,-135.29,578.39,-16.55,34.68,-26.28,-80.37,-3824.4,33.63,-202.58,2.31,3.34
Aktywa trwałe,,-1.89,-2.69,-4.79,5.73,-0.77,-2.56,-3.64,-5.56,-10.48,32.12,349.68,10.15,-5.7,-8.74,-34.78,-21.41,-46.65,-6.56,15.03
Wartości niematerialne i prawne,,39.19,25.24,-86.05,3069.44,9.55,-13.12,-57.83,-75.33,369.03,-84.91,9371.25,-8.66,-11.52,-10.73,-83.28,-22.76,-25.5,-33.08,-15.91
Rzeczowe składniki majątku trwałego,,-2.76,-2.44,-4.13,4.38,-1.06,-4.03,-3.71,-5.87,-12.32,43.22,88.16,20.8,4.65,-5.21,-38.67,-3.67,-12.79,-6.44,4.18
Należności długoterminowe,,,,,,,,,,,,2698611.13,8.04,-10.72,-16.45,-33.88,-44.15,-100.0,,
Inwestycje długoterminowe,,0.0,0.0,-96.49,0.0,0.0,0.0,-100.0,,,,,-49.19,-88.9,645.0,58.49,-1.65,-99.97,-100.0,
Pozostałe aktywa trwałe,,33.21,-12.73,-13.03,12.66,5.4,51.82,11.62,6.72,11.32,-100.0,,,-12.44,-60.56,-100.0,,,,
Aktywa obrotowe,,-2.2,-23.35,-9.35,35.59,15.53,31.05,17.46,28.44,-4.94,27.64,241.32,-11.83,6.77,-2.12,-18.88,-25.22,-42.51,34.75,-32.39
Zapasy,,4.22,-1.38,16.68,44.28,17.59,16.67,35.42,1.68,-33.07,114.6,34.9,-19.24,-23.98,42.43,90.48,-41.57,-54.66,156.28,-58.23
Należności krótkoterminowe,,-9.52,-13.95,-18.84,24.33,13.47,26.75,-1.71,-0.88,7.82,35.41,292.19,14.02,5.61,-13.02,-17.39,-35.13,-75.77,294.3,-20.25
Inwestycje krótkoterminowe,,30.59,-95.82,-50.62,973.42,28.07,236.28,63.12,204.31,7.74,-31.85,514.75,-44.84,28.5,7.89,-73.14,87.6,37.45,-99.22,670.54
