,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,226.03,75.48,-7.26,7.93,-6.21,-11.74,4.61,-0.66,4.7,11.15,26.1,19.69,7.53,3.01,8.97,10.11,12.41
Techniczny koszt wytworzenia produkcji sprzedanej,,198.51,61.4,-3.92,4.16,-5.93,-13.9,12.42,-7.86,-0.63,4.73,23.07,23.4,5.3,2.23,11.44,13.71,13.38
Koszty sprzedaży,,69.33,130.92,-36.07,-37.27,2.79,-20.88,-10.75,180.07,-2.13,-5.91,59.33,13.7,-3.25,-3.04,43.56,-2.57,11.73
Koszty ogólnego zarządu,,215.05,133.32,-11.04,-0.83,-4.58,-1.64,-34.42,-2.2,11.9,14.91,49.29,-8.3,7.34,-0.03,0.11,7.7,22.03
Zysk ze sprzedaży,,1006.68,90.06,-7.5,40.04,-8.79,-9.14,4.99,6.24,18.47,27.95,20.69,23.12,13.7,6.02,2.02,6.38,8.5
Pozostałe przychody operacyjne,,152.94,181.4,4.65,0.69,74.9,-69.9,56.98,-18.15,-23.33,-1.7,2.69,51.5,16.32,37.94,-46.3,141.89,27.46
Pozostałe koszty operacyjne,,3775.0,102.9,-23.37,308.51,-82.53,-14.53,232.99,-57.2,-27.68,40.26,8.24,53.26,-69.22,336.41,-82.26,479.76,31.11
Zysk operacyjny (EBIT),,913.01,91.89,-6.74,33.71,-2.34,-12.19,3.72,7.55,18.19,27.47,20.61,23.14,14.49,5.55,2.21,6.54,8.6
Przychody finansowe,,-38.94,121.8,8.9,21.65,20.8,9.79,-35.49,-23.2,-11.67,-3.71,23.23,-69.87,116.43,-78.12,28.06,171.31,257.71
Koszty finansowe,,153.39,50.84,-21.73,-62.61,140.91,-15.72,-94.4,-40.0,11.11,1860.0,700.0,-45.03,114.5,69.33,-61.39,68.16,-6.84
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,520.73,94.02,-5.72,34.22,-1.62,-10.73,1.37,6.0,17.09,26.16,18.13,22.8,13.92,3.32,4.49,6.19,10.63
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,520.73,94.02,-5.72,34.22,-1.62,-10.73,1.37,6.0,17.09,26.16,18.13,22.8,13.92,3.32,4.49,6.19,10.63
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,
Zysk netto,,354.51,72.93,-7.03,34.18,-0.86,-11.07,1.12,6.5,17.28,26.67,18.12,24.79,17.37,4.04,5.55,5.75,11.43
Zysk netto akcjonariuszy jednostki dominującej,,330.43,74.79,-2.87,34.18,-0.86,-11.07,1.12,6.5,17.28,26.67,18.1,24.82,17.37,4.04,5.55,5.75,11.43
Aktywa trwałe,,2450.86,33.65,-0.66,-1.4,0.24,-1.21,-0.87,-0.23,0.13,0.8,54.54,-0.63,14.22,1.54,4.92,2.17,2.6
Wartości niematerialne i prawne,,40522.84,37.74,0.27,-0.48,0.91,0.63,-0.47,-0.68,0.03,-0.1,54.13,-0.81,-0.48,0.36,1.11,1.96,1.49
Rzeczowe składniki majątku trwałego,,264.29,4.96,-3.8,-13.41,-9.92,-22.34,-8.52,5.02,-0.37,14.05,52.3,13.91,212.21,7.04,22.03,1.82,7.66
Należności długoterminowe,,,317.13,-47.68,-22.65,0.33,0.17,-0.5,-0.17,-0.17,0.0,28.88,40.54,-18.8,-79.8,25.28,123.77,-18.04
