,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,113.0,1261.0,4532.0,8503.0,17469.0,25215.0,30789.0,25721.0
Techniczny koszt wytworzenia produkcji sprzedanej,127.0,1016.0,2409.0,3890.0,12825.0,18741.0,24839.0,21954.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-14.0,245.0,2123.0,4613.0,4644.0,6474.0,5950.0,3767.0
Pozostałe przychody operacyjne,0.0,0.0,4.0,110.0,2611.0,53.0,50.0,18.0
Pozostałe koszty operacyjne,0.0,0.0,276.0,152.0,133.0,436.0,357.0,995.0
Zysk operacyjny (EBIT),-14.0,245.0,1851.0,4571.0,7122.0,6091.0,5643.0,2790.0
Przychody finansowe,0.0,202.0,535.0,645.0,1962.0,1422.0,465.0,517.0
Koszty finansowe,0.0,2.0,8.0,4.0,30.0,16.0,16171.0,7711.0
Pozostałe przychody (koszty),0.0,0.0,0.0,64.0,32072.0,253.0,-394.0,-105.0
Zysk z działalności gospodarczej,-14.0,445.0,2378.0,5276.0,41126.0,7750.0,-10457.0,-4509.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-14.0,445.0,2378.0,5276.0,41126.0,7750.0,-10457.0,-4509.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-14.0,402.0,2009.0,4242.0,32687.0,6107.0,-8758.0,-3823.0
Zysk netto akcjonariuszy jednostki dominującej,-14.0,402.0,2009.0,4242.0,32682.0,6385.0,-7945.0,-3654.0
Aktywa trwałe,0.0,0.0,213.0,844.0,28084.0,28991.0,14862.0,4126.0
Wartości niematerialne i prawne,0.0,0.0,77.0,196.0,141.0,269.0,150.0,65.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,0.0,91.0,106.0,117.0,59.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,136.0,648.0,27539.0,28486.0,11355.0,3782.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,313.0,130.0,3240.0,220.0
Aktywa obrotowe,202.0,2011.0,3764.0,8423.0,27540.0,27694.0,24308.0,24646.0
Zapasy,113.0,712.0,1414.0,2622.0,3524.0,5768.0,8851.0,10352.0
Należności krótkoterminowe,21.0,266.0,469.0,1625.0,2749.0,4304.0,4524.0,4349.0
Inwestycje krótkoterminowe,68.0,1033.0,1658.0,4176.0,20958.0,17622.0,10933.0,9945.0
Środki pieniężne i inne aktywa pieniężne,68.0,981.0,1658.0,4176.0,20958.0,17622.0,10218.0,9945.0
Pozostałe aktywa obrotowe,0.0,0.0,223.0,0.0,309.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,202.0,2011.0,3977.0,9267.0,55624.0,56685.0,39170.0,28772.0
Kapitał własny akcjonariuszy jednostki dominującej,191.0,1764.0,3646.0,8286.0,45985.0,44994.0,29080.0,23735.0
Kapitał (fundusz) podstawowy,33.0,500.0,500.0,523.0,523.0,523.0,523.0,523.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,172.0,876.0,1151.0,3535.0,5686.0,2955.0,2955.0,2955.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,2605.0,3453.0,2772.0,2438.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,5498.0,5716.0,5451.0,741.0
Z tytułu dostaw i usług,11.0,49.0,164.0,638.0,951.0,2499.0,1839.0,1858.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,5498.0,5716.0,5451.0,741.0
Zobowiązania krótkoterminowe,11.0,211.0,331.0,981.0,1536.0,2522.0,1867.0,1858.0
Inne zobowiązania krótkoterminowe,0.0,162.0,167.0,343.0,585.0,23.0,28.0,0.0
Rozliczenia międzyokresowe,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,202.0,2011.0,3977.0,9267.0,55624.0,56685.0,39170.0,28772.0
Przepływy pieniężne z działalności operacyjnej,-136.0,-408.0,450.0,1985.0,-330.0,1160.0,532.0,775.0
Amortyzacja,0.0,0.0,3.0,20.0,57.0,115.0,101.0,72.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,148.0,354.0,136.0,9255.0,4102.0,98.0,422.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,80.0,345.0,93.0,1254.0,95.0,12.0
Przepływy pieniężne z działalności finansowej,205.0,1171.0,-127.0,398.0,7857.0,-8598.0,-7899.0,-1605.0
Emisja akcji,205.0,1171.0,0.0,2990.0,9949.0,1862.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,1831.0,2092.0,10460.0,7845.0,2615.0
Przepływy pieniężne razem,69.0,911.0,677.0,2519.0,16782.0,-3336.0,-7269.0,-408.0
