,0,1,2,3,4,5,6,7,8,9,10,11
Period,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,26.16,25.44,-0.95,0.84,24.08,30.16,10.22,50.26,-11.35,-4.59,-4.75
Techniczny koszt wytworzenia produkcji sprzedanej,,22.93,22.35,-1.0,1.98,43.98,35.34,7.82,26.24,3.2,-7.68,-1.11
Koszty sprzedaży,,39.65,-7.37,-1.54,13.41,47.8,-11.38,22.26,25.26,8.21,0.89,-12.09
Koszty ogólnego zarządu,,19.26,24.16,8.16,38.31,-81.09,18.13,16.0,90.7,13.34,35.4,19.32
Zysk ze sprzedaży,,63.33,105.15,-7.33,-49.14,-26.95,18.82,54.74,594.47,-77.98,17.16,-66.73
Pozostałe przychody operacyjne,,1.53,60.58,95.45,-14.57,5.87,81.68,23.39,-1.92,11.02,-67.63,40.88
Pozostałe koszty operacyjne,,65.27,31.11,-44.03,295.04,-83.35,210.25,75.6,109.81,-76.08,100.56,95.54
Zysk operacyjny (EBIT),,52.94,124.47,7.37,-78.4,92.74,7.67,29.6,604.4,-72.4,-18.69,-118.21
Przychody finansowe,,13.3,25.65,-56.06,-52.76,903.33,-100.0,,-94.29,44225.0,-18.84,-40.51
Koszty finansowe,,8.1,-21.95,-0.15,0.38,-21.06,103.95,11.67,18.82,-50.91,188.54,14.38
Pozostałe przychody (koszty),,,,,,,,,,,,
Zysk z działalności gospodarczej,,70.18,161.16,6.84,-84.28,167.0,-15.44,37.06,766.03,-70.76,-32.36,-147.6
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,
Zysk przed opodatkowaniem,,70.18,161.16,6.84,-84.28,167.0,-15.44,37.06,766.03,-70.76,-32.36,-147.6
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,
Zysk netto,,52.37,178.5,12.32,-81.15,124.84,-12.13,39.86,706.06,-72.63,-16.05,-151.08
Zysk netto akcjonariuszy jednostki dominującej,,52.37,178.5,12.32,-81.15,124.8,-12.11,39.86,706.06,-72.63,-16.05,-151.08
Aktywa trwałe,,4.37,12.77,11.74,24.98,-2.33,30.53,20.67,5.97,3.98,2.21,-3.79
Wartości niematerialne i prawne,,-18.0,53.97,-0.34,-12.24,-31.63,25.29,550.92,-14.9,15.4,-14.96,-15.82
Rzeczowe składniki majątku trwałego,,5.49,12.19,11.93,26.41,0.13,29.21,19.87,5.33,3.17,2.91,-2.62
Należności długoterminowe,,,,,,,,,,,,
Inwestycje długoterminowe,,0.0,0.0,0.0,-100.0,,,,,,,
Pozostałe aktywa trwałe,,-34.74,82.32,32.12,163.91,-52.67,93.57,-27.19,64.39,23.51,-6.95,-33.1
Aktywa obrotowe,,38.93,-8.55,25.89,0.06,27.13,-10.75,-0.97,63.71,14.73,3.01,-0.17
Zapasy,,40.32,-24.04,73.11,-1.39,11.68,18.58,-4.92,6.64,31.26,27.41,-1.78
Należności krótkoterminowe,,31.14,9.24,9.25,6.66,38.75,-28.35,-1.82,105.45,14.93,-9.25,-3.47
Inwestycje krótkoterminowe,,93.15,-42.94,-34.93,-85.32,237.5,-14.52,31.72,731.71,-66.03,-59.34,195.3
